local_artist,local_book,local_song_count,s3_artist,s3_book,s3_song_count,match_pct,match_quality,matches,local_only,s3_only,other_candidates
Emerson Lake And Palmer,Emerson Lake And Palmer - Black Book,2,Emerson Lake And Palmer,Black Book,2,1.0,PERFECT,2,0,0,4
Emerson Lake And Palmer,Emerson Lake And Palmer - Greatest Hits,10,Emerson Lake And Palmer,Greatest Hits,10,1.0,PERFECT,10,0,0,1
Emerson Lake And Palmer,Emerson Lake And Palmer - Tarkus _Book_,13,Emerson Lake And Palmer,Tarkus [book],13,1.0,PERFECT,13,0,0,0
Emerson Lake And Palmer,Emerson Lake And Palmer - Trilogy _Book_,7,Emerson Lake And Palmer,Trilogy [book],7,1.0,PERFECT,7,0,0,1
Eric Clapton,Eric Clapton - Derek And The Dominos _Book_,14,Eric Clapton,Derek And The Dominos [book],14,1.0,PERFECT,14,0,0,1
Eric Clapton,Eric Clapton - The Best Of Book,10,Eric Clapton,The Best Of Book,10,1.0,PERFECT,10,0,0,1
Eric Clapton,Eric Clapton - Unplugged _Book_,14,Eric Clapton,Unplugged [book],14,1.0,PERFECT,14,0,0,0
Fleetwood Mac,Fleetwood Mac - Anthology,27,Fleetwood Mac,Anthology,27,1.0,PERFECT,27,0,0,2
Fleetwood Mac,Fleetwood Mac - Deluxe Anthology,42,Fleetwood Mac,Deluxe Anthology,42,1.0,PERFECT,42,0,0,0
Fleetwood Mac,Fleetwood Mac - Fleetwood Mac Heroes Are Hard To Find,15,Fleetwood Mac,Fleetwood Mac + Heroes Are Hard To Find,15,1.0,PERFECT,15,0,0,2
Fleetwood Mac,Fleetwood Mac - Mirage,12,Fleetwood Mac,Mirage,12,1.0,PERFECT,12,0,0,1
Fleetwood Mac,Fleetwood Mac - Rumours,11,Fleetwood Mac,Deluxe Anthology,42,1.0,PERFECT,11,0,31,2
Fleetwood Mac,Fleetwood Mac - Tango In The Night,12,Fleetwood Mac,Tango In The Night,12,1.0,PERFECT,12,0,0,0
Fleetwood Mac,Fleetwood Mac - The Dance,13,Fleetwood Mac,The Dance,13,1.0,PERFECT,13,0,0,1
Frank Zappa,Frank Zappa - Hot Rats,2,Frank Zappa,Frank Zappa - Hot Rats,2,1.0,PERFECT,2,0,0,0
Frank Zappa,Frank Zappa - Songbook Vol 1,17,Frank Zappa,Songbook Vol 1,17,1.0,PERFECT,17,0,0,0
Frank Zappa,Frank Zappa - The Frank Zappa Guitar Book _transcriptions By Steve Vai_,12,Frank Zappa,The Frank Zappa Guitar Book (transcriptions By Steve Vai),12,1.0,PERFECT,12,0,0,1
Fray,Fray - How To Save A Life _Book_,3,Fray,Fray - How To Save A Life [book],2,0.6666666666666666,PARTIAL,2,1,0,0
Garth Brooks,Garth Brooks - No Fences _Guitar Tab_,7,Garth Brooks,No Fences [guitar Tab],7,1.0,PERFECT,7,0,0,0
Garth Brooks,Garth Brooks - The Hits _Guitar Tab_,1,Garth Brooks,Garth Brooks - The Hits [guitar Tab],1,1.0,PERFECT,1,0,0,1
Garth Brooks,Garth Brooks - The Limited Series,21,Garth Brooks,The Limited Series,21,1.0,PERFECT,21,0,0,0
Genesis,Genesis - A Trick Of The Tail _Book_,8,Genesis,A Trick Of The Tail [book],8,1.0,PERFECT,8,0,0,1
Genesis,Genesis - Anthology,44,Genesis,Anthology,44,1.0,PERFECT,44,0,0,0
Genesis,Genesis - Best Of Vol 1,10,Genesis,Best Of Vol 1,10,1.0,PERFECT,10,0,0,2
Genesis,Genesis - Invisible Touch _Book_,8,Genesis,Invisible Touch [book],8,1.0,PERFECT,8,0,0,2
Genesis,Genesis - Rock Score,4,Genesis,Anthology,44,1.0,PERFECT,4,0,40,5
Genesis,Genesis - Seconds Out,8,Genesis,Seconds Out,8,1.0,PERFECT,8,0,0,1
Genesis,Genesis - Selling England By The Pound,7,Genesis,Selling England By The Pound,7,1.0,PERFECT,7,0,0,1
George Michael,George Michael - Greatest Hits,29,George Michael,Greatest Hits,29,1.0,PERFECT,29,0,0,0
George Michael,George Michael - Older _Book_,11,George Michael,Older [book],11,1.0,PERFECT,11,0,0,2
Grand Funk Railroad,Grand Funk - Closer To Home _PVG Book_,5,Grand Funk Railroad,Grand Funk - Closer To Home [pvg Book],5,1.0,PERFECT,5,0,0,0
Grand Funk Railroad,Grand Funk - Were An American Band _PVG Book_,8,Grand Funk Railroad,Grand Funk - We're An American Band [pvg Book],8,1.0,PERFECT,8,0,0,2
