Input PDF,Output Folder 1,PDF Count 1,Output Folder 2,PDF Count 2,Similarity,Action Needed
Elton John\Elton John - Made In England.pdf,Elton John\Elton John - Made In England,11,Elton John\Elton John - A Single Man,10,100.0% vs 79.2%,Compare and choose
Elton John\Elton John - Peachtree Road.pdf,Elton John\Elton John - Peachtree Road,10,Elton John\Elton John - The One,5,100.0% vs 72.3%,Compare and choose
Elton John\Elton John - Reg Strikes Back.pdf,Elton John\Elton John - Reg Strikes Back,9,Elton John\Elton John - A Single Man,10,100.0% vs 70.4%,Compare and choose
Elton John\Elton John - The Big Picture.pdf,Elton John\Elton John - The Big Picture,3,Elton John\Elton John - The One,5,100.0% vs 75.0%,Compare and choose
Elton John\Elton John - The Elton John Collection _Piano Solos_.pdf,Elton John\Elton John - The Elton John Collection _Piano Solos_,22,Elton John\Elton John - The Ultimate Collection Vol 1,59,100.0% vs 70.2%,Compare and choose
Elton John\Elton John - The One.pdf,Elton John\Elton John - The One,5,Elton John\Elton John - Ice On Fire,12,100.0% vs 81.8%,Compare and choose
Elton John\Elton John - The Ultimate Collection Vol 1.pdf,Elton John\Elton John - The Ultimate Collection Vol 1,59,Elton John\Elton John - The Ultimate Collection Vol 2,29,100.0% vs 97.6%,Compare and choose
Elton John\Elton John - The Ultimate Collection Vol 2.pdf,Elton John\Elton John - The Ultimate Collection Vol 2,29,Elton John\Elton John - The Ultimate Collection Vol 1,59,100.0% vs 97.6%,Compare and choose
Elton John\Elton John - The Very Best Of.pdf,Elton John\Elton John - The Very Best Of,1,Elton John\Elton John - The One,5,100.0% vs 73.5%,Compare and choose
Emerson Lake and Palmer\Emerson Lake And Palmer - Black Book.pdf,Emerson Lake And Palmer\Emerson Lake And Palmer - Black Book,2,Emerson Lake And Palmer\Emerson Lake And Palmer - Tarkus _Book_,13,100.0% vs 88.0%,Compare and choose
Emerson Lake and Palmer\Emerson Lake And Palmer - Greatest Hits.pdf,Emerson Lake And Palmer\Emerson Lake And Palmer - Greatest Hits,10,Emerson Lake And Palmer\Emerson Lake And Palmer - Black Book,2,100.0% vs 74.7%,Compare and choose
Emerson Lake and Palmer\Emerson Lake And Palmer - Tarkus _Book_.pdf,Emerson Lake And Palmer\Emerson Lake And Palmer - Tarkus _Book_,13,Emerson Lake And Palmer\Emerson Lake And Palmer - Trilogy _Book_,7,100.0% vs 88.6%,Compare and choose
Emerson Lake and Palmer\Emerson Lake And Palmer - Trilogy _Book_.pdf,Emerson Lake And Palmer\Emerson Lake And Palmer - Trilogy _Book_,7,Emerson Lake And Palmer\Emerson Lake And Palmer - Tarkus _Book_,13,100.0% vs 88.6%,Compare and choose
Fleetwood Mac\Fleetwood Mac - Anthology.pdf,Fleetwood Mac\Fleetwood Mac - Anthology,27,Fleetwood Mac\Fleetwood Mac - Deluxe Anthology,42,100.0% vs 87.7%,Compare and choose
Fleetwood Mac\Fleetwood Mac - Deluxe Anthology.pdf,Fleetwood Mac\Fleetwood Mac - Deluxe Anthology,42,Fleetwood Mac\Fleetwood Mac - Anthology,27,100.0% vs 87.7%,Compare and choose
Fleetwood Mac\Fleetwood Mac - Mirage.pdf,Fleetwood Mac\Fleetwood Mac - Mirage,12,Fleetwood Mac\Fleetwood Mac - Rumours,11,100.0% vs 80.0%,Compare and choose
Fleetwood Mac\Fleetwood Mac - Rumours.pdf,Fleetwood Mac\Fleetwood Mac - Rumours,11,Fleetwood Mac\Fleetwood Mac - Mirage,12,100.0% vs 75.6%,Compare and choose
Fleetwood Mac\Fleetwood Mac - Tango In The Night.pdf,Fleetwood Mac\Fleetwood Mac - Tango In The Night,12,Fleetwood Mac\Fleetwood Mac - Anthology,27,100.0% vs 71.2%,Compare and choose
Fleetwood Mac\Fleetwood Mac - The Dance.pdf,Fleetwood Mac\Fleetwood Mac - The Dance,13,Fleetwood Mac\Fleetwood Mac - Mirage,12,100.0% vs 72.3%,Compare and choose
