"Artist","BookName","SourcePath","ProcessedFolder","PDFCount","Status"
"Billy Joel","Billy Joel Greatest Hits Vols 1 and 2","C:\Work\AWSMusic\SheetMusic\Billy Joel\Books\Billy Joel Greatest Hits Vols 1 and 2.pdf","ProcessedSongs\Billy Joel\Billy Joel Greatest Hits Vols 1 And 2","11","EXPANDED"
"Billy Ocean","Billy Ocean - The Best Of","C:\Work\AWSMusic\SheetMusic\Billy Ocean\Books\Billy Ocean - The Best Of.pdf","ProcessedSongs\Billy Ocean\The Best Of","10","EXPANDED"
"Black Eyed Peas","Black Eyed Peas - Elephunk [PVG Book]","C:\Work\AWSMusic\SheetMusic\Black Eyed Peas\Books\Black Eyed Peas - Elephunk [PVG Book].pdf","ProcessedSongs\Black Eyed Peas\Elephunk [pvg Book]","11","EXPANDED"
"Blues Brothers","Blues Brothers - Complete","C:\Work\AWSMusic\SheetMusic\Blues Brothers\Books\Blues Brothers - Complete.pdf","ProcessedSongs\Blues Brothers\Complete","12","EXPANDED"
"Bob Dylan","Bob Dylan - Anthology 1","C:\Work\AWSMusic\SheetMusic\Bob Dylan\Books\Bob Dylan - Anthology 1.pdf","ProcessedSongs\Bob Dylan\Anthology 1","46","EXPANDED"
"Bob Dylan","Bob Dylan - Anthology 2","C:\Work\AWSMusic\SheetMusic\Bob Dylan\Books\Bob Dylan - Anthology 2.pdf","ProcessedSongs\Bob Dylan\Anthology 2","51","EXPANDED"
"Bob Dylan","Bob Dylan - Anthology","C:\Work\AWSMusic\SheetMusic\Bob Dylan\Books\Bob Dylan - Anthology.pdf","ProcessedSongs\Bob Dylan\Anthology","46","EXPANDED"
"Bob Dylan","Bob Dylan - Basement Tapes [PVG]","C:\Work\AWSMusic\SheetMusic\Bob Dylan\Books\Bob Dylan - Basement Tapes [PVG].pdf","ProcessedSongs\Bob Dylan\Basement Tapes [pvg]","24","EXPANDED"
"Bob Dylan","Bob Dylan - Blonde On Blonde","C:\Work\AWSMusic\SheetMusic\Bob Dylan\Books\Bob Dylan - Blonde On Blonde.pdf","ProcessedSongs\Bob Dylan\Blonde On Blonde","13","EXPANDED"
"Bob Dylan","Bob Dylan - Collection","C:\Work\AWSMusic\SheetMusic\Bob Dylan\Books\Bob Dylan - Collection.pdf","ProcessedSongs\Bob Dylan\Collection","47","EXPANDED"
"Bob Dylan","Bob Dylan - Desire","C:\Work\AWSMusic\SheetMusic\Bob Dylan\Books\Bob Dylan - Desire.pdf","ProcessedSongs\Bob Dylan\Desire","9","EXPANDED"
"Bob Dylan","Bob Dylan - Finger Picking","C:\Work\AWSMusic\SheetMusic\Bob Dylan\Books\Bob Dylan - Finger Picking.pdf","ProcessedSongs\Bob Dylan\Finger Picking","14","EXPANDED"
"Bob Dylan","Bob Dylan - Highway 61 Revisited","C:\Work\AWSMusic\SheetMusic\Bob Dylan\Books\Bob Dylan - Highway 61 Revisited.pdf","ProcessedSongs\Bob Dylan\Highway 61 Revisited","10","EXPANDED"
"Bob Dylan","Bob Dylan - Nashville Skyline","C:\Work\AWSMusic\SheetMusic\Bob Dylan\Books\Bob Dylan - Nashville Skyline.pdf","ProcessedSongs\Bob Dylan\Bob Dylan - Nashville Skyline","1","EXPANDED"
"Bob Dylan","Bob Dylan - Rock Score","C:\Work\AWSMusic\SheetMusic\Bob Dylan\Books\Bob Dylan - Rock Score.pdf","ProcessedSongs\Bob Dylan\Rock Score","6","EXPANDED"
"Bob Dylan","Bob Dylan - Saved","C:\Work\AWSMusic\SheetMusic\Bob Dylan\Books\Bob Dylan - Saved.pdf","ProcessedSongs\Bob Dylan\Saved","8","EXPANDED"
"Bob Dylan","Bob Dylan - Songbook","C:\Work\AWSMusic\SheetMusic\Bob Dylan\Books\Bob Dylan - Songbook.pdf","ProcessedSongs\Bob Dylan\Songbook","47","EXPANDED"
"Bob Dylan","Bob Dylan - The Harp Styles of Bob Dylan [Harmonica]","C:\Work\AWSMusic\SheetMusic\Bob Dylan\Books\Bob Dylan - The Harp Styles of Bob Dylan [Harmonica].pdf","ProcessedSongs\Bob Dylan\The Harp Styles Of Bob Dylan [harmonica]","12","EXPANDED"
"Bob Seger","Bob Seger - Greatest Hits","C:\Work\AWSMusic\SheetMusic\Bob Seger\Books\Bob Seger - Greatest Hits.pdf","ProcessedSongs\Bob Seger\Greatest Hits","14","EXPANDED"
"Bob Seger","Bob Seger - The New Best Of Bob Seger","C:\Work\AWSMusic\SheetMusic\Bob Seger\Books\Bob Seger - The New Best Of Bob Seger.pdf","ProcessedSongs\Bob Seger\The New Best Of Bob Seger","5","EXPANDED"
