local_artist,local_book,local_song_count,s3_artist,s3_book,s3_song_count,match_pct,match_quality,matches,local_only,s3_only,status,notes
Beatles,Beatles - Live At The Hollywood Bowl,12,Beatles,Beatles - Complete Scores (2),160,0.75,PARTIAL,9,3,151,NEEDS_REVIEW,
Beatles,Beatles - Live At The Hollywood Bowl _2_,12,Beatles,Beatles - Complete Scores (2),160,0.75,PARTIAL,9,3,151,NEEDS_REVIEW,
Beatles,Beatles - Revolver,14,Beatles,Beatles - Complete Scores (2),160,0.7142857142857143,PARTIAL,10,4,150,NEEDS_REVIEW,
Beatles,Beatles - Revolver _2_,14,Beatles,Beatles - Complete Scores (2),160,0.7142857142857143,PARTIAL,10,4,150,NEEDS_REVIEW,
Beatles,Beatles - Songbook,194,Beatles,Beatles - Complete Scores,167,0.7061855670103093,PARTIAL,137,57,30,NEEDS_REVIEW,
Belinda Carlisle,Belinda Carlisle - 5 Of The Best _PVG_,5,Belinda Carlisle,Belinda Carlisle - 5 Of The Best [pvg],3,0.6,PARTIAL,3,2,0,NEEDS_REVIEW,
Ben Folds,Ben Folds Five - Rockin The Suburbs,12,Ben Folds,Ben Folds Five - Rockin' The Suburbs,8,0.5833333333333334,PARTIAL,7,5,1,NEEDS_REVIEW,
Billy Joel,Billy Joel - My Lives,72,Billy Joel,My Lives,72,0.6666666666666666,PARTIAL,48,24,24,NEEDS_REVIEW,
Billy Ocean,Billy Ocean - The Best Of,10,Billy Ocean,Billy Ocean - The Best Of,5,0.5,PARTIAL,5,5,0,NEEDS_REVIEW,
Black Eyed Peas,Black Eyed Peas - Elephunk _PVG Book_,11,Black Eyed Peas,Black Eyed Peas - Elephunk [pvg Book],8,0.7272727272727273,PARTIAL,8,3,0,NEEDS_REVIEW,
Blues Brothers,Blues Brothers - Complete,12,Blues Brothers,Blues Brothers - Complete,6,0.5,PARTIAL,6,6,0,NEEDS_REVIEW,
Bob Dylan,Bob Dylan - Basement Tapes _PVG_,24,Bob Dylan,Basement Tapes [pvg],24,0.75,PARTIAL,18,6,6,NEEDS_REVIEW,
Burt Bacharach,Burt Bacharach - 40 Golden Songs Of,40,Burt Bacharach,Burt Bacharach - 40 Golden Songs Of,29,0.675,PARTIAL,27,13,2,NEEDS_REVIEW,
Carole King,Carole King - Bradleys Best Of The Best _Organ_,13,Carole King,Carole King - Classics (2),30,0.6153846153846154,PARTIAL,8,5,22,NEEDS_REVIEW,
Carole King,Carole King - Keyboard Play-Along Vol 22,8,Carole King,Carole King - Classics (2),30,0.625,PARTIAL,5,3,25,NEEDS_REVIEW,
Carole King,Carole King - Tapestry,12,Carole King,Carole King - Classics (2),30,0.75,PARTIAL,9,3,21,NEEDS_REVIEW,
Carole King,Carole King - The New Best Of Carole King,19,Carole King,Carole King - Classics (2),30,0.5789473684210527,PARTIAL,11,8,19,NEEDS_REVIEW,
Carole King,Carole King - Youre The Voice,11,Carole King,Carole King - Classics (2),30,0.7272727272727273,PARTIAL,8,3,22,NEEDS_REVIEW,
Carpenters,Carpenters - Note For Note,11,Carpenters,Carpenters - Love Songs,19,0.6363636363636364,PARTIAL,7,4,12,NEEDS_REVIEW,
Creedence Clearwater Revival,Creedence Clearwater Revival - 8 Pcs Book,8,Creedence Clearwater Revival,Creedence Clearwater Revival - 8 Pcs Book,5,0.625,PARTIAL,5,3,0,NEEDS_REVIEW,
Creedence Clearwater Revival,Creedence Clearwater Revival - Best Of,20,Creedence Clearwater Revival,Creedence Clearwater Revival - Best Of,13,0.65,PARTIAL,13,7,0,NEEDS_REVIEW,
Creedence Clearwater Revival,Creedence Clearwater Revival - Ultimate Minus One,7,Creedence Clearwater Revival,Creedence Clearwater Revival - Best Of,13,0.5714285714285714,PARTIAL,4,3,9,NEEDS_REVIEW,
Dire Straits,Dire Straits - Jam With Dire Straits _Guitar Book_,8,Dire Straits,Dire Straits - Jam With Dire Straits [guitar Book],5,0.625,PARTIAL,5,3,0,NEEDS_REVIEW,
Don Henley,Don Henley - The End Of The Innocence _PVG Book_,10,Don Henley,Don Henley - The End Of The Innocence [pvg Book],5,0.5,PARTIAL,5,5,0,NEEDS_REVIEW,
Doors,Doors - Anthology,12,Doors,Doors - Anthology,7,0.5833333333333334,PARTIAL,7,5,0,NEEDS_REVIEW,
Duran Duran,Duran Duran - Best Of _Score_,12,Duran Duran,Best Of [score],19,0.6666666666666666,PARTIAL,8,4,11,NEEDS_REVIEW,
Duran Duran,Duran Duran - Seven And The Ragged Tiger _Jap Band Score_,8,Duran Duran,Best Of [score],19,0.5,PARTIAL,4,4,15,NEEDS_REVIEW,
Eagles,Eagles - Greatest Hits,10,Eagles,Eagles - New Eagles Complete,27,0.5,PARTIAL,5,5,22,NEEDS_REVIEW,
Eagles,Eagles - Greatest Hits _1971-1975_,10,Eagles,Eagles - New Eagles Complete,27,0.5,PARTIAL,5,5,22,NEEDS_REVIEW,
Eagles,Eagles - Made Easy For Guitar,6,Eagles,Eagles - Made Easy For Guitar,4,0.6666666666666666,PARTIAL,4,2,0,NEEDS_REVIEW,
Elton John,Elton John - A Single Man,10,Elton John,Elton John - A Single Man,6,0.6,PARTIAL,6,4,0,NEEDS_REVIEW,
Elton John,Elton John - Greatest Hits 1970-2002,30,Elton John,Elton John - Greatest Hits 1970-2002,19,0.6333333333333333,PARTIAL,19,11,0,NEEDS_REVIEW,
Elton John,Elton John - Ice On Fire,12,Elton John,Elton John - Ice On Fire,6,0.5,PARTIAL,6,6,0,NEEDS_REVIEW,
Elton John,Elton John - Made In England,11,Elton John,Elton John - Made In England,7,0.6363636363636364,PARTIAL,7,4,0,NEEDS_REVIEW,
Elton John,Elton John - Peachtree Road,10,Elton John,Elton John - Peachtree Road,5,0.5,PARTIAL,5,5,0,NEEDS_REVIEW,
Elton John,Elton John - Songs From The West Coast,3,Elton John,Elton John - Songs From The West Coast,2,0.6666666666666666,PARTIAL,2,1,0,NEEDS_REVIEW,
Elton John,Elton John - The Big Picture,3,Elton John,Elton John - The Big Picture,2,0.6666666666666666,PARTIAL,2,1,0,NEEDS_REVIEW,
Fray,Fray - How To Save A Life _Book_,3,Fray,Fray - How To Save A Life [book],2,0.6666666666666666,PARTIAL,2,1,0,NEEDS_REVIEW,
John Lennon,John Lennon - Collection,3,John Lennon,Collection,3,0.6666666666666666,PARTIAL,2,1,1,NEEDS_REVIEW,
