"Artist","Book","OriginalFilename","NewFilename","WillRename","OriginalPath","NewPath"
"Allman Brothers","Allman Brothers Band [pvg]","Allman Brothers - Don't Keep Me Wonderin'.pdf","Allman Brothers - Don't Keep Me Wonderin'.pdf","False","Allman Brothers\Allman Brothers Band [pvg]\Songs\Allman Brothers - Don't Keep Me Wonderin'.pdf","Allman Brothers\books\Allman Brothers Band [pvg]\Allman Brothers - Don't Keep Me Wonderin'.pdf"
"Allman Brothers","Allman Brothers Band [pvg]","Allman Brothers - Dreams.pdf","Allman Brothers - Dreams.pdf","False","Allman Brothers\Allman Brothers Band [pvg]\Songs\Allman Brothers - Dreams.pdf","Allman Brothers\books\Allman Brothers Band [pvg]\Allman Brothers - Dreams.pdf"
"Allman Brothers","Allman Brothers Band [pvg]","Allman Brothers - Every Hungry Woman.pdf","Allman Brothers - Every Hungry Woman.pdf","False","Allman Brothers\Allman Brothers Band [pvg]\Songs\Allman Brothers - Every Hungry Woman.pdf","Allman Brothers\books\Allman Brothers Band [pvg]\Allman Brothers - Every Hungry Woman.pdf"
"Allman Brothers","Allman Brothers Band [pvg]","Allman Brothers - It's Not My Cross To Bear.pdf","Allman Brothers - It's Not My Cross To Bear.pdf","False","Allman Brothers\Allman Brothers Band [pvg]\Songs\Allman Brothers - It's Not My Cross To Bear.pdf","Allman Brothers\books\Allman Brothers Band [pvg]\Allman Brothers - It's Not My Cross To Bear.pdf"
"Allman Brothers","Allman Brothers Band [pvg]","Allman Brothers - Jessica.pdf","Allman Brothers - Jessica.pdf","False","Allman Brothers\Allman Brothers Band [pvg]\Songs\Allman Brothers - Jessica.pdf","Allman Brothers\books\Allman Brothers Band [pvg]\Allman Brothers - Jessica.pdf"
"Allman Brothers","Allman Brothers Band [pvg]","Allman Brothers - Midnight Rider.pdf","Allman Brothers - Midnight Rider.pdf","False","Allman Brothers\Allman Brothers Band [pvg]\Songs\Allman Brothers - Midnight Rider.pdf","Allman Brothers\books\Allman Brothers Band [pvg]\Allman Brothers - Midnight Rider.pdf"
"Allman Brothers","Allman Brothers Band [pvg]","Allman Brothers - Please Call Home.pdf","Allman Brothers - Please Call Home.pdf","False","Allman Brothers\Allman Brothers Band [pvg]\Songs\Allman Brothers - Please Call Home.pdf","Allman Brothers\books\Allman Brothers Band [pvg]\Allman Brothers - Please Call Home.pdf"
"Allman Brothers","Allman Brothers Band [pvg]","Allman Brothers - Ramblin' Man.pdf","Allman Brothers - Ramblin' Man.pdf","False","Allman Brothers\Allman Brothers Band [pvg]\Songs\Allman Brothers - Ramblin' Man.pdf","Allman Brothers\books\Allman Brothers Band [pvg]\Allman Brothers - Ramblin' Man.pdf"
"Allman Brothers","Allman Brothers Band [pvg]","Allman Brothers - Southbound.pdf","Allman Brothers - Southbound.pdf","False","Allman Brothers\Allman Brothers Band [pvg]\Songs\Allman Brothers - Southbound.pdf","Allman Brothers\books\Allman Brothers Band [pvg]\Allman Brothers - Southbound.pdf"
"Allman Brothers","Allman Brothers Band [pvg]","Allman Brothers - Wasted Words.pdf","Allman Brothers - Wasted Words.pdf","False","Allman Brothers\Allman Brothers Band [pvg]\Songs\Allman Brothers - Wasted Words.pdf","Allman Brothers\books\Allman Brothers Band [pvg]\Allman Brothers - Wasted Words.pdf"
