csv_artist,csv_book_name,csv_source_path,csv_book_id,csv_s3_uri,match_score,match_reason,db_book_id,db_artist,db_book_name,db_source_uri,db_status,book_id_match
Beatles,Beatles - Singles Collection _PVG_,Beatles\Beatles - Singles Collection _PVG_.pdf,663562288db96f56,s3://jsmith-input/SheetMusic/Beatles/Beatles - Singles Collection _PVG_.pdf,0.988,artist:1.00 book:1.00 path:0.94,0c66a9c9392174b2,Beatles,Beatles - Singles Collection [PVG],s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Singles Collection [PVG].pdf,success,NO
Beatles,Beatles - Songbook,Beatles\Beatles - Songbook.pdf,0df6c3435916bd09,s3://jsmith-input/SheetMusic/Beatles/Beatles - Songbook.pdf,0.982,artist:1.00 book:1.00 path:0.91,76cffd175fceda6f,Beatles,Beatles - Songbook,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Songbook.pdf,success,NO
Beatles,Beatles - White Album 1 _Guitar Recorded Version_,Beatles\Beatles - White Album 1 _Guitar Recorded Version_.pdf,42b8c9e8c52ed37f,s3://jsmith-input/SheetMusic/Beatles/Beatles - White Album 1 _Guitar Recorded Version_.pdf,0.991,artist:1.00 book:1.00 path:0.96,2ed1aee4e7690da1,Beatles,Beatles - White Album 1  (Guitar Recorded Version),s3://jsmith-input/SheetMusic/Beatles/books/Beatles - White Album 1  (Guitar Recorded Version).pdf,success,NO
Bee Gees,Bee Gees - Anthology,Bee Gees\Bee Gees - Anthology.pdf,c81125c6e4130da6,s3://jsmith-input/SheetMusic/Bee Gees/Bee Gees - Anthology.pdf,0.984,artist:1.00 book:1.00 path:0.92,1a3f9222373f6638,Bee Gees,Bee Gees - Anthology,s3://jsmith-input/SheetMusic/Bee Gees/books/Bee Gees - Anthology.pdf,success,NO
Belinda Carlisle,Belinda Carlisle - 5 Of The Best _PVG_,Belinda Carlisle\Belinda Carlisle - 5 Of The Best _PVG_.pdf,2cbebc22daf7d03e,s3://jsmith-input/SheetMusic/Belinda Carlisle/Belinda Carlisle - 5 Of The Best _PVG_.pdf,0.991,artist:1.00 book:1.00 path:0.95,dd327aa0d08b9344,Belinda Carlisle,Belinda Carlisle - 5 Of The Best [PVG],s3://jsmith-input/SheetMusic/Belinda Carlisle/books/Belinda Carlisle - 5 Of The Best [PVG].pdf,success,NO
Ben Folds,Ben Folds - Rockin The Suburbs _Book_,Ben Folds\Ben Folds - Rockin The Suburbs _Book_.pdf,2c95bd33eb8675e1,s3://jsmith-input/SheetMusic/Ben Folds/Ben Folds - Rockin The Suburbs _Book_.pdf,0.989,artist:1.00 book:1.00 path:0.95,7a93711a5a45338a,Ben Folds,Ben Folds - Rockin' The Suburbs [Book],s3://jsmith-input/SheetMusic/Ben Folds/books/Ben Folds - Rockin' The Suburbs [Book].pdf,success,NO
Ben Folds,Ben Folds - Songs For Silverman,Ben Folds\Ben Folds - Songs For Silverman.pdf,e6a34f263a3695d1,s3://jsmith-input/SheetMusic/Ben Folds/Ben Folds - Songs For Silverman.pdf,0.989,artist:1.00 book:1.00 path:0.94,f83d254c3afd828a,Ben Folds,Ben Folds - Songs for Silverman,s3://jsmith-input/SheetMusic/Ben Folds/books/Ben Folds - Songs for Silverman.pdf,success,NO
Ben Folds,Ben Folds - Songs For The Silverman,Ben Folds\Ben Folds - Songs For The Silverman.pdf,24ce00e6ec476691,s3://jsmith-input/SheetMusic/Ben Folds/Ben Folds - Songs For The Silverman.pdf,0.989,artist:1.00 book:1.00 path:0.95,7bc821ae13e05260,Ben Folds,Ben Folds - Songs For The Silverman,s3://jsmith-input/SheetMusic/Ben Folds/books/Ben Folds - Songs For The Silverman.pdf,success,NO
Ben Folds,Ben Folds Five - Rockin The Suburbs,Ben Folds\Ben Folds Five - Rockin The Suburbs.pdf,ef49aaeae113b7bc,s3://jsmith-input/SheetMusic/Ben Folds/Ben Folds Five - Rockin The Suburbs.pdf,0.989,artist:1.00 book:1.00 path:0.95,ben-folds-ben-folds-five-rockin-the-suburbs,Ben Folds,Ben Folds Five - Rockin' the Suburbs,s3://jsmith-input/SheetMusic/Ben Folds/books/Ben Folds Five - Rockin' the Suburbs.pdf,success,NO
Ben Folds,Ben Folds Five - Selections From Naked Baby Photos _Score_,Ben Folds\Ben Folds Five - Selections From Naked Baby Photos _Score_.pdf,2bcfc4188ed7cb3a,s3://jsmith-input/SheetMusic/Ben Folds/Ben Folds Five - Selections From Naked Baby Photos _Score_.pdf,0.993,artist:1.00 book:1.00 path:0.96,de53f081d483217f,Ben Folds,Ben Folds Five - Selections From Naked Baby Photos [Score],s3://jsmith-input/SheetMusic/Ben Folds/books/Ben Folds Five - Selections From Naked Baby Photos [Score].pdf,success,NO
