Input PDF,Output Folder 1,PDF Count 1,Output Folder 2,PDF Count 2,Similarity,Action Needed
_Movie and TV\The New Illustrated Treasury Of Disney.pdf,_movie And Tv\The New Illustrated Treasury Of Disney,68,_movie And Tv\The New Illustrated Treasury Of Disney Songs,68,100.0% vs 92.7%,Compare and choose
_Movie and TV\Various Artists - Little Mermaid.pdf,_movie And Tv\Various Artists - Little Mermaid,1,_movie And Tv\Various Artists - Star Trek - Generations,1,100.0% vs 71.2%,Compare and choose
_Movie and TV\Various Artists - Star Trek - Deep Space Nine.pdf,_movie And Tv\Various Artists - Star Trek - Deep Space Nine,1,_movie And Tv\Various Artists - Star Trek - Enterprise,1,100.0% vs 82.4%,Compare and choose
_Movie and TV\Various Artists - Star Trek - Enterprise.pdf,_movie And Tv\Various Artists - Star Trek - Enterprise,1,_movie And Tv\Various Artists - Star Trek - Generations,1,100.0% vs 88.9%,Compare and choose
_Movie and TV\Various Artists - Star Trek - First Contact.pdf,_movie And Tv\Various Artists - Star Trek - First Contact,1,_movie And Tv\Various Artists - Star Trek - Star Trek,1,100.0% vs 82.9%,Compare and choose
_Movie and TV\Various Artists - Star Trek - Generations.pdf,_movie And Tv\Various Artists - Star Trek - Generations,1,_movie And Tv\Various Artists - Star Trek - Enterprise,1,100.0% vs 88.9%,Compare and choose
_Movie and TV\Various Artists - Star Trek - Insurrection.pdf,_movie And Tv\Various Artists - Star Trek - Insurrection,1,_movie And Tv\Various Artists - Star Trek - Generations,1,100.0% vs 86.7%,Compare and choose
_Movie and TV\Various Artists - Star Trek - Star Trek The Motion Picture.pdf,_movie And Tv\Various Artists - Star Trek - Star Trek The Motion Picture,1,_movie And Tv\Various Artists - Star Trek - Star Trek,1,100.0% vs 80.4%,Compare and choose
_Movie and TV\Various Artists - Star Trek - Star Trek.pdf,_movie And Tv\Various Artists - Star Trek - Star Trek,1,_movie And Tv\Various Artists - Star Trek - Voyager,1,100.0% vs 84.2%,Compare and choose
_Movie and TV\Various Artists - Star Trek - The Voyage Home.pdf,_movie And Tv\Various Artists - Star Trek - The Voyage Home,1,_movie And Tv\Various Artists - Star Trek - Voyager,1,100.0% vs 87.8%,Compare and choose
_Movie and TV\Various Artists - Star Trek - The Wrath Of Khan.pdf,_movie And Tv\Various Artists - Star Trek - The Wrath Of Khan,2,_movie And Tv\Various Artists - Star Trek - The Search For Spock,2,100.0% vs 82.5%,Compare and choose
_Movie and TV\Various Artists - Star Trek - Voyager.pdf,_movie And Tv\Various Artists - Star Trek - Voyager,1,_movie And Tv\Various Artists - Star Trek - The Voyage Home,1,100.0% vs 87.8%,Compare and choose
