local_artist,local_book,local_count,s3_artist,s3_book,s3_count,common_songs,local_only,s3_only,match_pct,count_diff_pct,quality
Beatles,Beatles - Singles Collection _PVG_,26,Beatles,Singles Collection [pvg],26,26,0,0,1.0,0.0,PERFECT
Beatles,Beatles - Songbook,194,Beatles,Songbook,194,194,0,0,1.0,0.0,PERFECT
Beatles,Beatles - White Album 1 _Guitar Recorded Version_,1,Beatles,White Album 1 (guitar Recorded Version),1,1,0,0,1.0,0.0,PERFECT
Bee Gees,Bee Gees - Anthology,1,Bee Gees,Anthology,1,1,0,0,1.0,0.0,PERFECT
Belinda Carlisle,Belinda Carlisle - 5 Of The Best _PVG_,5,Belinda Carlisle,5 Of The Best [pvg],5,5,0,0,1.0,0.0,PERFECT
Ben Folds,Ben Folds - Rockin The Suburbs _Book_,1,Ben Folds,Ben Folds - Rockin' The Suburbs [book],1,1,0,0,1.0,0.0,PERFECT
Ben Folds,Ben Folds - Rockin' The Suburbs [Book],1,Ben Folds,Rockin' The Suburbs [book],1,1,0,0,1.0,0.0,PERFECT
Ben Folds,Ben Folds - Songs For Silverman,13,Ben Folds,Songs For Silverman,13,13,0,0,1.0,0.0,PERFECT
Ben Folds,Ben Folds - Songs For The Silverman,13,Ben Folds,Songs For The Silverman,13,13,0,0,1.0,0.0,PERFECT
Ben Folds,Ben Folds Five - Selections From Naked Baby Photos _Score_,15,Ben Folds,Ben Folds Five - Selections From Naked Baby Photos [score],18,15,0,0,1.0,0.2,PERFECT
Ben Folds,Ben Folds Five - Whatever And Ever Amen _Book_,12,Ben Folds,Ben Folds Five - Whatever And Ever Amen [book],15,12,0,0,1.0,0.25,PERFECT
Billy Joel,Billy Joel - 52nd Street,9,Billy Joel,52nd Street,9,9,0,0,1.0,0.0,PERFECT
Billy Joel,Billy Joel - Anthology,29,Billy Joel,Billy Joel - Anthology,29,29,0,0,1.0,0.0,PERFECT
Billy Joel,Billy Joel - Best Of Piano Solos,13,Billy Joel,Best Of Piano Solos,13,13,0,0,1.0,0.0,PERFECT
Billy Joel,Billy Joel - Complete Vol 1,47,Billy Joel,Complete Vol 1,47,47,0,0,1.0,0.0,PERFECT
Billy Joel,Billy Joel - Complete Vol 2,48,Billy Joel,Complete Vol 2,48,48,0,0,1.0,0.0,PERFECT
Billy Joel,Billy Joel - Fantasies And Delusions,11,Billy Joel,Billy Joel - Fantasies & Delusions,11,11,0,0,1.0,0.0,PERFECT
Billy Joel,Billy Joel - For Advanced Piano,11,Billy Joel,For Advanced Piano,11,11,0,0,1.0,0.0,PERFECT
Billy Joel,Billy Joel - Glass Houses,10,Billy Joel,Billy Joel - Glass Houses,10,10,0,0,1.0,0.0,PERFECT
Billy Joel,Billy Joel - Greatest Hits,21,Billy Joel,Billy Joel - Greatest Hits,21,21,0,0,1.0,0.0,PERFECT
Billy Joel,Billy Joel - Greatest Hits Vol I And II,21,Billy Joel,Greatest Hits Vol I And Ii,21,21,0,0,1.0,0.0,PERFECT
Billy Joel,Billy Joel - Greatest Hits Vol III,1,Billy Joel,Greatest Hits Vol Iii,1,1,0,0,1.0,0.0,PERFECT
Billy Joel,Billy Joel - Keyboard Book,15,Billy Joel,Billy Joel - Keyboard Book,15,15,0,0,1.0,0.0,PERFECT
Billy Joel,Billy Joel - My Lives,72,Billy Joel,My Lives,72,72,0,0,1.0,0.0,PERFECT
Billy Joel,Billy Joel - Rock Score,8,Billy Joel,Rock Score,8,8,0,0,1.0,0.0,PERFECT
Billy Joel,Billy Joel - Songs In The Attic,11,Billy Joel,Songs In The Attic,11,11,0,0,1.0,0.0,PERFECT
Billy Joel,Billy Joel - Turnstiles,8,Billy Joel,Billy Joel - Turnstiles,8,8,0,0,1.0,0.0,PERFECT
Billy Joel,Billy Joel Greatest Hits Vols 1 And 2,11,Billy Joel,Billy Joel Greatest Hits Vols 1 And 2-(0001),11,11,0,0,1.0,0.0,PERFECT
Billy Ocean,Billy Ocean - The Best Of,10,Billy Ocean,The Best Of,10,10,0,0,1.0,0.0,PERFECT
Black Eyed Peas,Black Eyed Peas - Elephunk _PVG Book_,11,Black Eyed Peas,Elephunk [pvg Book],11,11,0,0,1.0,0.0,PERFECT
Blues Brothers,Blues Brothers - Complete,12,Blues Brothers,Complete,12,12,0,0,1.0,0.0,PERFECT
Bob Dylan,Bob Dylan - Anthology,46,Bob Dylan,Anthology 1,45,45,0,0,0.978,0.022,PERFECT
Bob Dylan,Bob Dylan - Anthology 1,46,Bob Dylan,Anthology,45,45,0,0,0.978,0.022,PERFECT
Bob Dylan,Bob Dylan - Anthology 2,51,Bob Dylan,Anthology 2,50,50,0,0,0.98,0.02,PERFECT
Bob Dylan,Bob Dylan - Basement Tapes _PVG_,24,Bob Dylan,Basement Tapes [pvg],24,24,0,0,1.0,0.0,PERFECT
Bob Dylan,Bob Dylan - Blonde On Blonde,13,Bob Dylan,Blonde On Blonde,13,13,0,0,1.0,0.0,PERFECT
Bob Dylan,Bob Dylan - Collection,47,Bob Dylan,Collection,46,46,0,0,0.979,0.021,PERFECT
Bob Dylan,Bob Dylan - Desire,9,Bob Dylan,Desire,9,9,0,0,1.0,0.0,PERFECT
Bob Dylan,Bob Dylan - Finger Picking,14,Bob Dylan,Finger Picking,14,14,0,0,1.0,0.0,PERFECT
Bob Dylan,Bob Dylan - Highway 61 Revisited,10,Bob Dylan,Highway 61 Revisited,10,10,0,0,1.0,0.0,PERFECT
Bob Dylan,Bob Dylan - Nashville Skyline,1,Bob Dylan,Bob Dylan - Nashville Skyline,1,1,0,0,1.0,0.0,PERFECT
Bob Dylan,Bob Dylan - Rock Score,6,Bob Dylan,Rock Score,6,6,0,0,1.0,0.0,PERFECT
Bob Dylan,Bob Dylan - Saved,8,Bob Dylan,Saved,8,8,0,0,1.0,0.0,PERFECT
Bob Dylan,Bob Dylan - Songbook,47,Bob Dylan,Songbook,47,47,0,0,1.0,0.0,PERFECT
Bob Dylan,Bob Dylan - The Harp Styles Of Bob Dylan _Harmonica_,12,Bob Dylan,The Harp Styles Of Bob Dylan [harmonica],12,12,0,0,1.0,0.0,PERFECT
Bob Seger,Bob Seger - Greatest Hits,14,Bob Seger,Greatest Hits,14,14,0,0,1.0,0.0,PERFECT
Bob Seger,Bob Seger - The New Best Of Bob Seger,5,Bob Seger,The New Best Of Bob Seger,5,5,0,0,1.0,0.0,PERFECT
Bon Jovi,Bon Jovi - Best Of Bon Jovi,19,Bon Jovi,Best Of Bon Jovi,19,19,0,0,1.0,0.0,PERFECT
Bonnie Raitt,Bonnie Raitt - Nick Of Time _PVG Book_,1,Bonnie Raitt,Bonnie Raitt - Nick Of Time [pvg Book],1,1,0,0,1.0,0.0,PERFECT
Bonnie Raitt,Bonnie Raitt - Road Tested _PVG Book_,22,Bonnie Raitt,Road Tested [pvg Book],22,22,0,0,1.0,0.0,PERFECT
Bonnie Tyler,Bonnie Tyler - Hot Songs,7,Bonnie Tyler,Hot Songs,7,7,0,0,1.0,0.0,PERFECT
Bread,Bread - Best Of Bread,4,Bread,Best Of Bread,4,4,0,0,1.0,0.0,PERFECT
Bruce Springsteen,Bruce Springsteen - Born In The USA,13,Bruce Springsteen,Born In The Usa,13,13,0,0,1.0,0.0,PERFECT
Bruce Springsteen,Bruce Springsteen - Born To Run,8,Bruce Springsteen,Born To Run,8,8,0,0,1.0,0.0,PERFECT
Bruce Springsteen,Bruce Springsteen - Greatest Hits,13,Bruce Springsteen,Greatest Hits,13,13,0,0,1.0,0.0,PERFECT
Bruce Springsteen,Bruce Springsteen - Lucky Town,9,Bruce Springsteen,Lucky Town,9,9,0,0,1.0,0.0,PERFECT
Buddy Holly,Buddy Holly - Golden Anniversary Songbook,28,Buddy Holly,Golden Anniversary Songbook,27,27,0,0,0.964,0.036,PERFECT
Burl Ives,Burl Ives - Song Book,106,Burl Ives,Song Book,107,105,0,0,0.991,0.009,PERFECT
Burt Bacharach,Burt Bacharach - 40 Golden Songs Of,40,Burt Bacharach,40 Golden Songs Of,39,39,0,0,0.975,0.025,PERFECT
Burt Bacharach,Burt Bacharach - Anthology,33,Burt Bacharach,Anthology,33,33,0,0,1.0,0.0,PERFECT
Burt Bacharach,Burt Bacharach - Bacharach Collection,15,Burt Bacharach,Bacharach Collection,15,15,0,0,1.0,0.0,PERFECT
Carole King,Carole King - Bradleys Best Of The Best _Organ_,13,Carole King,Bradley's Best Of The Best (organ),13,13,0,0,1.0,0.0,PERFECT
Carole King,Carole King - Classics,21,Carole King,Classics,21,21,0,0,1.0,0.0,PERFECT
Carole King,Carole King - Classics _2_,35,Carole King,Classics (2),35,35,0,0,1.0,0.0,PERFECT
Carole King,Carole King - Classics _3_,35,Carole King,Classics (3),35,35,0,0,1.0,0.0,PERFECT
Carole King,Carole King - Keyboard Play-Along Vol 22,8,Carole King,Keyboard Play-along Vol 22,8,8,0,0,1.0,0.0,PERFECT
