artist,book,is_duplicate,file_count
Bob Dylan,Anthology,False,45
Bob Dylan,Bob Dylan - Anthology 1,False,41
Bob Dylan,Bob Dylan - Basement Tapes [pvg],False,5
Bob Dylan,Bob Dylan - Blonde On Blonde,False,6
Bob Dylan,Bob Dylan - Collection,False,24
Bob Dylan,Bob Dylan - Desire,False,2
Bob Dylan,Bob Dylan - Finger Picking,False,9
Bob Dylan,Bob Dylan - Highway 61 Revisited,False,1
Bob Dylan,Bob Dylan - Rock Score,False,3
Bob Dylan,Bob Dylan - Songbook,False,12
Bob Dylan,Bob Dylan - The Harp Styles Of Bob Dylan [harmonica],False,3
Bob Dylan,Collection,False,46
Bob Dylan,Desire,False,9
Bob Marley And The Wailers,Great Bands Of The 70s,False,1
Bob Seger,Bob Seger - Greatest Hits,False,4
Bob Seger,Bob Seger - The New Best Of Bob Seger,False,3
Bob Seger,The New Best Of Bob Seger,False,5
Bon Jovi,Best Of Bon Jovi,False,19
Bonnie Raitt,Bonnie Raitt - Road Tested [pvg Book],False,7
Bonnie Raitt,Nick Of Time [pvg Book],False,1
Bonnie Raitt,Road Tested [pvg Book],False,22
Bonnie Tyler,Bonnie Tyler - Hot Songs,False,3
Bonnie Tyler,Hot Songs,False,7
Bread,Best Of Bread,False,4
Bread,Bread - Best Of Bread,False,3
Bruce Springsteen,Born To Run,False,8
Bruce Springsteen,Bruce Springsteen - Born In The Usa,False,5
Bruce Springsteen,Bruce Springsteen - Lucky Town,False,2
Bruce Springsteen,Greatest Hits,False,13
Buddy Holly,Buddy Holly - Golden Anniversary Songbook,False,9
Buddy Holly,Golden Anniversary Songbook,False,27
Burl Ives,Burl Ives - Song Book,False,60
Burl Ives,Song Book,False,107
Burt Bacharach,40 Golden Songs Of,False,39
Burt Bacharach,Anthology,False,33
Burt Bacharach,Bacharach Collection,False,15
Burt Bacharach,Burt Bacharach - Anthology,False,15
Burt Bacharach,Burt Bacharach - Bacharach Collection,False,4
Carole King,Bradley's Best Of The Best (organ),False,13
Carole King,Carole King - Bradley's Best Of The Best (organ),False,7
Carole King,Carole King - Classics (3),False,27
Carole King,Carole King - Classics,False,15
Carole King,Carole King - Keyboard Play-along Vol 22,False,3
Carole King,Carole King - Tapestry,False,9
Carole King,Carole King - The New Best Of Carole King,False,4
Carole King,Carole King - You're The Voice,False,1
Carole King,Classics (2),False,35
Carole King,Classics (3),False,35
Carole King,Classics,False,21
Carole King,Keyboard Play-along Vol 22,False,8
Carole King,Tapestry,False,12
Carole King,The New Best Of Carole King,False,19
Carole King,You're The Voice,False,11
Carpenters,Anthology,False,43
Carpenters,Carpenters - Anthology,False,21
Carpenters,Carpenters - Note For Note,False,2
Carpenters,Love Songs,False,22
Carpenters,Note For Note,False,11
Cheap Trick,Greatest Hits [score],False,1
Chicago,Great Bands Of The 70s,False,1
Colbie Caillat,Breakthrough [pvg Book],False,13
Colbie Caillat,Colbie Caillat - Breakthrough [pvg Book],False,1
Cole Porter,The Very Best Of Cole Porter,False,38
Cream,Cream Complete,False,25
Creedence Clearwater Revival,8 Pcs Book,False,8
Creedence Clearwater Revival,Best Of,False,20
Creedence Clearwater Revival,Creedence Clearwater Revival - Guitar Anthology,False,6
