BookFolder,NormalizedName,PDFCount,TotalFiles,IsDuplicate,DuplicateCount
Bob Dylan/Collection,Bob Dylan/Collection,46,46,Yes,2
Bob Dylan/Desire,Bob Dylan/Desire,9,9,Yes,2
Bob Dylan/Finger Picking,Bob Dylan/Finger Picking,14,14,Yes,2
Bob Dylan/Highway 61 Revisited,Bob Dylan/Highway 61 Revisited,10,10,Yes,2
Bob Dylan/Rock Score,Bob Dylan/Rock Score,6,6,Yes,2
Bob Dylan/Saved,Bob Dylan/Saved,8,8,No,1
Bob Dylan/Songbook,Bob Dylan/Songbook,47,47,Yes,2
Bob Dylan/The Harp Styles Of Bob Dylan [harmonica],Bob Dylan/The Harp Styles Of Bob Dylan [harmonica],12,12,Yes,2
Bob Marley And The Wailers/Great Bands Of The 70s,Bob Marley And The Wailers/Great Bands Of The 70s,1,1,No,1
Bob Seger/Bob Seger - Greatest Hits,Bob Seger/Greatest Hits,4,4,Yes,2
Bob Seger/Bob Seger - The New Best Of Bob Seger,Bob Seger/The New Best Of Bob Seger,3,3,Yes,2
Bob Seger/Greatest Hits,Bob Seger/Greatest Hits,14,14,Yes,2
Bob Seger/The New Best Of Bob Seger,Bob Seger/The New Best Of Bob Seger,5,5,Yes,2
Bon Jovi/Best Of Bon Jovi,Bon Jovi/Best Of Bon Jovi,19,19,Yes,2
Bon Jovi/Bon Jovi - Best Of Bon Jovi,Bon Jovi/Best Of Bon Jovi,18,18,Yes,2
Bonnie Raitt/Bonnie Raitt - Nick Of Time [pvg Book],Bonnie Raitt/Nick Of Time [pvg Book],1,1,Yes,2
Bonnie Raitt/Bonnie Raitt - Road Tested [pvg Book],Bonnie Raitt/Road Tested [pvg Book],7,7,Yes,2
Bonnie Raitt/Nick Of Time [pvg Book],Bonnie Raitt/Nick Of Time [pvg Book],1,1,Yes,2
Bonnie Raitt/Road Tested [pvg Book],Bonnie Raitt/Road Tested [pvg Book],22,22,Yes,2
