Artist,Book,SongCount,SampleSong
Bob Seger,The New Best Of Bob Seger,5,Bob Seger - Against The Wind.pdf
Bon Jovi,Best Of Bon Jovi,19,(no Clear Artist Name Provided) - Shot Through The Heart.pdf
Bon Jovi,Bon Jovi - Best Of Bon Jovi,18,Bon Jovi - Bad Medicine.pdf
Bonnie Raitt,Bonnie Raitt - Nick Of Time [pvg Book],1,Bonnie Raitt - Nick Of Time.pdf
Bonnie Raitt,Bonnie Raitt - Road Tested [pvg Book],7,Bonnie Raitt - Come To Me.pdf
Bonnie Raitt,Nick Of Time [pvg Book],1,Bonnie Raitt - Nick Of Time.pdf
Bonnie Raitt,Road Tested [pvg Book],22,(performed By Bryan Adams) - Rock Steady.pdf
Bonnie Tyler,Bonnie Tyler - Hot Songs,3,Bonnie Tyler - A Rockin' Good Way (to Mess Around And Fall In Love).pdf
Bonnie Tyler,Hot Songs,7,"Clyde Otis, Brook Benton And Luchi De Jesus - A Rockin' Good Way (to Mess Around And Fall In Love).pdf"
Bread,Best Of Bread,4,David Gates - Everything I Own.pdf
Bread,Bread - Best Of Bread,3,Bread - Hooked On You.pdf
Bruce Springsteen,Born In The Usa,13,Bruce Springsteen - Bobby Jean.pdf
Bruce Springsteen,Born To Run,8,Bruce Springsteen - Born To Run.pdf
Bruce Springsteen,Bruce Springsteen - Born In The Usa,5,Bruce Springsteen - Bobby Jean.pdf
Bruce Springsteen,Bruce Springsteen - Born To Run,7,Bruce Springsteen - Backstreets.pdf
Bruce Springsteen,Bruce Springsteen - Lucky Town,2,Bruce Springsteen - If I Should Fall Behind.pdf
Bruce Springsteen,Greatest Hits,13,Unknown Artist - Atlantic City.pdf
Bruce Springsteen,Lucky Town,9,Bruce Springsteen - Better Days.pdf
Buddy Holly,Buddy Holly - Golden Anniversary Songbook,9,Buddy Holly - An Empty Cup (and A Broken Date).pdf
Buddy Holly,Golden Anniversary Songbook,27,"(words And Music By Sunny West, Brian Wilson, Gary Usher) - Oh Boy!.pdf"
Burl Ives,Burl Ives - Song Book,60,"Burl Ives - Away, Rio.pdf"
Burl Ives,Song Book,107,"(a Scottish Ballad, Found In Earliest Text In 1737, Of The Tragic Ballad Type That Came To America About 1750. Very Free In Delivery) - Lord Randall.pdf"
Burt Bacharach,40 Golden Songs Of,39,(also Known As -a Message To Martha-) - (a) Message To Michael.pdf
Burt Bacharach,Anthology,33,Bud Powell - Twenty Four Hours From Tulsa.pdf
Burt Bacharach,Bacharach Collection,15,Burt Bacharach - I Say A Little Prayer.pdf
Burt Bacharach,Burt Bacharach - 40 Golden Songs Of,29,Burt Bacharach - (a) Message To Michael.pdf
Burt Bacharach,Burt Bacharach - Anthology,15,Burt Bacharach - Alfie.pdf
