BookName,CurrentArtist,CorrectArtist,CurrentPath,TargetPath,NeedsArtistRename,NeedsFolderRestructure
Bee Gees - Anthology,Bee Gees,Bee Gees,SheetMusic\Bee Gees\Books\Bee Gees - Anthology.pdf,SheetMusic\Bee Gees\Bee Gees - Anthology.pdf,False,True
Belinda Carlisle - 5 Of The Best _PVG_,Belinda Carlisle,Belinda Carlisle,SheetMusic\Belinda Carlisle\Books\Belinda Carlisle - 5 Of The Best _PVG_.pdf,SheetMusic\Belinda Carlisle\Belinda Carlisle - 5 Of The Best _PVG_.pdf,False,True
Ben Folds - Rockin The Suburbs _Book_,Ben Folds,Ben Folds,SheetMusic\Ben Folds\Books\Ben Folds - Rockin The Suburbs _Book_.pdf,SheetMusic\Ben Folds\Ben Folds - Rockin The Suburbs _Book_.pdf,False,True
Ben Folds - Songs For Silverman,Ben Folds,Ben Folds,SheetMusic\Ben Folds\Books\Ben Folds - Songs For Silverman.pdf,SheetMusic\Ben Folds\Ben Folds - Songs For Silverman.pdf,False,True
Ben Folds - Songs For The Silverman,Ben Folds,Ben Folds,SheetMusic\Ben Folds\Books\Ben Folds - Songs For The Silverman.pdf,SheetMusic\Ben Folds\Ben Folds - Songs For The Silverman.pdf,False,True
Ben Folds Five - Rockin The Suburbs,Ben Folds,Ben Folds,SheetMusic\Ben Folds\Books\Ben Folds Five - Rockin The Suburbs.pdf,SheetMusic\Ben Folds\Ben Folds Five - Rockin The Suburbs.pdf,False,True
Ben Folds Five - Selections From Naked Baby Photos _Score_,Ben Folds,Ben Folds,SheetMusic\Ben Folds\Books\Ben Folds Five - Selections From Naked Baby Photos _Score_.pdf,SheetMusic\Ben Folds\Ben Folds Five - Selections From Naked Baby Photos _Score_.pdf,False,True
Ben Folds Five - Whatever And Ever Amen _Book_,Ben Folds,Ben Folds,SheetMusic\Ben Folds\Books\Ben Folds Five - Whatever And Ever Amen _Book_.pdf,SheetMusic\Ben Folds\Ben Folds Five - Whatever And Ever Amen _Book_.pdf,False,True
Billy Joel - 52nd Street,Billy Joel,Billy Joel,SheetMusic\Billy Joel\Books\Billy Joel - 52nd Street.pdf,SheetMusic\Billy Joel\Billy Joel - 52nd Street.pdf,False,True
Billy Joel - Anthology,Billy Joel,Billy Joel,SheetMusic\Billy Joel\Books\Billy Joel - Anthology.pdf,SheetMusic\Billy Joel\Billy Joel - Anthology.pdf,False,True
Billy Joel - Best Of Piano Solos,Billy Joel,Billy Joel,SheetMusic\Billy Joel\Books\Billy Joel - Best Of Piano Solos.pdf,SheetMusic\Billy Joel\Billy Joel - Best Of Piano Solos.pdf,False,True
Billy Joel - Complete Vol 1,Billy Joel,Billy Joel,SheetMusic\Billy Joel\Books\Billy Joel - Complete Vol 1.pdf,SheetMusic\Billy Joel\Billy Joel - Complete Vol 1.pdf,False,True
Billy Joel - Complete Vol 2,Billy Joel,Billy Joel,SheetMusic\Billy Joel\Books\Billy Joel - Complete Vol 2.pdf,SheetMusic\Billy Joel\Billy Joel - Complete Vol 2.pdf,False,True
Billy Joel - Fantasies And Delusions,Billy Joel,Billy Joel,SheetMusic\Billy Joel\Books\Billy Joel - Fantasies And Delusions.pdf,SheetMusic\Billy Joel\Billy Joel - Fantasies And Delusions.pdf,False,True
Billy Joel - For Advanced Piano,Billy Joel,Billy Joel,SheetMusic\Billy Joel\Books\Billy Joel - For Advanced Piano.pdf,SheetMusic\Billy Joel\Billy Joel - For Advanced Piano.pdf,False,True
Billy Joel - Glass Houses,Billy Joel,Billy Joel,SheetMusic\Billy Joel\Books\Billy Joel - Glass Houses.pdf,SheetMusic\Billy Joel\Billy Joel - Glass Houses.pdf,False,True
Billy Joel - Greatest Hits Vol I And II,Billy Joel,Billy Joel,SheetMusic\Billy Joel\Books\Billy Joel - Greatest Hits Vol I And II.pdf,SheetMusic\Billy Joel\Billy Joel - Greatest Hits Vol I And II.pdf,False,True
Billy Joel - Greatest Hits Vol III,Billy Joel,Billy Joel,SheetMusic\Billy Joel\Books\Billy Joel - Greatest Hits Vol III.pdf,SheetMusic\Billy Joel\Billy Joel - Greatest Hits Vol III.pdf,False,True
Billy Joel - Greatest Hits,Billy Joel,Billy Joel,SheetMusic\Billy Joel\Books\Billy Joel - Greatest Hits.pdf,SheetMusic\Billy Joel\Billy Joel - Greatest Hits.pdf,False,True
Billy Joel - Keyboard Book,Billy Joel,Billy Joel,SheetMusic\Billy Joel\Books\Billy Joel - Keyboard Book.pdf,SheetMusic\Billy Joel\Billy Joel - Keyboard Book.pdf,False,True
Billy Joel - My Lives,Billy Joel,Billy Joel,SheetMusic\Billy Joel\Books\Billy Joel - My Lives.pdf,SheetMusic\Billy Joel\Billy Joel - My Lives.pdf,False,True
Billy Joel - Rock Score,Billy Joel,Billy Joel,SheetMusic\Billy Joel\Books\Billy Joel - Rock Score.pdf,SheetMusic\Billy Joel\Billy Joel - Rock Score.pdf,False,True
Billy Joel - Songs In The Attic,Billy Joel,Billy Joel,SheetMusic\Billy Joel\Books\Billy Joel - Songs In The Attic.pdf,SheetMusic\Billy Joel\Billy Joel - Songs In The Attic.pdf,False,True
Billy Joel - Turnstiles,Billy Joel,Billy Joel,SheetMusic\Billy Joel\Books\Billy Joel - Turnstiles.pdf,SheetMusic\Billy Joel\Billy Joel - Turnstiles.pdf,False,True
Billy Joel Greatest Hits Vols 1 And 2,Billy Joel,Billy Joel,SheetMusic\Billy Joel\Books\Billy Joel Greatest Hits Vols 1 And 2.pdf,SheetMusic\Billy Joel\Billy Joel Greatest Hits Vols 1 And 2.pdf,False,True
Billy Ocean - The Best Of,Billy Ocean,Billy Ocean,SheetMusic\Billy Ocean\Books\Billy Ocean - The Best Of.pdf,SheetMusic\Billy Ocean\Billy Ocean - The Best Of.pdf,False,True
Black Eyed Peas - Elephunk _PVG Book_,Black Eyed Peas,Black Eyed Peas,SheetMusic\Black Eyed Peas\Books\Black Eyed Peas - Elephunk _PVG Book_.pdf,SheetMusic\Black Eyed Peas\Black Eyed Peas - Elephunk _PVG Book_.pdf,False,True
Blues Brothers - Complete,Blues Brothers,Blues Brothers,SheetMusic\Blues Brothers\Books\Blues Brothers - Complete.pdf,SheetMusic\Blues Brothers\Blues Brothers - Complete.pdf,False,True
Bob Dylan - Anthology 1,Bob Dylan,Bob Dylan,SheetMusic\Bob Dylan\Books\Bob Dylan - Anthology 1.pdf,SheetMusic\Bob Dylan\Bob Dylan - Anthology 1.pdf,False,True
Bob Dylan - Anthology 2,Bob Dylan,Bob Dylan,SheetMusic\Bob Dylan\Books\Bob Dylan - Anthology 2.pdf,SheetMusic\Bob Dylan\Bob Dylan - Anthology 2.pdf,False,True
Bob Dylan - Anthology,Bob Dylan,Bob Dylan,SheetMusic\Bob Dylan\Books\Bob Dylan - Anthology.pdf,SheetMusic\Bob Dylan\Bob Dylan - Anthology.pdf,False,True
Bob Dylan - Basement Tapes _PVG_,Bob Dylan,Bob Dylan,SheetMusic\Bob Dylan\Books\Bob Dylan - Basement Tapes _PVG_.pdf,SheetMusic\Bob Dylan\Bob Dylan - Basement Tapes _PVG_.pdf,False,True
Bob Dylan - Blonde On Blonde,Bob Dylan,Bob Dylan,SheetMusic\Bob Dylan\Books\Bob Dylan - Blonde On Blonde.pdf,SheetMusic\Bob Dylan\Bob Dylan - Blonde On Blonde.pdf,False,True
Bob Dylan - Collection,Bob Dylan,Bob Dylan,SheetMusic\Bob Dylan\Books\Bob Dylan - Collection.pdf,SheetMusic\Bob Dylan\Bob Dylan - Collection.pdf,False,True
Bob Dylan - Desire,Bob Dylan,Bob Dylan,SheetMusic\Bob Dylan\Books\Bob Dylan - Desire.pdf,SheetMusic\Bob Dylan\Bob Dylan - Desire.pdf,False,True
Bob Dylan - Finger Picking,Bob Dylan,Bob Dylan,SheetMusic\Bob Dylan\Books\Bob Dylan - Finger Picking.pdf,SheetMusic\Bob Dylan\Bob Dylan - Finger Picking.pdf,False,True
Bob Dylan - Highway 61 Revisited,Bob Dylan,Bob Dylan,SheetMusic\Bob Dylan\Books\Bob Dylan - Highway 61 Revisited.pdf,SheetMusic\Bob Dylan\Bob Dylan - Highway 61 Revisited.pdf,False,True
Bob Dylan - Nashville Skyline,Bob Dylan,Bob Dylan,SheetMusic\Bob Dylan\Books\Bob Dylan - Nashville Skyline.pdf,SheetMusic\Bob Dylan\Bob Dylan - Nashville Skyline.pdf,False,True
