Artist,BookName,SourcePath,SourceExists,ProcessedFolderName,ProcessedPath,ProcessedExists,FileCount,Status
Ben Folds,Ben Folds - Rockin The Suburbs _Book_,Ben Folds\Ben Folds - Rockin The Suburbs _Book_.pdf,YES,Ben Folds - Rockin The Suburbs _Book_,Ben Folds\Ben Folds - Rockin The Suburbs _Book_,YES,1,COMPLETE
Ben Folds,Ben Folds - Songs For Silverman,Ben Folds\Ben Folds - Songs For Silverman.pdf,YES,Ben Folds - Songs For Silverman,Ben Folds\Ben Folds - Songs For Silverman,YES,13,COMPLETE
Ben Folds,Ben Folds - Songs For The Silverman,Ben Folds\Ben Folds - Songs For The Silverman.pdf,YES,Ben Folds - Songs For The Silverman,Ben Folds\Ben Folds - Songs For The Silverman,YES,13,COMPLETE
Ben Folds,Ben Folds Five - Rockin The Suburbs,Ben Folds\Ben Folds Five - Rockin The Suburbs.pdf,YES,Ben Folds Five - Rockin The Suburbs,Ben Folds\Ben Folds Five - Rockin The Suburbs,YES,12,COMPLETE
Ben Folds,Ben Folds Five - Selections From Naked Baby Photos _Score_,Ben Folds\Ben Folds Five - Selections From Naked Baby Photos _Score_.pdf,YES,Ben Folds Five - Selections From Naked Baby Photos _Score_,Ben Folds\Ben Folds Five - Selections From Naked Baby Photos _Score_,YES,15,COMPLETE
Ben Folds,Ben Folds Five - Whatever And Ever Amen _Book_,Ben Folds\Ben Folds Five - Whatever And Ever Amen _Book_.pdf,YES,Ben Folds Five - Whatever And Ever Amen _Book_,Ben Folds\Ben Folds Five - Whatever And Ever Amen _Book_,YES,12,COMPLETE
Billy Joel,Billy Joel - 52nd Street,Billy Joel\Billy Joel - 52nd Street.pdf,YES,Billy Joel - 52nd Street,Billy Joel\Billy Joel - 52nd Street,YES,9,COMPLETE
Billy Joel,Billy Joel - Anthology,Billy Joel\Billy Joel - Anthology.pdf,YES,Billy Joel - Anthology,Billy Joel\Billy Joel - Anthology,YES,29,COMPLETE
Billy Joel,Billy Joel - Best Of Piano Solos,Billy Joel\Billy Joel - Best Of Piano Solos.pdf,YES,Billy Joel - Best Of Piano Solos,Billy Joel\Billy Joel - Best Of Piano Solos,YES,13,COMPLETE
Billy Joel,Billy Joel - Complete Vol 1,Billy Joel\Billy Joel - Complete Vol 1.pdf,YES,Billy Joel - Complete Vol 1,Billy Joel\Billy Joel - Complete Vol 1,YES,47,COMPLETE
Billy Joel,Billy Joel - Complete Vol 2,Billy Joel\Billy Joel - Complete Vol 2.pdf,YES,Billy Joel - Complete Vol 2,Billy Joel\Billy Joel - Complete Vol 2,YES,48,COMPLETE
Billy Joel,Billy Joel - Fantasies And Delusions,Billy Joel\Billy Joel - Fantasies And Delusions.pdf,YES,Billy Joel - Fantasies And Delusions,Billy Joel\Billy Joel - Fantasies And Delusions,YES,11,COMPLETE
Billy Joel,Billy Joel - For Advanced Piano,Billy Joel\Billy Joel - For Advanced Piano.pdf,YES,Billy Joel - For Advanced Piano,Billy Joel\Billy Joel - For Advanced Piano,YES,11,COMPLETE
Billy Joel,Billy Joel - Glass Houses,Billy Joel\Billy Joel - Glass Houses.pdf,YES,Billy Joel - Glass Houses,Billy Joel\Billy Joel - Glass Houses,YES,10,COMPLETE
Billy Joel,Billy Joel - Greatest Hits,Billy Joel\Billy Joel - Greatest Hits.pdf,YES,Billy Joel - Greatest Hits,Billy Joel\Billy Joel - Greatest Hits,YES,21,COMPLETE
Billy Joel,Billy Joel - Greatest Hits Vol I And II,Billy Joel\Billy Joel - Greatest Hits Vol I And II.pdf,YES,Billy Joel - Greatest Hits Vol I And II,Billy Joel\Billy Joel - Greatest Hits Vol I And II,YES,21,COMPLETE
