"Artist","BookName","SourcePath","HasFolder","HasPDFs","Status"
"Duran Duran","Duran Duran - Seven & The Ragged Tiger [Jap Band Score]","C:\Work\AWSMusic\SheetMusic\Duran Duran\Books\Duran Duran - Seven & The Ragged Tiger [Jap Band Score].pdf","False","False","Missing"
"Eagles","Eagles - Greatest Hits (1971-1975)","C:\Work\AWSMusic\SheetMusic\Eagles\Books\Eagles - Greatest Hits (1971-1975).pdf","False","False","Missing"
"Eagles","Eagles - Greatest Hits","C:\Work\AWSMusic\SheetMusic\Eagles\Books\Eagles - Greatest Hits.pdf","False","False","Missing"
"Eagles","Eagles - Hotel California (Guitar Songbook)","C:\Work\AWSMusic\SheetMusic\Eagles\Books\Eagles - Hotel California (Guitar Songbook).pdf","False","False","Missing"
"Eagles","Eagles - Made Easy For Guitar","C:\Work\AWSMusic\SheetMusic\Eagles\Books\Eagles - Made Easy For Guitar.pdf","False","False","Missing"
"Eagles","Eagles - New Eagles Complete","C:\Work\AWSMusic\SheetMusic\Eagles\Books\Eagles - New Eagles Complete.pdf","False","False","Missing"
"Eagles","Eagles - The Best Of The Eagles - Songbook","C:\Work\AWSMusic\SheetMusic\Eagles\Books\Eagles - The Best Of The Eagles - Songbook.pdf","False","False","Missing"
"ELO","ELO - A New World Record","C:\Work\AWSMusic\SheetMusic\ELO\Books\ELO - A New World Record.pdf","False","False","Missing"
"ELO","ELO - Anthology [PVG]","C:\Work\AWSMusic\SheetMusic\ELO\Books\ELO - Anthology [PVG].pdf","False","False","Missing"
"ELO","ELO - Discovery [PVG Book]","C:\Work\AWSMusic\SheetMusic\ELO\Books\ELO - Discovery [PVG Book].pdf","False","False","Missing"
"ELO","ELO - Face The Music [PVG Bok]","C:\Work\AWSMusic\SheetMusic\ELO\Books\ELO - Face The Music [PVG Bok].pdf","False","False","Missing"
"ELO","ELO - Greatest Hits","C:\Work\AWSMusic\SheetMusic\ELO\Books\ELO - Greatest Hits.pdf","True","True","Complete"
"ELO","ELO - Out Of The Blue [Book]","C:\Work\AWSMusic\SheetMusic\ELO\Books\ELO - Out Of The Blue [Book].pdf","True","False","Empty"
"ELO","Elton John - The Elton John Collection [Piano Solos]","C:\Work\AWSMusic\SheetMusic\ELO\Books\Elton John - The Elton John Collection [Piano Solos].pdf","False","False","Missing"
"Elton John","Elton John - A Single Man","C:\Work\AWSMusic\SheetMusic\Elton John\Books\Elton John - A Single Man.pdf","False","False","Missing"
"Elton John","Elton John - Captain Fantastic","C:\Work\AWSMusic\SheetMusic\Elton John\Books\Elton John - Captain Fantastic.pdf","False","False","Missing"
"Elton John","Elton John - Goodbye Yellow Brick Road","C:\Work\AWSMusic\SheetMusic\Elton John\Books\Elton John - Goodbye Yellow Brick Road.pdf","True","True","Complete"
"Elton John","Elton John - Greatest Hits 1970-2002","C:\Work\AWSMusic\SheetMusic\Elton John\Books\Elton John - Greatest Hits 1970-2002.pdf","False","False","Missing"
"Elton John","Elton John - Ice On Fire","C:\Work\AWSMusic\SheetMusic\Elton John\Books\Elton John - Ice On Fire.pdf","False","False","Missing"
"Elton John","Elton John - Made In England","C:\Work\AWSMusic\SheetMusic\Elton John\Books\Elton John - Made In England.pdf","False","False","Missing"
"Elton John","Elton John - Peachtree Road","C:\Work\AWSMusic\SheetMusic\Elton John\Books\Elton John - Peachtree Road.pdf","False","False","Missing"
"Elton John","Elton John - Reg Strikes Back","C:\Work\AWSMusic\SheetMusic\Elton John\Books\Elton John - Reg Strikes Back.pdf","False","False","Missing"
"Elton John","Elton John - Sleeping With The Past","C:\Work\AWSMusic\SheetMusic\Elton John\Books\Elton John - Sleeping With The Past.pdf","False","False","Missing"
"Elton John","Elton John - Songs From The West Coast","C:\Work\AWSMusic\SheetMusic\Elton John\Books\Elton John - Songs From The West Coast.pdf","False","False","Missing"
"Elton John","Elton John - The Big Picture","C:\Work\AWSMusic\SheetMusic\Elton John\Books\Elton John - The Big Picture.pdf","False","False","Missing"
"Elton John","Elton John - The Elton John Collection [Piano Solos]","C:\Work\AWSMusic\SheetMusic\Elton John\Books\Elton John - The Elton John Collection [Piano Solos].pdf","True","False","Empty"
"Elton John","Elton John - The One","C:\Work\AWSMusic\SheetMusic\Elton John\Books\Elton John - The One.pdf","False","False","Missing"
"Elton John","Elton John - The Ultimate Collection Vol. 1","C:\Work\AWSMusic\SheetMusic\Elton John\Books\Elton John - The Ultimate Collection Vol. 1.pdf","False","False","Missing"
"Elton John","Elton John - The Ultimate Collection Vol. 2","C:\Work\AWSMusic\SheetMusic\Elton John\Books\Elton John - The Ultimate Collection Vol. 2.pdf","False","False","Missing"
"Elton John","Elton John - The Very Best Of","C:\Work\AWSMusic\SheetMusic\Elton John\Books\Elton John - The Very Best Of.pdf","False","False","Missing"
"Elton John","Elton John - Too Low For Zero [Book]","C:\Work\AWSMusic\SheetMusic\Elton John\Books\Elton John - Too Low For Zero [Book].pdf","False","False","Missing"
"Elvis Costello","Elvis Costello - The Very Best Of","C:\Work\AWSMusic\SheetMusic\Elvis Costello\Books\Elvis Costello - The Very Best Of.pdf","False","False","Missing"
"Elvis Presley","Elvis Presley - The Compleat [PVG Book]","C:\Work\AWSMusic\SheetMusic\Elvis Presley\Books\Elvis Presley - The Compleat [PVG Book].pdf","False","False","Missing"
"Emerson Lake and Palmer","Emerson Lake and Palmer - Black Book","C:\Work\AWSMusic\SheetMusic\Emerson Lake and Palmer\Books\Emerson Lake and Palmer - Black Book.pdf","False","False","Missing"
"Emerson Lake and Palmer","Emerson Lake and Palmer - Greatest Hits","C:\Work\AWSMusic\SheetMusic\Emerson Lake and Palmer\Books\Emerson Lake and Palmer - Greatest Hits.pdf","False","False","Missing"
"Emerson Lake and Palmer","Emerson Lake and Palmer - Tarkus [Book]","C:\Work\AWSMusic\SheetMusic\Emerson Lake and Palmer\Books\Emerson Lake and Palmer - Tarkus [Book].pdf","False","False","Missing"
"Emerson Lake and Palmer","Emerson Lake and Palmer - Trilogy [Book]","C:\Work\AWSMusic\SheetMusic\Emerson Lake and Palmer\Books\Emerson Lake and Palmer - Trilogy [Book].pdf","False","False","Missing"
"Eric Clapton","Eric Clapton - Derek and the Dominos [Book]","C:\Work\AWSMusic\SheetMusic\Eric Clapton\Books\Eric Clapton - Derek and the Dominos [Book].pdf","False","False","Missing"
"Eric Clapton","Eric Clapton - The Best of Book","C:\Work\AWSMusic\SheetMusic\Eric Clapton\Books\Eric Clapton - The Best of Book.pdf","False","False","Missing"
"Eric Clapton","Eric Clapton - The Cream of Clapton","C:\Work\AWSMusic\SheetMusic\Eric Clapton\Books\Eric Clapton - The Cream of Clapton.pdf","False","False","Missing"
"Eric Clapton","Eric Clapton - Unplugged [Book]","C:\Work\AWSMusic\SheetMusic\Eric Clapton\Books\Eric Clapton - Unplugged [Book].pdf","False","False","Missing"
"Fleetwood Mac","Fleetwood Mac - Anthology","C:\Work\AWSMusic\SheetMusic\Fleetwood Mac\Books\Fleetwood Mac - Anthology.pdf","False","False","Missing"
"Fleetwood Mac","Fleetwood Mac - Deluxe Anthology","C:\Work\AWSMusic\SheetMusic\Fleetwood Mac\Books\Fleetwood Mac - Deluxe Anthology.pdf","False","False","Missing"
"Fleetwood Mac","Fleetwood Mac - Fleetwood Mac + Heroes Are Hard To Find","C:\Work\AWSMusic\SheetMusic\Fleetwood Mac\Books\Fleetwood Mac - Fleetwood Mac + Heroes Are Hard To Find.pdf","False","False","Missing"
