artist,expected_book,expected_count,status,keep_folder,delete_folders,notes
Cole Porter,Cole Porter - The Very Best Of Cole Porter,38,DUPLICATE,The Very Best Of Cole Porter,Cole Porter - The Very Best Of Cole Porter,"Keep 38 songs, delete 34 songs from 1 folders"
Cream,Cream - Cream Complete,25,DUPLICATE,Cream Complete,Cream - Cream Complete,"Keep 25 songs, delete 20 songs from 1 folders"
Creedence Clearwater Revival,Creedence Clearwater Revival - 8 Pcs Book,8,DUPLICATE,8 Pcs Book,Creedence Clearwater Revival - 8 Pcs Book,"Keep 8 songs, delete 5 songs from 1 folders"
Creedence Clearwater Revival,Creedence Clearwater Revival - Best Of,20,DUPLICATE,Best Of,Creedence Clearwater Revival - Best Of,"Keep 20 songs, delete 13 songs from 1 folders"
Creedence Clearwater Revival,Creedence Clearwater Revival - Guitar Anthology,20,DUPLICATE,Guitar Anthology,Creedence Clearwater Revival - Guitar Anthology,"Keep 20 songs, delete 6 songs from 1 folders"
Creedence Clearwater Revival,Creedence Clearwater Revival - Guitar Tab Book,7,DUPLICATE,Creedence Clearwater Revival - Guitar Tab Book,Guitar Tab Book,"Keep 7 songs, delete 1 songs from 1 folders"
Creedence Clearwater Revival,Creedence Clearwater Revival - Ultimate Minus One,7,DUPLICATE,Ultimate Minus One,Creedence Clearwater Revival - Ultimate Minus One,"Keep 7 songs, delete 4 songs from 1 folders"
Crosby Stills and Nash,Crosby Stills Nash And Young - Deja Vu _PVG Book_,21,MISSING,,,No matching folder found in S3
Crosby Stills and Nash,Crosby Stills Nash And Young - The Guitar Collection,0,MISSING,,,No matching folder found in S3
Crowded House,Crowded House - The Very Best Of _PVG Book_,19,MISSING,,,No matching folder found in S3
Crowded House,Crowded House - Together Alone _PVG Book_,13,MISSING,,,No matching folder found in S3
David Crosby,David Crosby - Songbook _Lead Sheets_,1,MISSING,,,No matching folder found in S3
Dire Straits,Dire Straits - Best Of Dire Straits _Guitar Tab_,22,MISSING,,,No matching folder found in S3
Dire Straits,Dire Straits - Brothers In Arms,9,DUPLICATE,Dire Straits - Brothers In Arms,Brothers In Arms,"Keep 9 songs, delete 1 songs from 1 folders"
Dire Straits,Dire Straits - Jam With Dire Straits _Guitar Book_,8,MISSING,,,No matching folder found in S3
Dire Straits,Dire Straits - Mark Knopfler Guitar Styles Vol 1 _Guitar Book_,0,MISSING,,,No matching folder found in S3
