"Artist","BookName","FolderPath","PDFCount"
"Elton John","Captain Fantastic","C:\Work\AWSMusic\ProcessedSongs\Elton John\Captain Fantastic","1"
"Elton John","Elton John - Goodbye Yellow Brick Road","C:\Work\AWSMusic\ProcessedSongs\Elton John\Elton John - Goodbye Yellow Brick Road","2"
"Elton John","Greatest Hits 1970-2002","C:\Work\AWSMusic\ProcessedSongs\Elton John\Greatest Hits 1970-2002","30"
"Elton John","Ice On Fire","C:\Work\AWSMusic\ProcessedSongs\Elton John\Ice On Fire","12"
"Elton John","Made In England","C:\Work\AWSMusic\ProcessedSongs\Elton John\Made In England","11"
"Elton John","Peachtree Road","C:\Work\AWSMusic\ProcessedSongs\Elton John\Peachtree Road","10"
"Elton John","Reg Strikes Back","C:\Work\AWSMusic\ProcessedSongs\Elton John\Reg Strikes Back","9"
"Elton John","Sleeping With The Past","C:\Work\AWSMusic\ProcessedSongs\Elton John\Sleeping With The Past","1"
"Elton John","Songs From The West Coast","C:\Work\AWSMusic\ProcessedSongs\Elton John\Songs From The West Coast","3"
"Elton John","The Big Picture","C:\Work\AWSMusic\ProcessedSongs\Elton John\The Big Picture","3"
"Elton John","The One","C:\Work\AWSMusic\ProcessedSongs\Elton John\The One","5"
"Elton John","The Ultimate Collection Vol. 1","C:\Work\AWSMusic\ProcessedSongs\Elton John\The Ultimate Collection Vol. 1","59"
"Elton John","The Ultimate Collection Vol. 2","C:\Work\AWSMusic\ProcessedSongs\Elton John\The Ultimate Collection Vol. 2","29"
"Elton John","The Very Best Of","C:\Work\AWSMusic\ProcessedSongs\Elton John\The Very Best Of","1"
"Elvis Costello","The Very Best Of","C:\Work\AWSMusic\ProcessedSongs\Elvis Costello\The Very Best Of","42"
"Emerson Lake And Palmer","Black Book","C:\Work\AWSMusic\ProcessedSongs\Emerson Lake And Palmer\Black Book","2"
"Emerson Lake And Palmer","Greatest Hits","C:\Work\AWSMusic\ProcessedSongs\Emerson Lake And Palmer\Greatest Hits","10"
"Eric Clapton","The Best Of Book","C:\Work\AWSMusic\ProcessedSongs\Eric Clapton\The Best Of Book","10"
"Fleetwood Mac","Anthology","C:\Work\AWSMusic\ProcessedSongs\Fleetwood Mac\Anthology","27"
"Fleetwood Mac","Deluxe Anthology","C:\Work\AWSMusic\ProcessedSongs\Fleetwood Mac\Deluxe Anthology","42"
"Fleetwood Mac","Fleetwood Mac + Heroes Are Hard To Find","C:\Work\AWSMusic\ProcessedSongs\Fleetwood Mac\Fleetwood Mac + Heroes Are Hard To Find","15"
"Fleetwood Mac","Mirage","C:\Work\AWSMusic\ProcessedSongs\Fleetwood Mac\Mirage","12"
"Fleetwood Mac","Rumours","C:\Work\AWSMusic\ProcessedSongs\Fleetwood Mac\Rumours","11"
"Fleetwood Mac","Tango In The Night","C:\Work\AWSMusic\ProcessedSongs\Fleetwood Mac\Tango In The Night","12"
"Fleetwood Mac","The Dance","C:\Work\AWSMusic\ProcessedSongs\Fleetwood Mac\The Dance","13"
"Frank Zappa","Frank Zappa - Hot Rats","C:\Work\AWSMusic\ProcessedSongs\Frank Zappa\Frank Zappa - Hot Rats","2"
"Frank Zappa","Songbook Vol 1","C:\Work\AWSMusic\ProcessedSongs\Frank Zappa\Songbook Vol 1","17"
"Frank Zappa","The Frank Zappa Guitar Book (transcriptions By Steve Vai)","C:\Work\AWSMusic\ProcessedSongs\Frank Zappa\The Frank Zappa Guitar Book (transcriptions By Steve Vai)","12"
"Garth Brooks","The Limited Series","C:\Work\AWSMusic\ProcessedSongs\Garth Brooks\The Limited Series","21"
"Genesis","Anthology","C:\Work\AWSMusic\ProcessedSongs\Genesis\Anthology","44"
"Genesis","Best Of Vol 1","C:\Work\AWSMusic\ProcessedSongs\Genesis\Best Of Vol 1","10"
"Genesis","Rock Score","C:\Work\AWSMusic\ProcessedSongs\Genesis\Rock Score","4"
"Genesis","Seconds Out","C:\Work\AWSMusic\ProcessedSongs\Genesis\Seconds Out","8"
"Genesis","Selling England By The Pound","C:\Work\AWSMusic\ProcessedSongs\Genesis\Selling England By The Pound","7"
"George Michael","Greatest Hits","C:\Work\AWSMusic\ProcessedSongs\George Michael\Greatest Hits","29"
"Henri Mancini","Henry Mancini - A Merry Mancini Christmas","C:\Work\AWSMusic\ProcessedSongs\Henri Mancini\Henry Mancini - A Merry Mancini Christmas","13"
"Herman's Hermits","Collection","C:\Work\AWSMusic\ProcessedSongs\Herman's Hermits\Collection","8"
"Jackson Browne","Deluxe Anthology","C:\Work\AWSMusic\ProcessedSongs\Jackson Browne\Deluxe Anthology","39"
"James Taylor","Classics (guitar Tab)","C:\Work\AWSMusic\ProcessedSongs\James Taylor\Classics (guitar Tab)","15"
"James Taylor","Guitar Songbook","C:\Work\AWSMusic\ProcessedSongs\James Taylor\Guitar Songbook","24"
"James Taylor","James Taylor Songbook","C:\Work\AWSMusic\ProcessedSongs\James Taylor\James Taylor Songbook","24"
"Jim Croce","Acoustic Fingerstyle Video Guitar Lessons","C:\Work\AWSMusic\ProcessedSongs\Jim Croce\Acoustic Fingerstyle Video Guitar Lessons","1"
"Joe Cocker","Best Of","C:\Work\AWSMusic\ProcessedSongs\Joe Cocker\Best Of","16"
"Joe Cocker","Songbook","C:\Work\AWSMusic\ProcessedSongs\Joe Cocker\Songbook","1"
"John Denver","Anthology","C:\Work\AWSMusic\ProcessedSongs\John Denver\Anthology","53"
"John Denver","The Authentic Guitar Style Of","C:\Work\AWSMusic\ProcessedSongs\John Denver\The Authentic Guitar Style Of","12"
"John Lennon","Collection","C:\Work\AWSMusic\ProcessedSongs\John Lennon\Collection","3"
"John Lennon","Greatest Hits","C:\Work\AWSMusic\ProcessedSongs\John Lennon\Greatest Hits","15"
"Joni Mitchell","Joni Mitchell Songbook Complete Vol1 1966-1970","C:\Work\AWSMusic\ProcessedSongs\Joni Mitchell\Joni Mitchell Songbook Complete Vol1 1966-1970","28"
"Journey","Complete","C:\Work\AWSMusic\ProcessedSongs\Journey\Complete","68"
"Journey","Complete Songbook","C:\Work\AWSMusic\ProcessedSongs\Journey\Complete Songbook","68"
"Journey","Greatest Hits","C:\Work\AWSMusic\ProcessedSongs\Journey\Greatest Hits","6"
"Journey","Greatest Hits (book)","C:\Work\AWSMusic\ProcessedSongs\Journey\Greatest Hits (book)","5"
"Journey","The Guitar Collection","C:\Work\AWSMusic\ProcessedSongs\Journey\The Guitar Collection","16"
"Judy Garland","Songbook","C:\Work\AWSMusic\ProcessedSongs\Judy Garland\Songbook","13"
"Kelly Clarkson","Kelly Clarkson - Breakaway (book)","C:\Work\AWSMusic\ProcessedSongs\Kelly Clarkson\Kelly Clarkson - Breakaway (book)","5"
"Kinks","Great Songs Of Kinks","C:\Work\AWSMusic\ProcessedSongs\Kinks\Great Songs Of Kinks","8"
