PDF_Path,Artist,PDF_Stem,Book_Name,Expected_Folder
SheetMusic\_Movie and TV\John Williams\Books\John Williams - Star Wars Episode II - Attack Of The Clones _lite_.pdf,_Movie and TV,John Williams - Star Wars Episode II - Attack Of The Clones _lite_,Star Wars Episode II - Attack Of The Clones _lite_,ProcessedSongs\_Movie and TV\Star Wars Episode II - Attack Of The Clones _lite_
SheetMusic\_Movie and TV\John Williams\Books\John Williams - Star Wars Episode III - Revenge Of The Sith_Incomplete Grab_.pdf,_Movie and TV,John Williams - Star Wars Episode III - Revenge Of The Sith_Incomplete Grab_,Star Wars Episode III - Revenge Of The Sith_Incomplete Grab_,ProcessedSongs\_Movie and TV\Star Wars Episode III - Revenge Of The Sith_Incomplete Grab_
SheetMusic\_Movie and TV\John Williams\Books\John Williams - Star Wars Trilogy.pdf,_Movie and TV,John Williams - Star Wars Trilogy,Star Wars Trilogy,ProcessedSongs\_Movie and TV\Star Wars Trilogy
SheetMusic\_Movie and TV\John Williams\Books\Star Wars Suite _John Williams - Full Score - Hal Leonard_.pdf,_Movie and TV,Star Wars Suite _John Williams - Full Score - Hal Leonard_,Full Score - Hal Leonard_,ProcessedSongs\_Movie and TV\Full Score - Hal Leonard_
SheetMusic\_Movie and TV\John Williams\Books\Various Artists - Music From The Movies The Adventure Collection.pdf,_Movie and TV,Various Artists - Music From The Movies The Adventure Collection,Music From The Movies The Adventure Collection,ProcessedSongs\_Movie and TV\Music From The Movies The Adventure Collection
SheetMusic\_Movie and TV\John Williams\Books\Various Artists - Music From The Movies The Animated Collection.pdf,_Movie and TV,Various Artists - Music From The Movies The Animated Collection,Music From The Movies The Animated Collection,ProcessedSongs\_Movie and TV\Music From The Movies The Animated Collection
SheetMusic\_Movie and TV\Others\Books\Budget Books - Movie Songs.pdf,_Movie and TV,Budget Books - Movie Songs,Movie Songs,ProcessedSongs\_Movie and TV\Movie Songs
SheetMusic\_Movie and TV\Others\Books\Randy Newman - Toy Story 2.pdf,_Movie and TV,Randy Newman - Toy Story 2,Toy Story 2,ProcessedSongs\_Movie and TV\Toy Story 2
SheetMusic\_Movie and TV\Others\Books\The Wizard Of Oz Script.pdf,_Movie and TV,The Wizard Of Oz Script,The Wizard Of Oz Script,ProcessedSongs\_Movie and TV\The Wizard Of Oz Script
SheetMusic\_Movie and TV\Others\Books\Various Artists - 100 Of The Best Movie Songs Ever.pdf,_Movie and TV,Various Artists - 100 Of The Best Movie Songs Ever,100 Of The Best Movie Songs Ever,ProcessedSongs\_Movie and TV\100 Of The Best Movie Songs Ever
SheetMusic\_Movie and TV\Others\Books\Various Artists - Book Of Great TV Hits.pdf,_Movie and TV,Various Artists - Book Of Great TV Hits,Book Of Great TV Hits,ProcessedSongs\_Movie and TV\Book Of Great TV Hits
SheetMusic\_Movie and TV\Others\Books\Various Artists - Box Office Themes Vol 1.pdf,_Movie and TV,Various Artists - Box Office Themes Vol 1,Box Office Themes Vol 1,ProcessedSongs\_Movie and TV\Box Office Themes Vol 1
SheetMusic\_Movie and TV\Others\Books\Various Artists - Complete TV And Film.pdf,_Movie and TV,Various Artists - Complete TV And Film,Complete TV And Film,ProcessedSongs\_Movie and TV\Complete TV And Film
SheetMusic\_Movie and TV\Others\Books\Various Artists - Decades Of Film 70s.pdf,_Movie and TV,Various Artists - Decades Of Film 70s,Decades Of Film 70s,ProcessedSongs\_Movie and TV\Decades Of Film 70s
SheetMusic\_Movie and TV\Others\Books\Various Artists - Decades Of Film 80s.pdf,_Movie and TV,Various Artists - Decades Of Film 80s,Decades Of Film 80s,ProcessedSongs\_Movie and TV\Decades Of Film 80s
SheetMusic\_Movie and TV\Others\Books\Various Artists - Decades Of Film 90s.pdf,_Movie and TV,Various Artists - Decades Of Film 90s,Decades Of Film 90s,ProcessedSongs\_Movie and TV\Decades Of Film 90s
SheetMusic\_Movie and TV\Others\Books\Various Artists - Eddie And The Cruisers.pdf,_Movie and TV,Various Artists - Eddie And The Cruisers,Eddie And The Cruisers,ProcessedSongs\_Movie and TV\Eddie And The Cruisers
SheetMusic\_Movie and TV\Others\Books\Various Artists - Film Book.pdf,_Movie and TV,Various Artists - Film Book,Film Book,ProcessedSongs\_Movie and TV\Film Book
SheetMusic\_Movie and TV\Others\Books\Various Artists - Film Music For Solo Piano _2_.pdf,_Movie and TV,Various Artists - Film Music For Solo Piano _2_,Film Music For Solo Piano _2_,ProcessedSongs\_Movie and TV\Film Music For Solo Piano _2_
SheetMusic\_Movie and TV\Others\Books\Various Artists - Film Music For Solo Piano.pdf,_Movie and TV,Various Artists - Film Music For Solo Piano,Film Music For Solo Piano,ProcessedSongs\_Movie and TV\Film Music For Solo Piano
SheetMusic\_Movie and TV\Others\Books\Various Artists - Frozen - Let It Go _Movie Version_.pdf,_Movie and TV,Various Artists - Frozen - Let It Go _Movie Version_,Frozen - Let It Go _Movie Version_,ProcessedSongs\_Movie and TV\Frozen - Let It Go _Movie Version_
SheetMusic\_Movie and TV\Others\Books\Various Artists - High School Musical 1.pdf,_Movie and TV,Various Artists - High School Musical 1,High School Musical 1,ProcessedSongs\_Movie and TV\High School Musical 1
SheetMusic\_Movie and TV\Others\Books\Various Artists - High School Musical 2.pdf,_Movie and TV,Various Artists - High School Musical 2,High School Musical 2,ProcessedSongs\_Movie and TV\High School Musical 2
SheetMusic\_Movie and TV\Others\Books\Various Artists - Little Mermaid.pdf,_Movie and TV,Various Artists - Little Mermaid,Little Mermaid,ProcessedSongs\_Movie and TV\Little Mermaid
SheetMusic\_Movie and TV\Others\Books\Various Artists - Love Songs From The Movies.pdf,_Movie and TV,Various Artists - Love Songs From The Movies,Love Songs From The Movies,ProcessedSongs\_Movie and TV\Love Songs From The Movies
SheetMusic\_Movie and TV\Others\Books\Various Artists - Movie Fakebook.pdf,_Movie and TV,Various Artists - Movie Fakebook,Movie Fakebook,ProcessedSongs\_Movie and TV\Movie Fakebook
SheetMusic\_Movie and TV\Others\Books\Various Artists - Movie Love Songs _Book_.pdf,_Movie and TV,Various Artists - Movie Love Songs _Book_,Movie Love Songs _Book_,ProcessedSongs\_Movie and TV\Movie Love Songs _Book_
SheetMusic\_Movie and TV\Others\Books\Various Artists - Movie Melodies - The Very Best Of Movie Songs.pdf,_Movie and TV,Various Artists - Movie Melodies - The Very Best Of Movie Songs,Movie Melodies - The Very Best Of Movie Songs,ProcessedSongs\_Movie and TV\Movie Melodies - The Very Best Of Movie Songs
SheetMusic\_Movie and TV\Others\Books\Various Artists - Movie Songs Of The 90s Vol 2.pdf,_Movie and TV,Various Artists - Movie Songs Of The 90s Vol 2,Movie Songs Of The 90s Vol 2,ProcessedSongs\_Movie and TV\Movie Songs Of The 90s Vol 2
SheetMusic\_Movie and TV\Others\Books\Various Artists - Piano Solos Film Music - The Costume Drama Collection.pdf,_Movie and TV,Various Artists - Piano Solos Film Music - The Costume Drama Collection,Piano Solos Film Music - The Costume Drama Collection,ProcessedSongs\_Movie and TV\Piano Solos Film Music - The Costume Drama Collection
SheetMusic\_Movie and TV\Others\Books\Various Artists - Pirates Of The Caribbean At Worlds End.pdf,_Movie and TV,Various Artists - Pirates Of The Caribbean At Worlds End,Pirates Of The Caribbean At Worlds End,ProcessedSongs\_Movie and TV\Pirates Of The Caribbean At Worlds End
SheetMusic\_Movie and TV\Others\Books\Various Artists - Shrek 1.pdf,_Movie and TV,Various Artists - Shrek 1,Shrek 1,ProcessedSongs\_Movie and TV\Shrek 1
SheetMusic\_Movie and TV\Others\Books\Various Artists - Shrek 2.pdf,_Movie and TV,Various Artists - Shrek 2,Shrek 2,ProcessedSongs\_Movie and TV\Shrek 2
SheetMusic\_Movie and TV\Others\Books\Various Artists - Shrek 3.pdf,_Movie and TV,Various Artists - Shrek 3,Shrek 3,ProcessedSongs\_Movie and TV\Shrek 3
SheetMusic\_Movie and TV\Others\Books\Various Artists - Star Trek - Complete Star Trek Theme Music.pdf,_Movie and TV,Various Artists - Star Trek - Complete Star Trek Theme Music,Star Trek - Complete Star Trek Theme Music,ProcessedSongs\_Movie and TV\Star Trek - Complete Star Trek Theme Music
SheetMusic\_Movie and TV\Others\Books\Various Artists - Star Trek - Complete Theme Music _Piano Solo_.pdf,_Movie and TV,Various Artists - Star Trek - Complete Theme Music _Piano Solo_,Star Trek - Complete Theme Music _Piano Solo_,ProcessedSongs\_Movie and TV\Star Trek - Complete Theme Music _Piano Solo_
SheetMusic\_Movie and TV\Others\Books\Various Artists - Star Trek - Deep Space Nine.pdf,_Movie and TV,Various Artists - Star Trek - Deep Space Nine,Star Trek - Deep Space Nine,ProcessedSongs\_Movie and TV\Star Trek - Deep Space Nine
SheetMusic\_Movie and TV\Others\Books\Various Artists - Star Trek - Enterprise.pdf,_Movie and TV,Various Artists - Star Trek - Enterprise,Star Trek - Enterprise,ProcessedSongs\_Movie and TV\Star Trek - Enterprise
SheetMusic\_Movie and TV\Others\Books\Various Artists - Star Trek - First Contact.pdf,_Movie and TV,Various Artists - Star Trek - First Contact,Star Trek - First Contact,ProcessedSongs\_Movie and TV\Star Trek - First Contact
SheetMusic\_Movie and TV\Others\Books\Various Artists - Star Trek - Generations.pdf,_Movie and TV,Various Artists - Star Trek - Generations,Star Trek - Generations,ProcessedSongs\_Movie and TV\Star Trek - Generations
SheetMusic\_Movie and TV\Others\Books\Various Artists - Star Trek - Insurrection.pdf,_Movie and TV,Various Artists - Star Trek - Insurrection,Star Trek - Insurrection,ProcessedSongs\_Movie and TV\Star Trek - Insurrection
SheetMusic\_Movie and TV\Others\Books\Various Artists - Star Trek - Star Trek The Motion Picture.pdf,_Movie and TV,Various Artists - Star Trek - Star Trek The Motion Picture,Star Trek - Star Trek The Motion Picture,ProcessedSongs\_Movie and TV\Star Trek - Star Trek The Motion Picture
SheetMusic\_Movie and TV\Others\Books\Various Artists - Star Trek - Star Trek.pdf,_Movie and TV,Various Artists - Star Trek - Star Trek,Star Trek - Star Trek,ProcessedSongs\_Movie and TV\Star Trek - Star Trek
SheetMusic\_Movie and TV\Others\Books\Various Artists - Star Trek - The Final Frontier.pdf,_Movie and TV,Various Artists - Star Trek - The Final Frontier,Star Trek - The Final Frontier,ProcessedSongs\_Movie and TV\Star Trek - The Final Frontier
SheetMusic\_Movie and TV\Others\Books\Various Artists - Star Trek - The Next Generation.pdf,_Movie and TV,Various Artists - Star Trek - The Next Generation,Star Trek - The Next Generation,ProcessedSongs\_Movie and TV\Star Trek - The Next Generation
SheetMusic\_Movie and TV\Others\Books\Various Artists - Star Trek - The Search For Spock.pdf,_Movie and TV,Various Artists - Star Trek - The Search For Spock,Star Trek - The Search For Spock,ProcessedSongs\_Movie and TV\Star Trek - The Search For Spock
SheetMusic\_Movie and TV\Others\Books\Various Artists - Star Trek - The Undiscovered Country.pdf,_Movie and TV,Various Artists - Star Trek - The Undiscovered Country,Star Trek - The Undiscovered Country,ProcessedSongs\_Movie and TV\Star Trek - The Undiscovered Country
SheetMusic\_Movie and TV\Others\Books\Various Artists - Star Trek - The Voyage Home.pdf,_Movie and TV,Various Artists - Star Trek - The Voyage Home,Star Trek - The Voyage Home,ProcessedSongs\_Movie and TV\Star Trek - The Voyage Home
SheetMusic\_Movie and TV\Others\Books\Various Artists - Star Trek - The Wrath Of Khan.pdf,_Movie and TV,Various Artists - Star Trek - The Wrath Of Khan,Star Trek - The Wrath Of Khan,ProcessedSongs\_Movie and TV\Star Trek - The Wrath Of Khan
SheetMusic\_Movie and TV\Others\Books\Various Artists - Star Trek - Them From Search For Spock.pdf,_Movie and TV,Various Artists - Star Trek - Them From Search For Spock,Star Trek - Them From Search For Spock,ProcessedSongs\_Movie and TV\Star Trek - Them From Search For Spock
SheetMusic\_Movie and TV\Others\Books\Various Artists - Star Trek - Voyager.pdf,_Movie and TV,Various Artists - Star Trek - Voyager,Star Trek - Voyager,ProcessedSongs\_Movie and TV\Star Trek - Voyager
SheetMusic\_Movie and TV\Others\Books\Various Artists - Star Trek _Piano Solo_.pdf,_Movie and TV,Various Artists - Star Trek _Piano Solo_,Star Trek _Piano Solo_,ProcessedSongs\_Movie and TV\Star Trek _Piano Solo_
SheetMusic\_Movie and TV\Others\Books\Various Artists - The Big Book Of Movie Music.pdf,_Movie and TV,Various Artists - The Big Book Of Movie Music,The Big Book Of Movie Music,ProcessedSongs\_Movie and TV\The Big Book Of Movie Music
SheetMusic\_Movie and TV\Others\Books\Various Artists - The Simpsons - Simpsons Songbook.pdf,_Movie and TV,Various Artists - The Simpsons - Simpsons Songbook,The Simpsons - Simpsons Songbook,ProcessedSongs\_Movie and TV\The Simpsons - Simpsons Songbook
SheetMusic\_Movie and TV\Others\Books\Various Artists - The TV Fakebook.pdf,_Movie and TV,Various Artists - The TV Fakebook,The TV Fakebook,ProcessedSongs\_Movie and TV\The TV Fakebook
SheetMusic\_Movie and TV\Others\Books\Various Artists - Top Movie Hits.pdf,_Movie and TV,Various Artists - Top Movie Hits,Top Movie Hits,ProcessedSongs\_Movie and TV\Top Movie Hits
SheetMusic\_Movie and TV\Others\Books\Various Artists - TV Detective - Themes For Solo Piano.pdf,_Movie and TV,Various Artists - TV Detective - Themes For Solo Piano,TV Detective - Themes For Solo Piano,ProcessedSongs\_Movie and TV\TV Detective - Themes For Solo Piano
SheetMusic\_Movie and TV\Others\Books\Various Artists - TV Fakebook 2nd Ed.pdf,_Movie and TV,Various Artists - TV Fakebook 2nd Ed,TV Fakebook 2nd Ed,ProcessedSongs\_Movie and TV\TV Fakebook 2nd Ed
SheetMusic\_Movie and TV\Others\Books\Various Artists - Ultimate TV Showstoppers.pdf,_Movie and TV,Various Artists - Ultimate TV Showstoppers,Ultimate TV Showstoppers,ProcessedSongs\_Movie and TV\Ultimate TV Showstoppers
SheetMusic\_Movie and TV\Others\Books\Various Artists - Warner Bros 75th Anniversary.pdf,_Movie and TV,Various Artists - Warner Bros 75th Anniversary,Warner Bros 75th Anniversary,ProcessedSongs\_Movie and TV\Warner Bros 75th Anniversary
SheetMusic\_Movie and TV\Others\Books\Various Artists - Wizard Of Oz _Book_.pdf,_Movie and TV,Various Artists - Wizard Of Oz _Book_,Wizard Of Oz _Book_,ProcessedSongs\_Movie and TV\Wizard Of Oz _Book_
