PDF_Path,Artist,PDF_Stem,Book_Name,Expected_Folder
SheetMusic\Tom Lehrer\Books\Tom Lehrer - Too Many Songs _PVC Book_.pdf,Tom Lehrer,Tom Lehrer - Too Many Songs _PVC Book_,Too Many Songs _PVC Book_,ProcessedSongs\Tom Lehrer\Too Many Songs _PVC Book_
SheetMusic\Tom Waits\Books\Tom Waits - Tom Waits Anthology.pdf,Tom Waits,Tom Waits - Tom Waits Anthology,Tom Waits Anthology,ProcessedSongs\Tom Waits\Tom Waits Anthology
SheetMusic\Various Artists\Books\Various Artists - Ultimate 80s Songs.pdf,Various Artists,Various Artists - Ultimate 80s Songs,Ultimate 80s Songs,ProcessedSongs\Various Artists\Ultimate 80s Songs
SheetMusic\Who\Books\Who - Quadrophenia _PVG_.pdf,Who,Who - Quadrophenia _PVG_,Quadrophenia _PVG_,ProcessedSongs\Who\Quadrophenia _PVG_
SheetMusic\Wings\Books\Wings - Greatest Hits.pdf,Wings,Wings - Greatest Hits,Greatest Hits,ProcessedSongs\Wings\Greatest Hits
SheetMusic\Wings\Books\Wings - London Town _PVG Book_.pdf,Wings,Wings - London Town _PVG Book_,London Town _PVG Book_,ProcessedSongs\Wings\London Town _PVG Book_
SheetMusic\Wings\Books\Wings - Over America _PVG_.pdf,Wings,Wings - Over America _PVG_,Over America _PVG_,ProcessedSongs\Wings\Over America _PVG_
SheetMusic\_Broadway Shows\Books\Lambert And Morrison - The Drowsy Chaperone _Version 1_.pdf,_Broadway Shows,Lambert And Morrison - The Drowsy Chaperone _Version 1_,The Drowsy Chaperone _Version 1_,ProcessedSongs\_Broadway Shows\The Drowsy Chaperone _Version 1_
SheetMusic\_Broadway Shows\Books\Lambert And Morrison - The Drowsy Chaperone _Version 2_.pdf,_Broadway Shows,Lambert And Morrison - The Drowsy Chaperone _Version 2_,The Drowsy Chaperone _Version 2_,ProcessedSongs\_Broadway Shows\The Drowsy Chaperone _Version 2_
SheetMusic\_Broadway Shows\Books\Lerner And Loewe - Camelot.pdf,_Broadway Shows,Lerner And Loewe - Camelot,Camelot,ProcessedSongs\_Broadway Shows\Camelot
SheetMusic\_Broadway Shows\Books\Rogers And Hammerstein - South Pacific.pdf,_Broadway Shows,Rogers And Hammerstein - South Pacific,South Pacific,ProcessedSongs\_Broadway Shows\South Pacific
SheetMusic\_Broadway Shows\Books\Various Artists - 25th Annual Putnam County Spelling Bee.pdf,_Broadway Shows,Various Artists - 25th Annual Putnam County Spelling Bee,25th Annual Putnam County Spelling Bee,ProcessedSongs\_Broadway Shows\25th Annual Putnam County Spelling Bee
SheetMusic\_Broadway Shows\Books\Various Artists - Aida.pdf,_Broadway Shows,Various Artists - Aida,Aida,ProcessedSongs\_Broadway Shows\Aida
SheetMusic\_Broadway Shows\Books\Various Artists - Aladdin Jr.pdf,_Broadway Shows,Various Artists - Aladdin Jr,Aladdin Jr,ProcessedSongs\_Broadway Shows\Aladdin Jr
