"Artist","ProcessedFolder","SongCount","HasSourceBook","SourceBookName","ProcessedPath"
"_broadway Shows","Various Artists - Seussical [piano-conductor]","13","True","Various Artists - Seussical [Piano-Conductor]","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Seussical [piano-conductor]"
"_broadway Shows","Various Artists - Seussical [pv Score]","34","True","Various Artists - Seussical [PV Score]","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Seussical [pv Score]"
"_broadway Shows","Various Artists - Sound Of Music","16","True","Various Artists - Sound of Music","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Sound Of Music"
"_broadway Shows","Various Artists - Sound Of Music (vocal Selections)","7","True","Various Artists - Sound of Music (Vocal Selections)","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Sound Of Music (vocal Selections)"
"_broadway Shows","Various Artists - Spamalot","65","True","Various Artists - Spamalot","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Spamalot"
"_broadway Shows","Various Artists - Sweeney Todd Vocal Score","19","True","Various Artists - Sweeney Todd Vocal Score","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Sweeney Todd Vocal Score"
"_broadway Shows","Various Artists - The Hobbit Score","11","True","Various Artists - The Hobbit Score","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - The Hobbit Score"
"_broadway Shows","Various Artists - The Ultimate Broadway Fakebook","406","True","Various Artists - The Ultimate BROADWAY fakebook","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - The Ultimate Broadway Fakebook"
"_broadway Shows","Various Artists - Wicked [pvg]","13","True","Various Artists - Wicked [PVG]","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Wicked [pvg]"
"_broadway Shows","Various Artists - Wicked [score]","1","True","Various Artists - Wicked [Score]","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Wicked [score]"
"_broadway Shows","Various Artists - Wizard Of Oz - Piano Conductor","24","True","Various Artists - Wizard Of Oz - Piano Conductor","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Wizard Of Oz - Piano Conductor"
"_broadway Shows","Various Artists - Wizard Of Oz (rsc Piano-conductor)","20","True","Various Artists - Wizard Of Oz (RSC Piano-Conductor)","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Wizard Of Oz (rsc Piano-conductor)"
"_broadway Shows","Various Artists - You're A Good Man Charlie Brown [revival] [score]","38","True","Various Artists - You're A Good Man Charlie Brown [revival] [score]","C:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - You're A Good Man Charlie Brown [revival] [score]"
"_movie And Tv","Beauty And The Beast [pvg]","8","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Beauty And The Beast [pvg]"
"_movie And Tv","Brother Bear (disney)","8","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Brother Bear (disney)"
"_movie And Tv","Budget Books - Movie Songs","76","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Budget Books - Movie Songs"
"_movie And Tv","Disney Collection (songs Out Of Order)","42","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Disney Collection (songs Out Of Order)"
"_movie And Tv","High School Musical - Breaking Free - Piano Sheet Music","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\High School Musical - Breaking Free - Piano Sheet Music"
"_movie And Tv","John Williams - Greatest Hits","28","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\John Williams - Greatest Hits"
"_movie And Tv","John Williams - Star Wars Episode I - The Phantom Menace","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\John Williams - Star Wars Episode I - The Phantom Menace"
"_movie And Tv","John Williams - Star Wars Episode Ii - Attack Of The Clones (lite)","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\John Williams - Star Wars Episode Ii - Attack Of The Clones (lite)"
"_movie And Tv","John Williams - Star Wars Episode Iii - Revenge Of The Sith.(incomplete Grab)","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\John Williams - Star Wars Episode Iii - Revenge Of The Sith.(incomplete Grab)"
"_movie And Tv","John Williams - Star Wars Trilogy","14","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\John Williams - Star Wars Trilogy"
"_movie And Tv","Kasha & Hirschorn - Pete's Dragon","6","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Kasha & Hirschorn - Pete's Dragon"
"_movie And Tv","Mary Poppins","11","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Mary Poppins"
"_movie And Tv","Mulan","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Mulan"
"_movie And Tv","Pirates Of The Caribbean [book 1 - The Curse Of The Black Pearl]","7","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Pirates Of The Caribbean [book 1 - The Curse Of The Black Pearl]"
"_movie And Tv","Pirates Of The Caribbean [book 2 - Dead Man's Chest]","9","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Pirates Of The Caribbean [book 2 - Dead Man's Chest]"
"_movie And Tv","Randy Newman - Toy Story 2","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Randy Newman - Toy Story 2"
"_movie And Tv","Spirited Away (disney) (2001)","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Spirited Away (disney) (2001)"
"_movie And Tv","Star Wars Suite (john Williams - Full Score - Hal Leonard)","8","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Star Wars Suite (john Williams - Full Score - Hal Leonard)"
"_movie And Tv","The New Illustrated Treasury Of Disney","68","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\The New Illustrated Treasury Of Disney"
"_movie And Tv","The New Illustrated Treasury Of Disney Songs","68","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\The New Illustrated Treasury Of Disney Songs"
"_movie And Tv","Theme From Rocky And Otther Big Hits","22","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Theme From Rocky And Otther Big Hits"
"_movie And Tv","Various Artists - 100 Of The Best Movie Songs Ever","101","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - 100 Of The Best Movie Songs Ever"
"_movie And Tv","Various Artists - Book Of Great Tv Hits","41","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Book Of Great Tv Hits"
"_movie And Tv","Various Artists - Box Office Themes Vol. 1","12","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Box Office Themes Vol. 1"
"_movie And Tv","Various Artists - Decades Of Film '70s","17","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Decades Of Film '70s"
"_movie And Tv","Various Artists - Decades Of Film '80s","20","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Decades Of Film '80s"
"_movie And Tv","Various Artists - Decades Of Film '90s","20","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Decades Of Film '90s"
"_movie And Tv","Various Artists - Disney Duets","8","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Disney Duets"
"_movie And Tv","Various Artists - Disney Fake Book","194","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Disney Fake Book"
"_movie And Tv","Various Artists - Disney Solos For Violin","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Disney Solos For Violin"
"_movie And Tv","Various Artists - Eddie And The Cruisers","6","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Eddie And The Cruisers"
"_movie And Tv","Various Artists - Film Book","41","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Film Book"
"_movie And Tv","Various Artists - Film Music For Solo Piano","28","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Film Music For Solo Piano"
"_movie And Tv","Various Artists - Film Music For Solo Piano (2)","23","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Film Music For Solo Piano (2)"
"_movie And Tv","Various Artists - Frozen - Let It Go (movie Version)","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Frozen - Let It Go (movie Version)"
"_movie And Tv","Various Artists - High School Musical 1","2","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - High School Musical 1"
"_movie And Tv","Various Artists - High School Musical 2","10","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - High School Musical 2"
"_movie And Tv","Various Artists - Little Mermaid","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Little Mermaid"
"_movie And Tv","Various Artists - Love Songs From The Movies","33","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Love Songs From The Movies"
"_movie And Tv","Various Artists - Movie Fakebook","388","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Movie Fakebook"
"_movie And Tv","Various Artists - Movie Love Songs [book]","16","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Movie Love Songs [book]"
"_movie And Tv","Various Artists - Movie Melodies - The Very Best Of Movie Songs","21","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Movie Melodies - The Very Best Of Movie Songs"
"_movie And Tv","Various Artists - Movie Songs Of The 90s Vol 2","34","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Movie Songs Of The 90s Vol 2"
"_movie And Tv","Various Artists - Music From The Movies The Adventure Collection","23","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Music From The Movies The Adventure Collection"
"_movie And Tv","Various Artists - Music From The Movies The Animated Collection","4","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Music From The Movies The Animated Collection"
"_movie And Tv","Various Artists - Piano Solos Film Music - The Costume Drama Collection","28","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Piano Solos Film Music - The Costume Drama Collection"
"_movie And Tv","Various Artists - Pirates Of The Caribbean At World's End","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Pirates Of The Caribbean At World's End"
"_movie And Tv","Various Artists - Shrek 1","13","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Shrek 1"
"_movie And Tv","Various Artists - Shrek 2","13","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Shrek 2"
"_movie And Tv","Various Artists - Shrek 3","12","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Shrek 3"
"_movie And Tv","Various Artists - Star Trek - Complete Star Trek Theme Music","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Star Trek - Complete Star Trek Theme Music"
"_movie And Tv","Various Artists - Star Trek - Complete Theme Music (piano Solo)","16","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Star Trek - Complete Theme Music (piano Solo)"
"_movie And Tv","Various Artists - Star Trek - Deep Space Nine","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Star Trek - Deep Space Nine"
"_movie And Tv","Various Artists - Star Trek - Enterprise","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Star Trek - Enterprise"
"_movie And Tv","Various Artists - Star Trek - First Contact","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Star Trek - First Contact"
