from_artist,from_book,to_artist,to_book,match_quality,song_count
George Michael,Greatest Hits,George Michael,George Michael - Greatest Hits,PERFECT,29
George Michael,Older [book],George Michael,George Michael - Older _Book_,PERFECT,11
Grand Funk Railroad,Grand Funk - Closer To Home [pvg Book],Grand Funk Railroad,Grand Funk - Closer To Home _PVG Book_,PERFECT,5
Grand Funk Railroad,Grand Funk - We're An American Band [pvg Book],Grand Funk Railroad,Grand Funk - Were An American Band _PVG Book_,PERFECT,8
Grand Funk Railroad,Born To Die [pvg Book],Grand Funk Railroad,Grand Funk Railroad - Born To Die _PVG Book_,PERFECT,10
Grand Funk Railroad,"Hits From We're An American Band, Shinin' On, Phoenix [pvg]",Grand Funk Railroad,Grand Funk Railroad - Hits From Were An American Band Shinin On Phoenix _PVG_,PERFECT,23
Harry Chapin,The Authentic Guitar Style Of [guitar Tab],Harry Chapin,Harry Chapin - The Authentic Guitar Style Of _Guitar Tab_,PERFECT,9
Jackson Browne,Deluxe Anthology,Jackson Browne,Jackson Browne - Deluxe Anthology,PERFECT,39
James Blunt,All The Lost Souls [book],James Blunt,James Blunt - All The Lost Souls _Book_,PERFECT,10
James Blunt,Back To Bedlam [book],James Blunt,James Blunt - Back To Bedlam _Book_,PERFECT,1
James Taylor,Classic [guitar],James Taylor,James Taylor - Classic _Guitar_,PERFECT,15
James Taylor,Classic [guitar],James Taylor,James Taylor - Classics _guitar tab_,PERFECT,15
James Taylor,Guitar Songbook,James Taylor,James Taylor - Guitar Songbook,PERFECT,24
James Taylor,Guitar Songbook,James Taylor,James Taylor - James Taylor Songbook,PERFECT,24
James Taylor,James Taylor [pvg Book],James Taylor,James Taylor - James Taylor _PVG Book_,PERFECT,21
James Taylor,That's Why I'm Here [pvg Book],James Taylor,James Taylor - Thats Why Im Here _PVG Book_,PERFECT,10
Jim Croce,Acoustic Fingerstyle Video Guitar Lessons,Jim Croce,Jim Croce - Acoustic Fingerstyle Video Guitar Lessons,PERFECT,1
Jimmy Buffet,Jimmy Buffett - Barometer Soup [pvg Book],Jimmy Buffet,Jimmy Buffett - Barometer Soup _PVG Book_,PERFECT,9
Jimmy Buffet,Jimmy Buffett - Fruitcakes [pvg Book],Jimmy Buffet,Jimmy Buffett - Fruitcakes _PVG Book_,PERFECT,9
Joe Cocker,Best Of,Joe Cocker,Joe Cocker - Best Of,PERFECT,16
Joe Cocker,Mad Dogs And Englishmen [book],Joe Cocker,Joe Cocker - Mad Dogs And Englishmen _Book_,PERFECT,16
Joe Cocker,Songbook,Joe Cocker,Joe Cocker - Songbook,PERFECT,1
John Denver,Anthology,John Denver,John Denver - Anthology,PERFECT,53
John Denver,Anthology [pvg],John Denver,John Denver - Anthology _PVG_,PERFECT,53
John Denver,Best Of [easy Piano],John Denver,John Denver - Back Home Again,PERFECT,18
John Denver,Best Of [easy Piano],John Denver,John Denver - Best Of _Easy Piano_,PERFECT,18
John Denver,I Want To Live [pvg Book],John Denver,John Denver - I Want To Live _PVG Book_,PERFECT,11
John Denver,The Authentic Guitar Style Of,John Denver,John Denver - The Authentic Guitar Style Of,PERFECT,12
John Lennon,Collection,John Lennon,John Lennon - Collection,PARTIAL,3
John Lennon,Greatest Hits,John Lennon,John Lennon - Greatest Hits,PERFECT,15
Joni Mitchell,The Best Of [pvg],Joni Mitchell,Joni Mitchell - The Best Of _PVG_,PERFECT,10
Journey,Complete Songbook,Journey,Journey - Complete,PERFECT,68
Journey,Complete Songbook,Journey,Journey - Complete Songbook,PERFECT,68
Journey,Frontiers [jap Band Score],Journey,Journey - Frontiers _Jap Band Score_,PERFECT,1
Journey,Greatest Hits,Journey,Journey - Greatest Hits,PERFECT,6
Journey,Complete Songbook,Journey,Journey - Greatest Hits _Book_,PERFECT,68
Journey,Superbest [jap Band Score],Journey,Journey - Superbest _Jap Band Score_,PERFECT,15
Journey,Complete Songbook,Journey,Journey - The Guitar Collection,GOOD,68
Judy Garland,Songbook,Judy Garland,Judy Garland - Songbook,PERFECT,13
Katy Perry,One Of The Boys [pvg Book],Katy Perry,Katy Perry - One Of The Boys _PVG Book_,PERFECT,12
Kelly Clarkson,Kelly Clarkson - Breakaway (book),Kelly Clarkson,Kelly Clarkson - Breakaway _Book_,GOOD,4
Kenny Rogers,Love Or Something Like It [book],Kenny Rogers,Kenny Rogers - Love Or Something Like It _Book_,PERFECT,10
Kinks,Best Of The Kinks [score],Kinks,Kinks - Best Of The Kinks _Score_,PERFECT,12
Kinks,Best Of The Kinks [score],Kinks,Kinks - Best Of _Score_,PERFECT,12
Kinks,Great Songs Of Kinks,Kinks,Kinks - Great Songs Of Kinks,PERFECT,8
Kinks,Guitar Legends [guitar],Kinks,Kinks - Guitar Legends [Tab],PERFECT,9
Kinks,Guitar Legends [guitar],Kinks,Kinks - Guitar Legends _Guitar_,PERFECT,9
Kinks,Guitar Legends [guitar],Kinks,Kinks - Guitar Legends _Tab_,PERFECT,9
Kinks,Jam With The Kinks [tab],Kinks,Kinks - Jam With The Kinks _Tab_,PERFECT,8
Led Zepplin,Led Zeppelin - Led Zeppelin Ii,Led Zepplin,Led Zeppelin - Led Zeppelin II,PERFECT,1
Led Zepplin,Led Zeppelin - Over The Hills And Far Away [pvg],Led Zepplin,Led Zeppelin - Over The Hills And Far Away _PVG_,PERFECT,1
Lynyrd Skynyrd,Lynyrd Skynyrd - The New Best Of [guitar Tab],Lynyrd Skynyrd,Lynyrd Skynyrd - The New Best Of _Guitar Tab_,PARTIAL,6
Meatloaf,Meatloaf - Bat Out Of Hell,Meatloaf,MeatLoaf - Bat Out Of Hell,PARTIAL,2
Melissa Etheridge,Songbook,Melissa Etheridge,Melissa Etheridge - Songbook,PERFECT,10
Michael Jackson,Great Songs Of [pvg],Michael Jackson,Michael Jackson - Great Songs Of _PVG_,PERFECT,10
Michael Jackson,Number Ones [book],Michael Jackson,Michael Jackson - Number Ones,PERFECT,18
Michael Jackson,Number Ones [book],Michael Jackson,Michael Jackson - Number Ones _Book_,PERFECT,18
Michael Jackson,The Great Songs Of,Michael Jackson,Michael Jackson - The Great Songs Of,PERFECT,10
Michael Jackson,Thriller (the Complete Song Book),Michael Jackson,Michael Jackson - Thriller _The Complete Song Book_,PERFECT,10
Monkees,Greatest Hits,Monkees,Monkees - Greatest Hits,PERFECT,11
Moody Blues,Greatest Hits [pvg],Moody Blues,Moody Blues - Greatest Hits _PVG_,PERFECT,11
Moody Blues,Keys Of Kingdom [band Score],Moody Blues,Moody Blues - Keys Of Kingdom _Band Score_,PERFECT,12
Neil Diamond,The Essential Neil Diamond,Neil Diamond,Neil Diamond - The Essential Neil Diamond,PERFECT,40
Neil Young,After The Goldrush [pvg Book],Neil Young,Neil Young - After The Goldrush _PVG Book_,PERFECT,10
Neil Young,Decade [pvg Book],Neil Young,Neil Young - Decade,PERFECT,22
Neil Young,Decade [pvg Book],Neil Young,Neil Young - Decade _PVG Book_,PERFECT,22
Neil Young,Greatest Hits [guitar Tab],Neil Young,Neil Young - Greatest Hits _Guitar Tab_,PERFECT,15
Neil Young,Harvest Moon [guitar Tab],Neil Young,Neil Young - Harvest Moon _Guitar Tab_,PERFECT,10
Neil Young,Harvest [score],Neil Young,Neil Young - Harvest _Score_,PERFECT,10
Neil Young,The Best Of Neil Young [pvg Book],Neil Young,Neil Young - The Best Of Neil Young _PVG Book_,PERFECT,9
Night Ranger,Night Ranger - Seven Wishes _jap Score_,Night Ranger,Seven Wishes _jap Score_,PERFECT,10
Paul Mccartney,All The Best,Paul Mccartney,Paul McCartney - All The Best,PERFECT,22
Paul Mccartney,Flowers In The Dirt,Paul Mccartney,Paul McCartney - Flowers In The Dirt,PERFECT,14
Paul Mccartney,Press To Play,Paul Mccartney,Paul McCartney - Press To Play,PERFECT,14
Paul Mccartney,Ram,Paul Mccartney,Paul McCartney - Ram,PERFECT,10
Paul Mccartney,Chaos And Creation In The Backyard [pvg Book],Paul Mccartney,Paul Mccartney - Chaos And Creation In The Backyard _PVG Book_,PERFECT,13
Paul Mccartney,Tripping The Live Fantastic [pvg Book],Paul Mccartney,Paul Mccartney - Tripping The Live Fantastic _PVG Book_,PERFECT,38
Paul Mccartney,Tug Of War [pvg Book],Paul Mccartney,Paul Mccartney - Tug Of War _PVG Book_,PERFECT,11
Paul Simon,Anthology,Paul Simon,Paul Simon - Anthology,PERFECT,49
Paul Simon,Simon & Garfunkel's Greatest Hits,Paul Simon,Simon And Garfunkels Greatest Hits,PERFECT,14
Peter Frampton,The Best Of [guitar Tab],Peter Frampton,Peter Frampton - The Best Of _Guitar Tab_,PERFECT,11
Pink,Funhouse [pvg],Pink,Pink - Funhouse _PVG_,PERFECT,1
Pink,I'm Not Dead [pvg Book],Pink,Pink - Im Not Dead _PVG Book_,PERFECT,10
Pink,Missundaztood [pvg Book],Pink,Pink - Missundaztood _PVG Book_,PERFECT,1
Pink Floyd,Anthology (book),Pink Floyd,Pink Floyd - Anthology - p110-175,PERFECT,38
Pink Floyd,Anthology (book),Pink Floyd,Pink Floyd - Anthology - p58-109,PERFECT,38
Pink Floyd,Anthology (book),Pink Floyd,Pink Floyd - Anthology _PVG_,PERFECT,38
