action,book_id,old_source_uri,new_source_uri,old_artist,new_artist,old_book_name,new_book_name,old_status,new_status,match_score,uri_changed,artist_changed,book_name_changed,status_changed
update,f038091dafebaf09,s3://jsmith-input/SheetMusic/Fleetwood Mac/books/Fleetwood Mac - Deluxe Anthology.pdf,s3://jsmith-input/SheetMusic/Fleetwood Mac/Fleetwood Mac - Deluxe Anthology.pdf,Fleetwood Mac,Fleetwood Mac,Fleetwood Mac - Deluxe Anthology,Fleetwood Mac - Deluxe Anthology,success,success,0.990,YES,NO,NO,NO
update,054cfd365aa7b6de,s3://jsmith-input/SheetMusic/Fleetwood Mac/books/Fleetwood Mac - Fleetwood Mac + Heroes Are Hard To Find.pdf,s3://jsmith-input/SheetMusic/Fleetwood Mac/Fleetwood Mac - Fleetwood Mac Heroes Are Hard To Find.pdf,Fleetwood Mac,Fleetwood Mac,Fleetwood Mac - Fleetwood Mac + Heroes Are Hard To Find,Fleetwood Mac - Fleetwood Mac Heroes Are Hard To Find,success,success,0.993,YES,NO,YES,NO
update,376085d1d0c70ced,s3://jsmith-input/SheetMusic/Fleetwood Mac/books/Fleetwood Mac - Mirage.pdf,s3://jsmith-input/SheetMusic/Fleetwood Mac/Fleetwood Mac - Mirage.pdf,Fleetwood Mac,Fleetwood Mac,Fleetwood Mac - Mirage,Fleetwood Mac - Mirage,success,success,0.987,YES,NO,NO,NO
update,96c3b8076ad91f58,s3://jsmith-input/SheetMusic/Fleetwood Mac/books/Fleetwood Mac - Rumours.pdf,s3://jsmith-input/SheetMusic/Fleetwood Mac/Fleetwood Mac - Rumours.pdf,Fleetwood Mac,Fleetwood Mac,Fleetwood Mac - Rumours,Fleetwood Mac - Rumours,success,success,0.987,YES,NO,NO,NO
update,1feefaa31f0c554e,s3://jsmith-input/SheetMusic/Fleetwood Mac/books/Fleetwood Mac - Tango In The Night.pdf,s3://jsmith-input/SheetMusic/Fleetwood Mac/Fleetwood Mac - Tango In The Night.pdf,Fleetwood Mac,Fleetwood Mac,Fleetwood Mac - Tango In The Night,Fleetwood Mac - Tango In The Night,success,success,0.990,YES,NO,NO,NO
update,f9cb27beb7981460,s3://jsmith-input/SheetMusic/Fleetwood Mac/books/Fleetwood Mac - The Dance.pdf,s3://jsmith-input/SheetMusic/Fleetwood Mac/Fleetwood Mac - The Dance.pdf,Fleetwood Mac,Fleetwood Mac,Fleetwood Mac - The Dance,Fleetwood Mac - The Dance,success,success,0.988,YES,NO,NO,NO
update,f5a5dbd9ae4ddf5a,s3://jsmith-input/SheetMusic/Frank Zappa/books/Frank Zappa - Hot Rats.pdf,s3://jsmith-input/SheetMusic/Frank Zappa/Frank Zappa - Hot Rats.pdf,Frank Zappa,Frank Zappa,Frank Zappa - Hot Rats,Frank Zappa - Hot Rats,success,success,0.986,YES,NO,NO,NO
update,3f662ef357de1051,s3://jsmith-input/SheetMusic/Frank Zappa/books/Frank Zappa - Songbook Vol 1.pdf,s3://jsmith-input/SheetMusic/Frank Zappa/Frank Zappa - Songbook Vol 1.pdf,Frank Zappa,Frank Zappa,Frank Zappa - Songbook Vol 1,Frank Zappa - Songbook Vol 1,success,success,0.988,YES,NO,NO,NO
update,7d1ea3c21c015813,s3://jsmith-input/SheetMusic/Frank Zappa/books/Frank Zappa - The Frank Zappa Guitar Book (transcriptions by Steve Vai).pdf,s3://jsmith-input/SheetMusic/Frank Zappa/Frank Zappa - The Frank Zappa Guitar Book _transcriptions By Steve Vai_.pdf,Frank Zappa,Frank Zappa,Frank Zappa - The Frank Zappa Guitar Book (transcriptions by Steve Vai),Frank Zappa - The Frank Zappa Guitar Book _transcriptions By Steve Vai_,success,success,0.994,YES,NO,YES,NO
update,8ccfe7e11030f7c6,s3://jsmith-input/SheetMusic/Fray/books/Fray - How To Save A Life [Book].pdf,s3://jsmith-input/SheetMusic/Fray/Fray - How To Save A Life _Book_.pdf,Fray,Fray,Fray - How To Save A Life [Book],Fray - How To Save A Life _Book_,success,success,0.987,YES,NO,YES,NO
update,e6ba206f3c107bd7,s3://jsmith-input/SheetMusic/Garth Brooks/books/Garth Brooks - No Fences [Guitar Tab].pdf,s3://jsmith-input/SheetMusic/Garth Brooks/Garth Brooks - No Fences _Guitar Tab_.pdf,Garth Brooks,Garth Brooks,Garth Brooks - No Fences [Guitar Tab],Garth Brooks - No Fences _Guitar Tab_,success,success,0.990,YES,NO,YES,NO
update,10024fb73ae2665e,s3://jsmith-input/SheetMusic/Garth Brooks/books/Garth Brooks - The Hits [Guitar Tab].pdf,s3://jsmith-input/SheetMusic/Garth Brooks/Garth Brooks - The Hits _Guitar Tab_.pdf,Garth Brooks,Garth Brooks,Garth Brooks - The Hits [Guitar Tab],Garth Brooks - The Hits _Guitar Tab_,success,success,0.990,YES,NO,YES,NO
update,2841a92e48d8644e,s3://jsmith-input/SheetMusic/Garth Brooks/books/Garth Brooks - The Limited Series.pdf,s3://jsmith-input/SheetMusic/Garth Brooks/Garth Brooks - The Limited Series.pdf,Garth Brooks,Garth Brooks,Garth Brooks - The Limited Series,Garth Brooks - The Limited Series,success,success,0.990,YES,NO,NO,NO
update,eef11e4a3ab90609,s3://jsmith-input/SheetMusic/Genesis/books/Genesis - A Trick Of The Tail [Book].pdf,s3://jsmith-input/SheetMusic/Genesis/Genesis - A Trick Of The Tail _Book_.pdf,Genesis,Genesis,Genesis - A Trick Of The Tail [Book],Genesis - A Trick Of The Tail _Book_,success,success,0.989,YES,NO,YES,NO
update,5210e19ecdbe2ad6,s3://jsmith-input/SheetMusic/Genesis/books/Genesis - Anthology.pdf,s3://jsmith-input/SheetMusic/Genesis/Genesis - Anthology.pdf,Genesis,Genesis,Genesis - Anthology,Genesis - Anthology,success,success,0.983,YES,NO,NO,NO
update,25ab4ec455d76919,s3://jsmith-input/SheetMusic/Genesis/books/Genesis - Best Of Vol 1.pdf,s3://jsmith-input/SheetMusic/Genesis/Genesis - Best Of Vol 1.pdf,Genesis,Genesis,Genesis - Best Of Vol 1,Genesis - Best Of Vol 1,success,success,0.985,YES,NO,NO,NO
