Artist,OldFolderName,NewFolderName,OldPath,NewPath,FileCount
Billy Joel,Keyboard Book,Billy Joel - Keyboard Book,ProcessedSongs\Billy Joel\Keyboard Book,ProcessedSongs\Billy Joel\Billy Joel - Keyboard Book,15
Billy Joel,My Lives,Billy Joel - My Lives,ProcessedSongs\Billy Joel\My Lives,ProcessedSongs\Billy Joel\Billy Joel - My Lives,72
Billy Joel,Rock Score,Billy Joel - Rock Score,ProcessedSongs\Billy Joel\Rock Score,ProcessedSongs\Billy Joel\Billy Joel - Rock Score,8
Billy Joel,Songs In The Attic,Billy Joel - Songs In The Attic,ProcessedSongs\Billy Joel\Songs In The Attic,ProcessedSongs\Billy Joel\Billy Joel - Songs In The Attic,11
Billy Ocean,The Best Of,Billy Ocean - The Best Of,ProcessedSongs\Billy Ocean\The Best Of,ProcessedSongs\Billy Ocean\Billy Ocean - The Best Of,10
Black Eyed Peas,Elephunk _pvg Book_,Black Eyed Peas - Elephunk _PVG Book_,ProcessedSongs\Black Eyed Peas\Elephunk _pvg Book_,ProcessedSongs\Black Eyed Peas\Black Eyed Peas - Elephunk _PVG Book_,11
Blues Brothers,Complete,Blues Brothers - Complete,ProcessedSongs\Blues Brothers\Complete,ProcessedSongs\Blues Brothers\Blues Brothers - Complete,12
Bob Dylan,Anthology 1,Bob Dylan - Anthology 1,ProcessedSongs\Bob Dylan\Anthology 1,ProcessedSongs\Bob Dylan\Bob Dylan - Anthology 1,46
Bob Dylan,Anthology 2,Bob Dylan - Anthology 2,ProcessedSongs\Bob Dylan\Anthology 2,ProcessedSongs\Bob Dylan\Bob Dylan - Anthology 2,51
Bob Dylan,Anthology,Bob Dylan - Anthology,ProcessedSongs\Bob Dylan\Anthology,ProcessedSongs\Bob Dylan\Bob Dylan - Anthology,46
Bob Dylan,Basement Tapes _pvg_,Bob Dylan - Basement Tapes _PVG_,ProcessedSongs\Bob Dylan\Basement Tapes _pvg_,ProcessedSongs\Bob Dylan\Bob Dylan - Basement Tapes _PVG_,24
Bob Dylan,Blonde On Blonde,Bob Dylan - Blonde On Blonde,ProcessedSongs\Bob Dylan\Blonde On Blonde,ProcessedSongs\Bob Dylan\Bob Dylan - Blonde On Blonde,13
Bob Dylan,Collection,Bob Dylan - Collection,ProcessedSongs\Bob Dylan\Collection,ProcessedSongs\Bob Dylan\Bob Dylan - Collection,47
Bob Dylan,Desire,Bob Dylan - Desire,ProcessedSongs\Bob Dylan\Desire,ProcessedSongs\Bob Dylan\Bob Dylan - Desire,9
Bob Dylan,Finger Picking,Bob Dylan - Finger Picking,ProcessedSongs\Bob Dylan\Finger Picking,ProcessedSongs\Bob Dylan\Bob Dylan - Finger Picking,14
Bob Dylan,Highway 61 Revisited,Bob Dylan - Highway 61 Revisited,ProcessedSongs\Bob Dylan\Highway 61 Revisited,ProcessedSongs\Bob Dylan\Bob Dylan - Highway 61 Revisited,10
Bob Dylan,Rock Score,Bob Dylan - Rock Score,ProcessedSongs\Bob Dylan\Rock Score,ProcessedSongs\Bob Dylan\Bob Dylan - Rock Score,6
Bob Dylan,Saved,Bob Dylan - Saved,ProcessedSongs\Bob Dylan\Saved,ProcessedSongs\Bob Dylan\Bob Dylan - Saved,8
Bob Dylan,Songbook,Bob Dylan - Songbook,ProcessedSongs\Bob Dylan\Songbook,ProcessedSongs\Bob Dylan\Bob Dylan - Songbook,47
Bob Dylan,The Harp Styles Of Bob Dylan _harmonica_,Bob Dylan - The Harp Styles Of Bob Dylan _Harmonica_,ProcessedSongs\Bob Dylan\The Harp Styles Of Bob Dylan _harmonica_,ProcessedSongs\Bob Dylan\Bob Dylan - The Harp Styles Of Bob Dylan _Harmonica_,12
Bob Seger,Greatest Hits,Bob Seger - Greatest Hits,ProcessedSongs\Bob Seger\Greatest Hits,ProcessedSongs\Bob Seger\Bob Seger - Greatest Hits,14
Bob Seger,The New Best Of Bob Seger,Bob Seger - The New Best Of Bob Seger,ProcessedSongs\Bob Seger\The New Best Of Bob Seger,ProcessedSongs\Bob Seger\Bob Seger - The New Best Of Bob Seger,5
Bon Jovi,Best Of Bon Jovi,Bon Jovi - Best Of Bon Jovi,ProcessedSongs\Bon Jovi\Best Of Bon Jovi,ProcessedSongs\Bon Jovi\Bon Jovi - Best Of Bon Jovi,19
Bonnie Raitt,Road Tested _pvg Book_,Bonnie Raitt - Road Tested _PVG Book_,ProcessedSongs\Bonnie Raitt\Road Tested _pvg Book_,ProcessedSongs\Bonnie Raitt\Bonnie Raitt - Road Tested _PVG Book_,22
