local_artist,local_book,local_count,s3_artist,s3_book,s3_count,common_files,local_only,s3_only,match_pct,count_diff_pct,quality
Bob Dylan,Bob Dylan - Blonde On Blonde,13,Bob Dylan,Blonde On Blonde,13,12,1,1,0.923,0.000,GOOD
Bob Dylan,Bob Dylan - Collection,47,Bob Dylan,Songbook,47,10,37,37,0.213,0.000,POOR
Bob Dylan,Bob Dylan - Desire,9,,,0,0,9,0,0.000,1.000,NO_MATCH
Bob Dylan,Bob Dylan - Finger Picking,14,Bob Dylan,Finger Picking,14,12,2,2,0.857,0.000,PARTIAL
Bob Dylan,Bob Dylan - Highway 61 Revisited,10,Bob Dylan,Highway 61 Revisited,10,10,0,0,1.000,0.000,PERFECT
Bob Dylan,Bob Dylan - Nashville Skyline,1,Bob Dylan,Bob Dylan - Nashville Skyline,1,1,0,0,1.000,0.000,PERFECT
Bob Dylan,Bob Dylan - Rock Score,6,Bob Dylan,Rock Score,6,6,0,0,1.000,0.000,PERFECT
Bob Dylan,Bob Dylan - Saved,8,Bob Dylan,Saved,8,7,1,1,0.875,0.000,PARTIAL
Bob Dylan,Bob Dylan - Songbook,47,Bob Dylan,Bob Dylan - Anthology 2,49,13,34,36,0.277,0.043,POOR
Bob Dylan,Bob Dylan - The Harp Styles Of Bob Dylan _Harmonica_,12,Bob Dylan,The Harp Styles Of Bob Dylan [harmonica],12,12,0,0,1.000,0.000,PERFECT
Bob Seger,Bob Seger - Greatest Hits,14,Bob Seger,Greatest Hits,14,12,2,2,0.857,0.000,PARTIAL
Bob Seger,Bob Seger - The New Best Of Bob Seger,5,Bob Seger,The New Best Of Bob Seger,5,4,1,1,0.800,0.000,PARTIAL
Bon Jovi,Bon Jovi - Best Of Bon Jovi,19,Bon Jovi,Bon Jovi - Best Of Bon Jovi,18,17,2,1,0.895,0.053,PARTIAL
Bonnie Raitt,Bonnie Raitt - Nick Of Time _PVG Book_,1,Bonnie Raitt,Bonnie Raitt - Nick Of Time [pvg Book],1,1,0,0,1.000,0.000,PERFECT
Bonnie Raitt,Bonnie Raitt - Road Tested _PVG Book_,22,,,0,0,22,0,0.000,1.000,NO_MATCH
Bonnie Tyler,Bonnie Tyler - Hot Songs,7,,,0,0,7,0,0.000,1.000,NO_MATCH
Bread,Bread - Best Of Bread,4,,,0,0,4,0,0.000,1.000,NO_MATCH
Bruce Springsteen,Bruce Springsteen - Born In The USA,13,Bruce Springsteen,Born In The Usa,13,13,0,0,1.000,0.000,PERFECT
Bruce Springsteen,Bruce Springsteen - Born To Run,8,Bruce Springsteen,Bruce Springsteen - Born To Run,7,7,1,0,0.875,0.125,PARTIAL
Bruce Springsteen,Bruce Springsteen - Greatest Hits,13,,,0,0,13,0,0.000,1.000,NO_MATCH
Bruce Springsteen,Bruce Springsteen - Lucky Town,9,Bruce Springsteen,Lucky Town,9,9,0,0,1.000,0.000,PERFECT
Buddy Holly,Buddy Holly - Golden Anniversary Songbook,28,,,0,0,28,0,0.000,1.000,NO_MATCH
Burl Ives,Burl Ives - Song Book,106,,,0,0,106,0,0.000,1.000,NO_MATCH
Burt Bacharach,Burt Bacharach - 40 Golden Songs Of,40,Burt Bacharach,Anthology,33,7,33,26,0.175,0.175,POOR
Burt Bacharach,Burt Bacharach - Anthology,33,Burt Bacharach,Burt Bacharach - 40 Golden Songs Of,29,12,21,17,0.364,0.121,POOR
Burt Bacharach,Burt Bacharach - Bacharach Collection,15,,,0,0,15,0,0.000,1.000,NO_MATCH
Carole King,Carole King - Bradleys Best Of The Best _Organ_,13,Carole King,Tapestry,12,5,8,7,0.385,0.077,POOR
Carole King,Carole King - Classics,21,Carole King,Classics,21,7,14,14,0.333,0.000,POOR
Carole King,Carole King - Classics _2_,35,Carole King,Classics (2),35,11,24,24,0.314,0.000,POOR
