local_artist,local_book,local_count,current_match,current_quality,candidate_1,score_1,count_1,candidate_2,score_2,count_2,candidate_3,score_3,count_3,selected_match,notes
Burt Bacharach,Burt Bacharach - Anthology,33,Burt Bacharach/Anthology,POOR,Burt Bacharach/Burt Bacharach - Anthology,0.84,15,Burt Bacharach/Burt Bacharach - 40 Golden Songs Of,0.56,29,Burt Bacharach/Burt Bacharach - Bacharach Collection,0.56,4,,
Burt Bacharach,Burt Bacharach - Bacharach Collection,15,Burt Bacharach/Anthology,POOR,Burt Bacharach/Burt Bacharach - Anthology,0.82,15,Burt Bacharach/Burt Bacharach - Bacharach Collection,0.78,4,Burt Bacharach/Bacharach Collection,0.65,15,,
Carole King,Carole King - Bradleys Best Of The Best _Organ_,13,Carole King/Carole King - Classics (2),PARTIAL,Carole King/Carole King - Bradley's Best Of The Best (organ),0.69,7,Carole King/Carole King - The New Best Of Carole King,0.62,4,Carole King/The New Best Of Carole King,0.60,19,,
Carole King,Carole King - Keyboard Play-Along Vol 22,8,Carole King/Carole King - Classics (2),PARTIAL,Carole King/Carole King - Keyboard Play-along Vol 22,0.81,3,Carole King/Keyboard Play-along Vol 22,0.70,8,Carole King/Carole King - Tapestry,0.56,9,,
Carole King,Carole King - Tapestry,12,Carole King/Carole King - Classics (2),PARTIAL,Carole King/Carole King - Tapestry,0.92,9,Carole King/Carole King - Classics,0.75,15,Carole King/Carole King - Bradley's Best Of The Best (organ),0.44,7,,
Carole King,Carole King - The New Best Of Carole King,19,Carole King/Carole King - Classics (2),PARTIAL,Carole King/The New Best Of Carole King,0.90,19,Carole King/Carole King - The New Best Of Carole King,0.76,4,Carole King/Carole King - Bradley's Best Of The Best (organ),0.64,7,,
Carole King,Carole King - Youre The Voice,11,Carole King/Carole King - Classics (2),PARTIAL,Carole King/Carole King - You're The Voice,0.61,1,Carole King/Carole King - Tapestry,0.60,9,Carole King/Carole King - Bradley's Best Of The Best (organ),0.54,7,,
Carpenters,Carpenters - Anthology,43,Carpenters/Carpenters - Anthology,POOR,Carpenters/Carpenters - Anthology,0.85,21,Carpenters/Carpenters - Love Songs,0.48,19,Carpenters/Carpenters - Note For Note,0.36,2,,
Carpenters,Carpenters - Note For Note,11,Carpenters/Carpenters - Love Songs,PARTIAL,Carpenters/Carpenters - Note For Note,0.75,2,Carpenters/Note For Note,0.65,11,Carpenters/Carpenters - Love Songs,0.43,19,,
Colbie Caillat,Colbie Caillat - Breakthrough _PVG Book_,13,Colbie Caillat/Breakthrough [pvg Book],POOR,Colbie Caillat/Colbie Caillat - Breakthrough [pvg Book],0.49,1,,,,,,,,
Creedence Clearwater Revival,Creedence Clearwater Revival - 8 Pcs Book,8,Creedence Clearwater Revival/Creedence Clearwater Revival - 8 Pcs Book,PARTIAL,Creedence Clearwater Revival/Creedence Clearwater Revival - 8 Pcs Book,0.89,5,Creedence Clearwater Revival/Creedence Clearwater Revival - Guitar Tab Book,0.76,7,Creedence Clearwater Revival/Creedence Clearwater Revival - Guitar Anthology,0.62,6,,
Creedence Clearwater Revival,Creedence Clearwater Revival - Best Of,20,Creedence Clearwater Revival/Creedence Clearwater Revival - Best Of,PARTIAL,Creedence Clearwater Revival/Creedence Clearwater Revival - Best Of,0.90,13,Creedence Clearwater Revival/Creedence Clearwater Revival - Guitar Anthology,0.56,6,Creedence Clearwater Revival/Best Of,0.53,20,,
Creedence Clearwater Revival,Creedence Clearwater Revival - Guitar Anthology,20,Creedence Clearwater Revival/Creedence Clearwater Revival - Guitar Tab Book,POOR,Creedence Clearwater Revival/Creedence Clearwater Revival - Guitar Anthology,0.79,6,Creedence Clearwater Revival/Creedence Clearwater Revival - Best Of,0.66,13,Creedence Clearwater Revival/Creedence Clearwater Revival - Guitar Tab Book,0.60,7,,
Creedence Clearwater Revival,Creedence Clearwater Revival - Ultimate Minus One,7,Creedence Clearwater Revival/Creedence Clearwater Revival - Best Of,PARTIAL,Creedence Clearwater Revival/Creedence Clearwater Revival - Ultimate Minus One,0.87,4,Creedence Clearwater Revival/Creedence Clearwater Revival - Guitar Tab Book,0.70,7,Creedence Clearwater Revival/Creedence Clearwater Revival - Guitar Anthology,0.66,6,,
Crosby Stills And Nash,Crosby Stills Nash And Young - Deja Vu _PVG Book_,21,Crosby Stills And Nash/Crosby Stills Nash & Young - Deja Vu [pvg Book],POOR,Crosby Stills And Nash/Crosby Stills Nash & Young - Deja Vu [pvg Book],0.63,32,,,,,,,,
