Status,Match_Score,PDF_Artist,PDF_Book,PDF_Path,Folder_Artist,Folder_Book,Folder_Path,PDF_Exists,Folder_Exists
MATCHED,100.00%,_Broadway Shows,Various Artists - Cabaret (Original),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Cabaret (Original).pdf,_broadway Shows,Various Artists - Cabaret (original),c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Cabaret (original),YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Cats - Conductor Score,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Cats - Conductor Score.pdf,_broadway Shows,Various Artists - Cats - Conductor Score,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Cats - Conductor Score,YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Chicago (1975),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Chicago (1975).pdf,_broadway Shows,Various Artists - Chicago (1975),c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Chicago (1975),YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Dear Evan Hansen (PVG),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Dear Evan Hansen (PVG).pdf,_broadway Shows,Various Artists - Dear Evan Hansen (pvg),c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Dear Evan Hansen (pvg),YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Dirty Rotten Scoundrels (Piano-Vocal),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Dirty Rotten Scoundrels (Piano-Vocal).pdf,_broadway Shows,Various Artists - Dirty Rotten Scoundrels (piano-vocal),c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Dirty Rotten Scoundrels (piano-vocal),YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Evita  [Conductor Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Evita  [Conductor Score].pdf,_broadway Shows,Various Artists - Evita [conductor Score],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Evita [conductor Score],YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Evita [Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Evita [Score].pdf,_broadway Shows,Various Artists - Evita [score],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Evita [score],YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Footloose [Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Footloose [Score].pdf,_broadway Shows,Various Artists - Footloose [score],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Footloose [score],YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Grease [1994 Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Grease [1994 Score].pdf,_broadway Shows,Various Artists - Grease [1994 Score],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Grease [1994 Score],YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Grease [2003 Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Grease [2003 Score].pdf,_broadway Shows,Various Artists - Grease [2003 Score],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Grease [2003 Score],YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Hair (rev 1995) - Piano Conductor Score,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Hair (rev 1995) - Piano Conductor Score.pdf,_broadway Shows,Various Artists - Hair (rev 1995) - Piano Conductor Score,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Hair (rev 1995) - Piano Conductor Score,YES,
UNMATCHED_PDF,86.00%,_Broadway Shows,Various Artists - High School Musical [score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - High School Musical [score].pdf,_broadway Shows,Various Artists - Seussical [piano-conductor],,YES,
MATCHED,98.33%,_Broadway Shows,Various Artists - High School Musical 1 [Libretto],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - High School Musical 1 [Libretto].pdf,_broadway Shows,Various Artists - High School Musical [score],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - High School Musical [score],YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Jesus Christ Superstar,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Jesus Christ Superstar.pdf,_broadway Shows,Various Artists - Jesus Christ Superstar,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Jesus Christ Superstar,YES,YES
MATCHED,100.00%,_Broadway Shows,Various Artists - Legally Blonde - score,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Legally Blonde - score.pdf,_broadway Shows,Various Artists - Legally Blonde - Score,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Legally Blonde - Score,YES,YES
MATCHED,100.00%,_Broadway Shows,Various Artists - Les Miserables - Full Score,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Les Miserables - Full Score.pdf,_broadway Shows,Various Artists - Les Miserables - Full Score,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Les Miserables - Full Score,YES,YES
MATCHED,100.00%,_Broadway Shows,Various Artists - Les Miserables - Piano-Conductor (complete),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Les Miserables - Piano-Conductor (complete).pdf,_broadway Shows,Various Artists - Les Miserables - Piano-conductor (complete),c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Les Miserables - Piano-conductor (complete),YES,YES
MATCHED,100.00%,_Broadway Shows,Various Artists - Les Miserables - Piano-Conductor,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Les Miserables - Piano-Conductor.pdf,_broadway Shows,Various Artists - Les Miserables - Piano-conductor,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Les Miserables - Piano-conductor,YES,YES
MATCHED,100.00%,_Broadway Shows,Various Artists - Lion King [Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Lion King [Score].pdf,_broadway Shows,Various Artists - Lion King [score],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Lion King [score],YES,YES
MATCHED,100.00%,_Broadway Shows,Various Artists - Little Mermaid Workshop score,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Little Mermaid Workshop score.PDF,_broadway Shows,Various Artists - Little Mermaid Workshop Score,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Little Mermaid Workshop Score,YES,YES
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Little Shop Of Horrors (Broadway),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Little Shop Of Horrors (Broadway).pdf,_broadway Shows,Various Artists - Little Shop Of Horrors (original),,YES,
MATCHED,82.25%,_Broadway Shows,Various Artists - Little Shop of Horrors (original),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Little Shop of Horrors (original).pdf,_broadway Shows,Various Artists - Little Shop Of Horrors (original),c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Little Shop Of Horrors (original),YES,YES
UNMATCHED_PDF,78.96%,_Broadway Shows,Various Artists - Little Shop of Horrors Script,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Little Shop of Horrors Script.pdf,_broadway Shows,Various Artists - The Hobbit Score,,YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Mary Poppins,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Mary Poppins.pdf,_broadway Shows,Various Artists - Mary Poppins,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Mary Poppins,YES,YES
MATCHED,96.47%,_Broadway Shows,Various Artists - Phantom of Opera [SATB],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Phantom of Opera [SATB].pdf,_broadway Shows,Various Artists - Phantom Of Opera [satb],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Phantom Of Opera [satb],YES,YES
MATCHED,100.00%,_Broadway Shows,Various Artists - Phantom of the Opera [Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Phantom of the Opera [Score].pdf,_broadway Shows,Various Artists - Phantom Of The Opera [score],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Phantom Of The Opera [score],YES,YES
MATCHED,81.25%,_Broadway Shows,Various Artists - Phantom of the Opera,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Phantom of the Opera.pdf,_broadway Shows,Various Artists - Phantom Of The Opera,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Phantom Of The Opera,YES,YES
MATCHED,100.00%,_Broadway Shows,Various Artists - Rent [Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Rent [Score].pdf,_broadway Shows,Various Artists - Rent [score],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Rent [score],YES,YES
MATCHED,100.00%,_Broadway Shows,Various Artists - Rocky Horror Show Revised - Full Score,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Rocky Horror Show Revised - Full Score.pdf,_broadway Shows,Various Artists - Rocky Horror Show Revised - Full Score,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Rocky Horror Show Revised - Full Score,YES,YES
MATCHED,79.27%,_Broadway Shows,Various Artists - Rocky Horror Show,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Rocky Horror Show.pdf,_broadway Shows,Various Artists - Rocky Horror Show,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Rocky Horror Show,YES,YES
MATCHED,100.00%,_Broadway Shows,Various Artists - Seussical - TYA,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Seussical - TYA.pdf,_broadway Shows,Various Artists - Seussical - Tya,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Seussical - Tya,YES,YES
MATCHED,100.00%,_Broadway Shows,Various Artists - Seussical [Piano-Conductor],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Seussical [Piano-Conductor].pdf,_broadway Shows,Various Artists - Seussical [piano-conductor],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Seussical [piano-conductor],YES,YES
MATCHED,86.53%,_Broadway Shows,Various Artists - Seussical [PV Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Seussical [PV Score].pdf,_broadway Shows,Various Artists - Seussical [pv Score],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Seussical [pv Score],YES,YES
UNMATCHED_PDF,85.71%,_Broadway Shows,Various Artists - Shrek The Musical,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Shrek The Musical.pdf,_broadway Shows,Various Artists - Sound Of Music,,YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Sound of Music (Vocal Selections),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Sound of Music (Vocal Selections).pdf,_broadway Shows,Various Artists - Sound Of Music (vocal Selections),c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Sound Of Music (vocal Selections),YES,YES
MATCHED,81.54%,_Broadway Shows,Various Artists - Sound of Music,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Sound of Music.pdf,_broadway Shows,Various Artists - Sound Of Music,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Sound Of Music,YES,YES
MATCHED,77.50%,_Broadway Shows,Various Artists - Spamalot,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Spamalot.pdf,_broadway Shows,Various Artists - Spamalot,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Spamalot,YES,YES
MATCHED,71.43%,_Broadway Shows,Various Artists - Sweeney Todd Vocal Score,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Sweeney Todd Vocal Score.pdf,_broadway Shows,Various Artists - Sweeney Todd Vocal Score,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Sweeney Todd Vocal Score,YES,YES
MATCHED,75.38%,_Broadway Shows,Various Artists - The Hobbit Score,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - The Hobbit Score.pdf,_broadway Shows,Various Artists - The Hobbit Score,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - The Hobbit Score,YES,YES
MATCHED,73.55%,_Broadway Shows,Various Artists - The Ultimate BROADWAY fakebook,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - The Ultimate BROADWAY fakebook.pdf,_broadway Shows,Various Artists - The Ultimate Broadway Fakebook,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - The Ultimate Broadway Fakebook,YES,YES
MATCHED,60.24%,_Broadway Shows,Various Artists - Wicked [PVG],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Wicked [PVG].pdf,_broadway Shows,Various Artists - Wicked [pvg],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Wicked [pvg],YES,YES
MATCHED,59.89%,_Broadway Shows,Various Artists - Wicked [Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Wicked [Score].pdf,_broadway Shows,Various Artists - Wicked [score],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Wicked [score],YES,YES
MATCHED,53.32%,_Broadway Shows,Various Artists - Wizard Of Oz - Piano Conductor,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Wizard Of Oz - Piano Conductor.pdf,_broadway Shows,Various Artists - Wizard Of Oz - Piano Conductor,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Wizard Of Oz - Piano Conductor,YES,YES
MATCHED,74.29%,_Broadway Shows,Various Artists - Wizard Of Oz (RSC Piano-Conductor),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Wizard Of Oz (RSC Piano-Conductor).pdf,_broadway Shows,Various Artists - Wizard Of Oz (rsc Piano-conductor),c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Wizard Of Oz (rsc Piano-conductor),YES,YES
UNMATCHED_PDF,57.53%,_Broadway Shows,Various Artists - You're A Good Man Charlie Brown (Score),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - You're A Good Man Charlie Brown (Score).pdf,_broadway Shows,Steven Sondheim - All Sondheim Volume 2 Book,,YES,
MATCHED,52.40%,_Broadway Shows,Various Artists - You're A Good Man Charlie Brown [revival] [score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - You're A Good Man Charlie Brown [revival] [score].pdf,_broadway Shows,Various Artists - You're A Good Man Charlie Brown [revival] [score],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - You're A Good Man Charlie Brown [revival] [score],YES,YES
UNMATCHED_PDF,,_Broadway Shows,Wicked Workshop,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Wicked Workshop.pdf,,,,YES,
MATCHED,,_Broadway Shows,Steven Sondheim - All Sondheim Volume 2 BOOK,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Steven Sondheim\Books\Steven Sondheim - All Sondheim Volume 2 BOOK.pdf,_broadway Shows,Steven Sondheim - All Sondheim Volume 2 Book,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Steven Sondheim - All Sondheim Volume 2 Book,YES,YES
MATCHED,70.00%,_Movie and TV,Beauty and the Beast [PVG],c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Beauty and the Beast [PVG].pdf,_movie And Tv,Beauty And The Beast [pvg],c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Beauty And The Beast [pvg],YES,YES
MATCHED,70.00%,_Movie and TV,Brother Bear (Disney),c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Brother Bear (Disney).pdf,_movie And Tv,Brother Bear (disney),c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Brother Bear (disney),YES,YES
MATCHED,100.00%,_Movie and TV,Disney Collection (Songs out of order),c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Disney Collection (Songs out of order).pdf,_movie And Tv,Disney Collection (songs Out Of Order),c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Disney Collection (songs Out Of Order),YES,YES
MATCHED,100.00%,_Movie and TV,High School Musical - Breaking Free - Piano Sheet Music,c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\High School Musical - Breaking Free - Piano Sheet Music.pdf,_movie And Tv,High School Musical - Breaking Free - Piano Sheet Music,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\High School Musical - Breaking Free - Piano Sheet Music,YES,YES
MATCHED,100.00%,_Movie and TV,Kasha & Hirschorn - Pete's Dragon,c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Kasha & Hirschorn - Pete's Dragon.pdf,_movie And Tv,Kasha & Hirschorn - Pete's Dragon,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Kasha & Hirschorn - Pete's Dragon,YES,YES
MATCHED,100.00%,_Movie and TV,Mary Poppins,c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Mary Poppins.pdf,_movie And Tv,Mary Poppins,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Mary Poppins,YES,YES
MATCHED,100.00%,_Movie and TV,Mulan,c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Mulan.pdf,_movie And Tv,Mulan,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Mulan,YES,YES
MATCHED,100.00%,_Movie and TV,Pirates of the Caribbean [Book 1 - The Curse of the Black Pearl],c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Pirates of the Caribbean [Book 1 - The Curse of the Black Pearl].pdf,_movie And Tv,Pirates Of The Caribbean [book 1 - The Curse Of The Black Pearl],c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Pirates Of The Caribbean [book 1 - The Curse Of The Black Pearl],YES,YES
MATCHED,76.46%,_Movie and TV,Pirates of the Caribbean [Book 2 - Dead Man's Chest],c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Pirates of the Caribbean [Book 2 - Dead Man's Chest].pdf,_movie And Tv,Pirates Of The Caribbean [book 2 - Dead Man's Chest],c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Pirates Of The Caribbean [book 2 - Dead Man's Chest],YES,YES
MATCHED,100.00%,_Movie and TV,Spirited Away (Disney) (2001),c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Spirited Away (Disney) (2001).pdf,_movie And Tv,Spirited Away (disney) (2001),c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Spirited Away (disney) (2001),YES,YES
MATCHED,100.00%,_Movie and TV,The New Illustrated Treasury of Disney Songs,c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\The New Illustrated Treasury of Disney Songs.pdf,_movie And Tv,The New Illustrated Treasury Of Disney Songs,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\The New Illustrated Treasury Of Disney Songs,YES,YES
MATCHED,100.00%,_Movie and TV,The New Illustrated Treasury of Disney,c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\The New Illustrated Treasury of Disney.pdf,_movie And Tv,The New Illustrated Treasury Of Disney,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\The New Illustrated Treasury Of Disney,YES,YES
MATCHED,88.00%,_Movie and TV,Various Artists - Disney Duets,c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Various Artists - Disney Duets.pdf,_movie And Tv,Various Artists - Disney Duets,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Disney Duets,YES,YES
MATCHED,92.26%,_Movie and TV,Various Artists - Disney Fake Book,c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Various Artists - Disney Fake Book.pdf,_movie And Tv,Various Artists - Disney Fake Book,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Disney Fake Book,YES,YES
MATCHED,100.00%,_Movie and TV,Various Artists - Disney Solos For Violin,c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Various Artists - Disney Solos For Violin.pdf,_movie And Tv,Various Artists - Disney Solos For Violin,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Disney Solos For Violin,YES,YES
