match_type,action,csv_book_id,csv_artist,csv_book_name,csv_source_uri,db_book_id,db_artist,db_book_name,db_source_uri,db_status,songs_extracted,needs_update,reason
no_match,create,1e420988d245d3e0,Beatles,Beatles - Anthology 2 page_01_-_40,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 2 page_01_-_40.pdf,,,,,,9,True,not in DynamoDB
no_match,create,8275a7b4105f7d3f,Beatles,Beatles - Anthology 2 page_41_-72,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 2 page_41_-72.pdf,,,,,,1,True,not in DynamoDB
no_match,create,a1d3a378d8b8bd88,Beatles,Beatles - Anthology 2 page_73_-112,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 2 page_73_-112.pdf,,,,,,1,True,not in DynamoDB
no_match,create,16e814260df60b58,Beatles,Beatles - Anthology 3 _page 37 - 79,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 3 _page 37 - 79.pdf,,,,,,1,True,not in DynamoDB
no_match,create,ee770fc56c0d6144,Beatles,Beatles - Anthology 3 page_01_-_36,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 3 page_01_-_36.pdf,,,,,,8,True,not in DynamoDB
no_match,create,017a1f876dce0e96,Beatles,Beatles - Anthology 3 page_80_-_111,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 3 page_80_-_111.pdf,,,,,,1,True,not in DynamoDB
name_match,update,05b809bf994cabe5,Beatles,Beatles - Beatlemania 1963-1966,s3://jsmith-input/SheetMusic/Beatles/Beatles - Beatlemania 1963-1966.pdf,092274c023b730b6,Beatles,Beatles - Beatlemania 1963-1966,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Beatlemania 1963-1966.pdf,success,34,True,book_id changed (path changed)
name_match,update,8af56528b2d22c8a,Beatles,Beatles - Complete Scores,s3://jsmith-input/SheetMusic/Beatles/Beatles - Complete Scores.pdf,49c5c7e15a667c2a,Beatles,Beatles - Complete Scores,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Complete Scores.pdf,success,210,True,book_id changed (path changed)
no_match,create,91035ac2f1e99cfa,Beatles,Beatles - Complete Scores _2_,s3://jsmith-input/SheetMusic/Beatles/Beatles - Complete Scores _2_.pdf,,,,,,210,True,not in DynamoDB
name_match,update,f7ce1a630f9bc1bd,Beatles,Beatles - Essential Songs,s3://jsmith-input/SheetMusic/Beatles/Beatles - Essential Songs.pdf,14ba16ab9eec736c,Beatles,Beatles - Essential Songs,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Essential Songs.pdf,success,96,True,book_id changed (path changed)
