"Artist","SourceBook","Folder1","Folder1Songs","Folder2","Folder2Songs"
"Buddy Holly","Buddy Holly - Golden Anniversary Songbook","Buddy Holly - Golden Anniversary Songbook","9","Golden Anniversary Songbook","28"
"Burl Ives","Burl Ives - Song Book","Burl Ives - Song Book","60","Song Book","106"
"Burt Bacharach","Burt Bacharach - 40 Golden Songs Of","40 Golden Songs Of","40","Burt Bacharach - 40 Golden Songs Of","29"
"Burt Bacharach","Burt Bacharach - Anthology","Anthology","33","Burt Bacharach - Anthology","15"
"Burt Bacharach","Burt Bacharach - Bacharach Collection","Bacharach Collection","15","Burt Bacharach - Bacharach Collection","4"
"Carole King","Carole King - Bradley's Best Of The Best (Organ)","Bradley's Best Of The Best (organ)","13","Carole King - Bradley's Best Of The Best (organ)","7"
"Carole King","Carole King - Classics","Carole King - Classics","15","Classics","21"
"Carole King","Carole King - Classics (2)","Carole King - Classics (2)","29","Classics (2)","35"
"Carole King","Carole King - Classics (3)","Carole King - Classics (3)","27","Classics (3)","35"
"Carole King","Carole King - Keyboard Play-Along Vol 22","Carole King - Keyboard Play-along Vol 22","3","Keyboard Play-along Vol 22","8"
"Carole King","Carole King - Tapestry","Carole King - Tapestry","9","Tapestry","12"
"Carole King","Carole King - You're The Voice","Carole King - You're The Voice","1","You're The Voice","11"
"Carpenters","Carpenters - Anthology","Anthology","43","Carpenters - Anthology","21"
"Carpenters","Carpenters - Love Songs","Carpenters - Love Songs","19","Love Songs","22"
"Carpenters","Carpenters - Note For Note","Carpenters - Note For Note","2","Note For Note","11"
"Colbie Caillat","Colbie Caillat - Breakthrough [PVG Book]","Breakthrough [pvg Book]","13","Colbie Caillat - Breakthrough [pvg Book]","1"
"Cole Porter","Cole Porter - The Very Best Of Cole Porter","Cole Porter - The Very Best Of Cole Porter","34","The Very Best Of Cole Porter","38"
"Cream","Cream - Cream Complete","Cream - Cream Complete","20","Cream Complete","25"
"Creedence Clearwater Revival","Creedence Clearwater Revival - 8 Pcs Book","8 Pcs Book","8","Creedence Clearwater Revival - 8 Pcs Book","5"
"Creedence Clearwater Revival","Creedence Clearwater Revival - Best Of","Best Of","20","Creedence Clearwater Revival - Best Of","13"
"Creedence Clearwater Revival","Creedence Clearwater Revival - Guitar Anthology","Creedence Clearwater Revival - Guitar Anthology","6","Guitar Anthology","20"
"Creedence Clearwater Revival","Creedence Clearwater Revival - Guitar Tab Book","Creedence Clearwater Revival - Guitar Tab Book","7","Guitar Tab Book","1"
"Creedence Clearwater Revival","Creedence Clearwater Revival - Ultimate Minus One","Creedence Clearwater Revival - Ultimate Minus One","4","Ultimate Minus One","7"
"Crowded House","Crowded House - The Very Best Of [PVG Book]","Crowded House - The Very Best Of [pvg Book]","7","The Very Best Of [pvg Book]","19"
"Dire Straits","Dire Straits - Best Of Dire Straits [Guitar Tab]","Best Of Dire Straits [guitar Tab]","22","Dire Straits - Best Of Dire Straits [guitar Tab]","6"
"Dire Straits","Dire Straits -  Brothers In Arms","Brothers In Arms","1","Dire Straits - Brothers In Arms","9"
"Dire Straits","Dire Straits - Jam with Dire Straits [Guitar Book]","Dire Straits - Jam With Dire Straits [guitar Book]","5","Jam With Dire Straits [guitar Book]","8"
