"Artist","SourceBook","SourcePath","FolderCount","Folders"
"Carole King","Carole King - Bradley's Best Of The Best (Organ)","C:\Work\AWSMusic\SheetMusic\Carole King\books\Carole King - Bradley's Best Of The Best (Organ).pdf","2","Bradley's Best Of The Best (organ); Carole King - Bradley's Best Of The Best (organ)"
"Carole King","Carole King - Classics (2)","C:\Work\AWSMusic\SheetMusic\Carole King\books\Carole King - Classics (2).pdf","2","Carole King - Classics (2); Classics (2)"
"Carole King","Carole King - Classics (3)","C:\Work\AWSMusic\SheetMusic\Carole King\books\Carole King - Classics (3).pdf","2","Carole King - Classics (3); Classics (3)"
"Carole King","Carole King - Classics","C:\Work\AWSMusic\SheetMusic\Carole King\books\Carole King - Classics.pdf","2","Carole King - Classics; Classics"
"Carole King","Carole King - Keyboard Play-Along Vol 22","C:\Work\AWSMusic\SheetMusic\Carole King\books\Carole King - Keyboard Play-Along Vol 22.pdf","2","Carole King - Keyboard Play-along Vol 22; Keyboard Play-along Vol 22"
"Carole King","Carole King - Tapestry","C:\Work\AWSMusic\SheetMusic\Carole King\books\Carole King - Tapestry.pdf","2","Carole King - Tapestry; Tapestry"
"Carole King","Carole King - You're The Voice","C:\Work\AWSMusic\SheetMusic\Carole King\books\Carole King - You're The Voice.pdf","2","Carole King - You're The Voice; You're The Voice"
"Carpenters","Carpenters - Anthology","C:\Work\AWSMusic\SheetMusic\Carpenters\books\Carpenters - Anthology.pdf","2","Anthology; Carpenters - Anthology"
"Carpenters","Carpenters - Love Songs","C:\Work\AWSMusic\SheetMusic\Carpenters\books\Carpenters - Love Songs.pdf","2","Carpenters - Love Songs; Love Songs"
"Carpenters","Carpenters - Note For Note","C:\Work\AWSMusic\SheetMusic\Carpenters\books\Carpenters - Note For Note.pdf","2","Carpenters - Note For Note; Note For Note"
"Colbie Caillat","Colbie Caillat - Breakthrough [PVG Book]","C:\Work\AWSMusic\SheetMusic\Colbie Caillat\books\Colbie Caillat - Breakthrough [PVG Book].pdf","2","Breakthrough [pvg Book]; Colbie Caillat - Breakthrough [pvg Book]"
"Cole Porter","Cole Porter - The Very Best Of Cole Porter","C:\Work\AWSMusic\SheetMusic\Cole Porter\books\Cole Porter - The Very Best Of Cole Porter.pdf","2","Cole Porter - The Very Best Of Cole Porter; The Very Best Of Cole Porter"
"Cream","Cream - Cream Complete","C:\Work\AWSMusic\SheetMusic\Cream\books\Cream - Cream Complete.pdf","2","Cream - Cream Complete; Cream Complete"
"Creedence Clearwater Revival","Creedence Clearwater Revival - 8 Pcs Book","C:\Work\AWSMusic\SheetMusic\Creedence Clearwater Revival\books\Creedence Clearwater Revival - 8 Pcs Book.pdf","2","8 Pcs Book; Creedence Clearwater Revival - 8 Pcs Book"
"Creedence Clearwater Revival","Creedence Clearwater Revival - Best Of","C:\Work\AWSMusic\SheetMusic\Creedence Clearwater Revival\books\Creedence Clearwater Revival - Best Of.pdf","2","Best Of; Creedence Clearwater Revival - Best Of"
"Creedence Clearwater Revival","Creedence Clearwater Revival - Guitar Anthology","C:\Work\AWSMusic\SheetMusic\Creedence Clearwater Revival\books\Creedence Clearwater Revival - Guitar Anthology.pdf","2","Creedence Clearwater Revival - Guitar Anthology; Guitar Anthology"
"Creedence Clearwater Revival","Creedence Clearwater Revival - Guitar Tab Book","C:\Work\AWSMusic\SheetMusic\Creedence Clearwater Revival\books\Creedence Clearwater Revival - Guitar Tab Book.pdf","2","Creedence Clearwater Revival - Guitar Tab Book; Guitar Tab Book"
"Creedence Clearwater Revival","Creedence Clearwater Revival - Ultimate Minus One","C:\Work\AWSMusic\SheetMusic\Creedence Clearwater Revival\books\Creedence Clearwater Revival - Ultimate Minus One.pdf","2","Creedence Clearwater Revival - Ultimate Minus One; Ultimate Minus One"
"Crowded House","Crowded House - The Very Best Of [PVG Book]","C:\Work\AWSMusic\SheetMusic\Crowded House\books\Crowded House - The Very Best Of [PVG Book].pdf","2","Crowded House - The Very Best Of [pvg Book]; The Very Best Of [pvg Book]"
"Dire Straits","Dire Straits -  Brothers In Arms","C:\Work\AWSMusic\SheetMusic\Dire Straits\books\Dire Straits -  Brothers In Arms.pdf","2","Brothers In Arms; Dire Straits - Brothers In Arms"
"Dire Straits","Dire Straits - Best Of Dire Straits [Guitar Tab]","C:\Work\AWSMusic\SheetMusic\Dire Straits\books\Dire Straits - Best Of Dire Straits [Guitar Tab].pdf","2","Best Of Dire Straits [guitar Tab]; Dire Straits - Best Of Dire Straits [guitar Tab]"
"Dire Straits","Dire Straits - Jam with Dire Straits [Guitar Book]","C:\Work\AWSMusic\SheetMusic\Dire Straits\books\Dire Straits - Jam with Dire Straits [Guitar Book].pdf","2","Dire Straits - Jam With Dire Straits [guitar Book]; Jam With Dire Straits [guitar Book]"
"Don Henley","Don Henley - Actual Miles (Greatest Hits)","C:\Work\AWSMusic\SheetMusic\Don Henley\books\Don Henley - Actual Miles (Greatest Hits).pdf","2","Actual Miles (greatest Hits); Don Henley - Actual Miles (greatest Hits)"
"Don Henley","Don Henley - The End Of The Innocence [PVG Book]","C:\Work\AWSMusic\SheetMusic\Don Henley\books\Don Henley - The End Of The Innocence [PVG Book].pdf","2","Don Henley - The End Of The Innocence [pvg Book]; The End Of The Innocence [pvg Book]"
"Doobie Brothers","Doobie Brothers - Songs","C:\Work\AWSMusic\SheetMusic\Doobie Brothers\books\Doobie Brothers - Songs.pdf","2","Doobie Brothers - Songs; Songs"
"Doors","Doors - Anthology","C:\Work\AWSMusic\SheetMusic\Doors\books\Doors - Anthology.pdf","2","Anthology; Doors - Anthology"
"Doors","Doors - Songbook","C:\Work\AWSMusic\SheetMusic\Doors\books\Doors - Songbook.pdf","2","Doors - Songbook; Songbook"
"Duran Duran","Duran Duran - Best Of [Score]","C:\Work\AWSMusic\SheetMusic\Duran Duran\books\Duran Duran - Best Of [Score].pdf","2","Best Of [score]; Duran Duran - Best Of [score]"
"Duran Duran","Duran Duran - Decade [PVG Book]","C:\Work\AWSMusic\SheetMusic\Duran Duran\books\Duran Duran - Decade [PVG Book].pdf","2","Decade [pvg Book]; Duran Duran - Decade [pvg Book]"
"Duran Duran","Duran Duran - Seven & The Ragged Tiger [Jap Band Score]","C:\Work\AWSMusic\SheetMusic\Duran Duran\books\Duran Duran - Seven & The Ragged Tiger [Jap Band Score].pdf","2","Duran Duran - Seven & The Ragged Tiger [jap Band Score]; Seven & The Ragged Tiger [jap Band Score]"
