Type,Needs_Rename,Artist,Old_Name,New_Name,Old_Path,New_Path,Status
FOLDER,YES,Various Artists,Complete Piano Player Easy Blues (22 Songs),Complete Piano Player Easy Blues _22 Songs_,c:\Work\AWSMusic\ProcessedSongs\Various Artists\Complete Piano Player Easy Blues (22 Songs),c:\Work\AWSMusic\ProcessedSongs\Various Artists\Complete Piano Player Easy Blues _22 Songs_,MATCHED
PDF,YES,Various Artists,Various Artists - Country Classics [PVG],Various Artists - Country Classics _PVG_,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Country Classics [PVG].pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Country Classics _PVG_.pdf,MATCHED
FOLDER,YES,Various Artists,Country Classics [pvg],Country Classics _pvg_,c:\Work\AWSMusic\ProcessedSongs\Various Artists\Country Classics [pvg],c:\Work\AWSMusic\ProcessedSongs\Various Artists\Country Classics _pvg_,MATCHED
PDF,YES,Various Artists,Various Artists - Even More Songs Of The Eighties [PVG],Various Artists - Even More Songs Of The Eighties _PVG_,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Even More Songs Of The Eighties [PVG].pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Even More Songs Of The Eighties _PVG_.pdf,MATCHED
FOLDER,YES,Various Artists,Even More Songs Of The Eighties [pvg],Even More Songs Of The Eighties _pvg_,c:\Work\AWSMusic\ProcessedSongs\Various Artists\Even More Songs Of The Eighties [pvg],c:\Work\AWSMusic\ProcessedSongs\Various Artists\Even More Songs Of The Eighties _pvg_,MATCHED
PDF,YES,Various Artists,Various Artists - Golden Era of Rock and Roll (grab it!),Various Artists - Golden Era Of Rock And Roll _grab it_,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Golden Era of Rock and Roll (grab it!).pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Golden Era Of Rock And Roll _grab it_.pdf,MATCHED
FOLDER,YES,Various Artists,Golden Era Of Rock And Roll (grab It!),Golden Era Of Rock And Roll _grab It_,c:\Work\AWSMusic\ProcessedSongs\Various Artists\Golden Era Of Rock And Roll (grab It!),c:\Work\AWSMusic\ProcessedSongs\Various Artists\Golden Era Of Rock And Roll _grab It_,MATCHED
PDF,YES,Various Artists,Various Artists - Great Bands Of The 60s [PVG Book],Various Artists - Great Bands Of The 60s _PVG Book_,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Great Bands Of The 60s [PVG Book].pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Great Bands Of The 60s _PVG Book_.pdf,MATCHED
FOLDER,YES,Various Artists,Great Bands Of The 60s [pvg Book],Great Bands Of The 60s _pvg Book_,c:\Work\AWSMusic\ProcessedSongs\Various Artists\Great Bands Of The 60s [pvg Book],c:\Work\AWSMusic\ProcessedSongs\Various Artists\Great Bands Of The 60s _pvg Book_,MATCHED
PDF,YES,Various Artists,Various Artists - Great Bands Of The 70s [PVG Book],Various Artists - Great Bands Of The 70s _PVG Book_,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Great Bands Of The 70s [PVG Book].pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Great Bands Of The 70s _PVG Book_.pdf,MATCHED
FOLDER,YES,Various Artists,Great Bands Of The 70s [pvg Book],Great Bands Of The 70s _pvg Book_,c:\Work\AWSMusic\ProcessedSongs\Various Artists\Great Bands Of The 70s [pvg Book],c:\Work\AWSMusic\ProcessedSongs\Various Artists\Great Bands Of The 70s _pvg Book_,MATCHED
PDF,YES,Various Artists,Various Artists - Great Big Book of Children's Songs,Various Artists - Great Big Book Of Childrens Songs,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Great Big Book of Children's Songs.pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Great Big Book Of Childrens Songs.pdf,MATCHED
