Type,Input Path,Output Path,Similarity
Exact Match,_Movie and TV\Various Artists - Music From The Movies The Animated Collection.pdf,_movie And Tv/Various Artists - Music From The Movies The Animated Collection,100%
Exact Match,_Movie and TV\Various Artists - Piano Solos Film Music - The Costume Drama Collection.pdf,_movie And Tv/Various Artists - Piano Solos Film Music - The Costume Drama Collection,100%
Exact Match,_Movie and TV\Various Artists - Pirates Of The Caribbean At Worlds End.pdf,_movie And Tv/Various Artists - Pirates Of The Caribbean At Worlds End,100%
Exact Match,_Movie and TV\Various Artists - Shrek 1.pdf,_movie And Tv/Various Artists - Shrek 1,100%
Exact Match,_Movie and TV\Various Artists - Shrek 2.pdf,_movie And Tv/Various Artists - Shrek 2,100%
Exact Match,_Movie and TV\Various Artists - Shrek 3.pdf,_movie And Tv/Various Artists - Shrek 3,100%
Exact Match,_Movie and TV\Various Artists - Star Trek - Complete Star Trek Theme Music.pdf,_movie And Tv/Various Artists - Star Trek - Complete Star Trek Theme Music,100%
Exact Match,_Movie and TV\Various Artists - Star Trek - Complete Theme Music _Piano Solo_.pdf,_movie And Tv/Various Artists - Star Trek - Complete Theme Music _Piano Solo_,100%
Exact Match,_Movie and TV\Various Artists - Star Trek - Deep Space Nine.pdf,_movie And Tv/Various Artists - Star Trek - Deep Space Nine,100%
Exact Match,_Movie and TV\Various Artists - Star Trek - Enterprise.pdf,_movie And Tv/Various Artists - Star Trek - Enterprise,100%
Exact Match,_Movie and TV\Various Artists - Star Trek - First Contact.pdf,_movie And Tv/Various Artists - Star Trek - First Contact,100%
Exact Match,_Movie and TV\Various Artists - Star Trek - Generations.pdf,_movie And Tv/Various Artists - Star Trek - Generations,100%
Exact Match,_Movie and TV\Various Artists - Star Trek - Insurrection.pdf,_movie And Tv/Various Artists - Star Trek - Insurrection,100%
Exact Match,_Movie and TV\Various Artists - Star Trek - Star Trek.pdf,_movie And Tv/Various Artists - Star Trek - Star Trek,100%
Exact Match,_Movie and TV\Various Artists - Star Trek - Star Trek The Motion Picture.pdf,_movie And Tv/Various Artists - Star Trek - Star Trek The Motion Picture,100%
Exact Match,_Movie and TV\Various Artists - Star Trek - The Final Frontier.pdf,_movie And Tv/Various Artists - Star Trek - The Final Frontier,100%
Exact Match,_Movie and TV\Various Artists - Star Trek - The Next Generation.pdf,_movie And Tv/Various Artists - Star Trek - The Next Generation,100%
Exact Match,_Movie and TV\Various Artists - Star Trek - The Search For Spock.pdf,_movie And Tv/Various Artists - Star Trek - The Search For Spock,100%
Exact Match,_Movie and TV\Various Artists - Star Trek - The Undiscovered Country.pdf,_movie And Tv/Various Artists - Star Trek - The Undiscovered Country,100%
Exact Match,_Movie and TV\Various Artists - Star Trek - The Voyage Home.pdf,_movie And Tv/Various Artists - Star Trek - The Voyage Home,100%
Exact Match,_Movie and TV\Various Artists - Star Trek - The Wrath Of Khan.pdf,_movie And Tv/Various Artists - Star Trek - The Wrath Of Khan,100%
Exact Match,_Movie and TV\Various Artists - Star Trek - Them From Search For Spock.pdf,_movie And Tv/Various Artists - Star Trek - Them From Search For Spock,100%
Exact Match,_Movie and TV\Various Artists - Star Trek - Voyager.pdf,_movie And Tv/Various Artists - Star Trek - Voyager,100%
Exact Match,_Movie and TV\Various Artists - Star Trek _Piano Solo_.pdf,_movie And Tv/Various Artists - Star Trek _Piano Solo_,100%
Exact Match,_Movie and TV\Various Artists - The Big Book Of Movie Music.pdf,_movie And Tv/Various Artists - The Big Book Of Movie Music,100%
Exact Match,_Movie and TV\Various Artists - The Simpsons - Simpsons Songbook.pdf,_movie And Tv/Various Artists - The Simpsons - Simpsons Songbook,100%
Exact Match,_Movie and TV\Various Artists - The TV Fakebook.pdf,_movie And Tv/Various Artists - The TV Fakebook,100%
Exact Match,_Movie and TV\Various Artists - Top Movie Hits.pdf,_movie And Tv/Various Artists - Top Movie Hits,100%
Exact Match,_Movie and TV\Various Artists - TV Detective - Themes For Solo Piano.pdf,_movie And Tv/Various Artists - TV Detective - Themes For Solo Piano,100%
Exact Match,_Movie and TV\Various Artists - TV Fakebook 2nd Ed.pdf,_movie And Tv/Various Artists - TV Fakebook 2nd Ed,100%
