Status,Match_Score,PDF_Artist,PDF_Book,PDF_Path,Folder_Artist,Folder_Book,Folder_Path
MATCHED,100.00%,_Broadway Shows,Various Artists - Les Miserables - Full Score,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Les Miserables - Full Score.pdf,_broadway Shows,Various Artists - Les Miserables - Full Score,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Les Miserables - Full Score
MATCHED,100.00%,_Broadway Shows,Various Artists - Les Miserables - Piano-Conductor (complete),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Les Miserables - Piano-Conductor (complete).pdf,_broadway Shows,Various Artists - Les Miserables - Piano-conductor (complete),c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Les Miserables - Piano-conductor (complete)
MATCHED,100.00%,_Broadway Shows,Various Artists - Les Miserables - Piano-Conductor,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Les Miserables - Piano-Conductor.pdf,_broadway Shows,Various Artists - Les Miserables - Piano-conductor,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Les Miserables - Piano-conductor
MATCHED,100.00%,_Broadway Shows,Various Artists - Lion King [Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Lion King [Score].pdf,_broadway Shows,Various Artists - Lion King [score],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Lion King [score]
MATCHED,100.00%,_Broadway Shows,Various Artists - Little Mermaid Workshop score,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Little Mermaid Workshop score.PDF,_broadway Shows,Various Artists - Little Mermaid Workshop Score,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Little Mermaid Workshop Score
UNMATCHED_PDF,100.00%,_Broadway Shows,Various Artists - Little Shop Of Horrors (Broadway),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Little Shop Of Horrors (Broadway).pdf,_broadway Shows,Various Artists - Little Shop Of Horrors (original),
MATCHED,82.25%,_Broadway Shows,Various Artists - Little Shop of Horrors (original),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Little Shop of Horrors (original).pdf,_broadway Shows,Various Artists - Little Shop Of Horrors (original),c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Little Shop Of Horrors (original)
UNMATCHED_PDF,78.96%,_Broadway Shows,Various Artists - Little Shop of Horrors Script,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Little Shop of Horrors Script.pdf,_broadway Shows,Various Artists - The Hobbit Score,
MATCHED,100.00%,_Broadway Shows,Various Artists - Mary Poppins,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Mary Poppins.pdf,_broadway Shows,Various Artists - Mary Poppins,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Mary Poppins
MATCHED,96.47%,_Broadway Shows,Various Artists - Phantom of Opera [SATB],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Phantom of Opera [SATB].pdf,_broadway Shows,Various Artists - Phantom Of Opera [satb],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Phantom Of Opera [satb]
MATCHED,100.00%,_Broadway Shows,Various Artists - Phantom of the Opera [Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Phantom of the Opera [Score].pdf,_broadway Shows,Various Artists - Phantom Of The Opera [score],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Phantom Of The Opera [score]
MATCHED,81.25%,_Broadway Shows,Various Artists - Phantom of the Opera,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Phantom of the Opera.pdf,_broadway Shows,Various Artists - Phantom Of The Opera,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Phantom Of The Opera
MATCHED,100.00%,_Broadway Shows,Various Artists - Rent [Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Rent [Score].pdf,_broadway Shows,Various Artists - Rent [score],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Rent [score]
MATCHED,100.00%,_Broadway Shows,Various Artists - Rocky Horror Show Revised - Full Score,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Rocky Horror Show Revised - Full Score.pdf,_broadway Shows,Various Artists - Rocky Horror Show Revised - Full Score,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Rocky Horror Show Revised - Full Score
MATCHED,79.27%,_Broadway Shows,Various Artists - Rocky Horror Show,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Rocky Horror Show.pdf,_broadway Shows,Various Artists - Rocky Horror Show,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Rocky Horror Show
MATCHED,100.00%,_Broadway Shows,Various Artists - Seussical - TYA,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Seussical - TYA.pdf,_broadway Shows,Various Artists - Seussical - Tya,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Seussical - Tya
MATCHED,100.00%,_Broadway Shows,Various Artists - Seussical [Piano-Conductor],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Seussical [Piano-Conductor].pdf,_broadway Shows,Various Artists - Seussical [piano-conductor],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Seussical [piano-conductor]
MATCHED,86.53%,_Broadway Shows,Various Artists - Seussical [PV Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Seussical [PV Score].pdf,_broadway Shows,Various Artists - Seussical [pv Score],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Seussical [pv Score]
UNMATCHED_PDF,85.71%,_Broadway Shows,Various Artists - Shrek The Musical,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Shrek The Musical.pdf,_broadway Shows,Various Artists - Sound Of Music,
MATCHED,100.00%,_Broadway Shows,Various Artists - Sound of Music (Vocal Selections),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Sound of Music (Vocal Selections).pdf,_broadway Shows,Various Artists - Sound Of Music (vocal Selections),c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Sound Of Music (vocal Selections)
MATCHED,81.54%,_Broadway Shows,Various Artists - Sound of Music,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Sound of Music.pdf,_broadway Shows,Various Artists - Sound Of Music,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Sound Of Music
MATCHED,77.50%,_Broadway Shows,Various Artists - Spamalot,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Spamalot.pdf,_broadway Shows,Various Artists - Spamalot,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Spamalot
MATCHED,71.43%,_Broadway Shows,Various Artists - Sweeney Todd Vocal Score,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Sweeney Todd Vocal Score.pdf,_broadway Shows,Various Artists - Sweeney Todd Vocal Score,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Sweeney Todd Vocal Score
MATCHED,75.38%,_Broadway Shows,Various Artists - The Hobbit Score,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - The Hobbit Score.pdf,_broadway Shows,Various Artists - The Hobbit Score,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - The Hobbit Score
MATCHED,73.55%,_Broadway Shows,Various Artists - The Ultimate BROADWAY fakebook,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - The Ultimate BROADWAY fakebook.pdf,_broadway Shows,Various Artists - The Ultimate Broadway Fakebook,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - The Ultimate Broadway Fakebook
MATCHED,60.24%,_Broadway Shows,Various Artists - Wicked [PVG],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Wicked [PVG].pdf,_broadway Shows,Various Artists - Wicked [pvg],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Wicked [pvg]
MATCHED,59.89%,_Broadway Shows,Various Artists - Wicked [Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Wicked [Score].pdf,_broadway Shows,Various Artists - Wicked [score],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Wicked [score]
MATCHED,53.32%,_Broadway Shows,Various Artists - Wizard Of Oz - Piano Conductor,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Wizard Of Oz - Piano Conductor.pdf,_broadway Shows,Various Artists - Wizard Of Oz - Piano Conductor,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Wizard Of Oz - Piano Conductor
MATCHED,74.29%,_Broadway Shows,Various Artists - Wizard Of Oz (RSC Piano-Conductor),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Wizard Of Oz (RSC Piano-Conductor).pdf,_broadway Shows,Various Artists - Wizard Of Oz (rsc Piano-conductor),c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Wizard Of Oz (rsc Piano-conductor)
UNMATCHED_PDF,57.53%,_Broadway Shows,Various Artists - You're A Good Man Charlie Brown (Score),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - You're A Good Man Charlie Brown (Score).pdf,_broadway Shows,Steven Sondheim - All Sondheim Volume 2 Book,
MATCHED,52.40%,_Broadway Shows,Various Artists - You're A Good Man Charlie Brown [revival] [score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - You're A Good Man Charlie Brown [revival] [score].pdf,_broadway Shows,Various Artists - You're A Good Man Charlie Brown [revival] [score],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - You're A Good Man Charlie Brown [revival] [score]
UNMATCHED_PDF,,_Broadway Shows,Wicked Workshop,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Wicked Workshop.pdf,,,
MATCHED,,_Broadway Shows,Steven Sondheim - All Sondheim Volume 2 BOOK,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Steven Sondheim\Books\Steven Sondheim - All Sondheim Volume 2 BOOK.pdf,_broadway Shows,Steven Sondheim - All Sondheim Volume 2 Book,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Steven Sondheim - All Sondheim Volume 2 Book
MATCHED,70.00%,_Movie and TV,Beauty and the Beast [PVG],c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Beauty and the Beast [PVG].pdf,_movie And Tv,Beauty And The Beast [pvg],c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Beauty And The Beast [pvg]
MATCHED,70.00%,_Movie and TV,Brother Bear (Disney),c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Brother Bear (Disney).pdf,_movie And Tv,Brother Bear (disney),c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Brother Bear (disney)
MATCHED,100.00%,_Movie and TV,Disney Collection (Songs out of order),c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Disney Collection (Songs out of order).pdf,_movie And Tv,Disney Collection (songs Out Of Order),c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Disney Collection (songs Out Of Order)
MATCHED,100.00%,_Movie and TV,High School Musical - Breaking Free - Piano Sheet Music,c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\High School Musical - Breaking Free - Piano Sheet Music.pdf,_movie And Tv,High School Musical - Breaking Free - Piano Sheet Music,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\High School Musical - Breaking Free - Piano Sheet Music
MATCHED,100.00%,_Movie and TV,Kasha & Hirschorn - Pete's Dragon,c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Kasha & Hirschorn - Pete's Dragon.pdf,_movie And Tv,Kasha & Hirschorn - Pete's Dragon,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Kasha & Hirschorn - Pete's Dragon
MATCHED,100.00%,_Movie and TV,Mary Poppins,c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Mary Poppins.pdf,_movie And Tv,Mary Poppins,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Mary Poppins
MATCHED,100.00%,_Movie and TV,Mulan,c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Mulan.pdf,_movie And Tv,Mulan,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Mulan
MATCHED,100.00%,_Movie and TV,Pirates of the Caribbean [Book 1 - The Curse of the Black Pearl],c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Pirates of the Caribbean [Book 1 - The Curse of the Black Pearl].pdf,_movie And Tv,Pirates Of The Caribbean [book 1 - The Curse Of The Black Pearl],c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Pirates Of The Caribbean [book 1 - The Curse Of The Black Pearl]
MATCHED,76.46%,_Movie and TV,Pirates of the Caribbean [Book 2 - Dead Man's Chest],c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Pirates of the Caribbean [Book 2 - Dead Man's Chest].pdf,_movie And Tv,Pirates Of The Caribbean [book 2 - Dead Man's Chest],c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Pirates Of The Caribbean [book 2 - Dead Man's Chest]
MATCHED,100.00%,_Movie and TV,Spirited Away (Disney) (2001),c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Spirited Away (Disney) (2001).pdf,_movie And Tv,Spirited Away (disney) (2001),c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Spirited Away (disney) (2001)
MATCHED,100.00%,_Movie and TV,The New Illustrated Treasury of Disney Songs,c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\The New Illustrated Treasury of Disney Songs.pdf,_movie And Tv,The New Illustrated Treasury Of Disney Songs,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\The New Illustrated Treasury Of Disney Songs
MATCHED,100.00%,_Movie and TV,The New Illustrated Treasury of Disney,c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\The New Illustrated Treasury of Disney.pdf,_movie And Tv,The New Illustrated Treasury Of Disney,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\The New Illustrated Treasury Of Disney
MATCHED,88.00%,_Movie and TV,Various Artists - Disney Duets,c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Various Artists - Disney Duets.pdf,_movie And Tv,Various Artists - Disney Duets,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Disney Duets
MATCHED,92.26%,_Movie and TV,Various Artists - Disney Fake Book,c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Various Artists - Disney Fake Book.pdf,_movie And Tv,Various Artists - Disney Fake Book,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Disney Fake Book
MATCHED,100.00%,_Movie and TV,Various Artists - Disney Solos For Violin,c:\Work\AWSMusic\SheetMusic\_Movie and TV\Disney\Books\Various Artists - Disney Solos For Violin.pdf,_movie And Tv,Various Artists - Disney Solos For Violin,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Disney Solos For Violin
MATCHED,100.00%,_Movie and TV,John Williams - Greatest Hits,c:\Work\AWSMusic\SheetMusic\_Movie and TV\John Williams\Books\John Williams - Greatest Hits.pdf,_movie And Tv,John Williams - Greatest Hits,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\John Williams - Greatest Hits
MATCHED,100.00%,_Movie and TV,John Williams - Star Wars Episode I - The Phantom Menace,c:\Work\AWSMusic\SheetMusic\_Movie and TV\John Williams\Books\John Williams - Star Wars Episode I - The Phantom Menace.pdf,_movie And Tv,John Williams - Star Wars Episode I - The Phantom Menace,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\John Williams - Star Wars Episode I - The Phantom Menace
MATCHED,100.00%,_Movie and TV,John Williams - Star Wars Episode II - Attack Of The Clones (lite),c:\Work\AWSMusic\SheetMusic\_Movie and TV\John Williams\Books\John Williams - Star Wars Episode II - Attack Of The Clones (lite).pdf,_movie And Tv,John Williams - Star Wars Episode Ii - Attack Of The Clones (lite),c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\John Williams - Star Wars Episode Ii - Attack Of The Clones (lite)
MATCHED,99.47%,_Movie and TV,John Williams - Star Wars Episode III - Revenge Of The Sith.(Incomplete Grab).,c:\Work\AWSMusic\SheetMusic\_Movie and TV\John Williams\Books\John Williams - Star Wars Episode III - Revenge Of The Sith.(Incomplete Grab)..pdf,_movie And Tv,John Williams - Star Wars Episode Iii - Revenge Of The Sith.(incomplete Grab),c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\John Williams - Star Wars Episode Iii - Revenge Of The Sith.(incomplete Grab)
MATCHED,100.00%,_Movie and TV,John Williams - Star Wars Trilogy,c:\Work\AWSMusic\SheetMusic\_Movie and TV\John Williams\Books\John Williams - Star Wars Trilogy.pdf,_movie And Tv,John Williams - Star Wars Trilogy,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\John Williams - Star Wars Trilogy
MATCHED,100.00%,_Movie and TV,Star Wars Suite (John Williams - full Score - Hal Leonard),c:\Work\AWSMusic\SheetMusic\_Movie and TV\John Williams\Books\Star Wars Suite (John Williams - full Score - Hal Leonard).pdf,_movie And Tv,Star Wars Suite (john Williams - Full Score - Hal Leonard),c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Star Wars Suite (john Williams - Full Score - Hal Leonard)
MATCHED,100.00%,_Movie and TV,Various Artists - Music From The Movies The Adventure Collection,c:\Work\AWSMusic\SheetMusic\_Movie and TV\John Williams\Books\Various Artists - Music From The Movies The Adventure Collection.pdf,_movie And Tv,Various Artists - Music From The Movies The Adventure Collection,c:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Music From The Movies The Adventure Collection
