"Artist","BookName","SourcePath","HasProcessed","ProcessedFolder","SongCount"
"Ben Folds","Ben Folds - Songs For The Silverman","C:\Work\AWSMusic\SheetMusic\Ben Folds\books\Ben Folds - Songs For The Silverman.pdf","True","Songs For The Silverman","13"
"Ben Folds","Ben Folds Five - Rockin' the Suburbs","C:\Work\AWSMusic\SheetMusic\Ben Folds\books\Ben Folds Five - Rockin' the Suburbs.pdf","True","Ben Folds Five - Rockin' The Suburbs","8"
"Ben Folds","Ben Folds Five - Selections From Naked Baby Photos [Score]","C:\Work\AWSMusic\SheetMusic\Ben Folds\books\Ben Folds Five - Selections From Naked Baby Photos [Score].pdf","True","Ben Folds Five - Selections From Naked Baby Photos [score]","0"
"Ben Folds","Ben Folds Five - Whatever and Ever Amen [Book]","C:\Work\AWSMusic\SheetMusic\Ben Folds\books\Ben Folds Five - Whatever and Ever Amen [Book].pdf","True","Ben Folds Five - Whatever And Ever Amen [book]","0"
"Billy Joel","Billy Joel - 52nd Street","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - 52nd Street.pdf","True","52nd Street","9"
"Billy Joel","Billy Joel - Anthology","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Anthology.pdf","True","Anthology","29"
"Billy Joel","Billy Joel - Best Of Piano Solos","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Best Of Piano Solos.pdf","True","Best Of Piano Solos","13"
"Billy Joel","Billy Joel - Complete Vol  1","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Complete Vol  1.pdf","True","Complete Vol 1","94"
"Billy Joel","Billy Joel - Complete Vol 2","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Complete Vol 2.pdf","True","Complete Vol 2","48"
"Billy Joel","Billy Joel - Fantasies & Delusions","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Fantasies & Delusions.pdf","True","Fantasies & Delusions","11"
"Billy Joel","Billy Joel - For Advanced Piano","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - For Advanced Piano.pdf","True","For Advanced Piano","11"
"Billy Joel","Billy Joel - Glass Houses","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Glass Houses.pdf","True","Glass Houses","10"
"Billy Joel","Billy Joel - Greatest Hits Vol I and II","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Greatest Hits Vol I and II.pdf","True","Greatest Hits Vol I And Ii","21"
"Billy Joel","Billy Joel - Greatest Hits Vol III","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Greatest Hits Vol III.pdf","True","Greatest Hits Vol Iii","1"
"Billy Joel","Billy Joel - Greatest Hits","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Greatest Hits.pdf","True","Greatest Hits","21"
"Billy Joel","Billy Joel - Keyboard Book","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Keyboard Book.pdf","True","Keyboard Book","15"
"Billy Joel","Billy Joel - My Lives","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - My Lives.pdf","True","My Lives","72"
"Billy Joel","Billy Joel - Rock Score","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Rock Score.pdf","True","Rock Score","8"
"Billy Joel","Billy Joel - Songs in the Attic","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Songs in the Attic.pdf","True","Songs In The Attic","11"
"Billy Joel","Billy Joel - Turnstiles","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel - Turnstiles.pdf","False","","0"
