artist,original_book_name,original_book_path,has_converted_songs,song_count,converted_folder
_Movie and TV,Various Artists - Frozen - Let It Go (Movie Version),Others\Books\Various Artists - Frozen - Let It Go (Movie Version).pdf,Yes,1,_movie And Tv\Various Artists - Frozen - Let It Go (movie Version)
_Movie and TV,Various Artists - High School Musical 1,Others\Books\Various Artists - High School Musical 1.pdf,Yes,2,_movie And Tv\Various Artists - High School Musical 1
_Movie and TV,Various Artists - High School Musical 2,Others\Books\Various Artists - High School Musical 2.pdf,Yes,10,_movie And Tv\Various Artists - High School Musical 2
_Movie and TV,Various Artists - Little Mermaid,Others\Books\Various Artists - Little Mermaid.pdf,Yes,1,_movie And Tv\Various Artists - Little Mermaid
_Movie and TV,Various Artists - Love Songs from the Movies,Others\Books\Various Artists - Love Songs from the Movies.pdf,Yes,33,_movie And Tv\Various Artists - Love Songs From The Movies
_Movie and TV,Various Artists - Movie Fakebook,Others\Books\Various Artists - Movie Fakebook.pdf,Yes,388,_movie And Tv\Various Artists - Movie Fakebook
_Movie and TV,Various Artists - Movie Love Songs [Book],Others\Books\Various Artists - Movie Love Songs [Book].pdf,Yes,16,_movie And Tv\Various Artists - Movie Love Songs [book]
_Movie and TV,Various Artists - Movie Melodies - The Very Best Of Movie Songs,Others\Books\Various Artists - Movie Melodies - The Very Best Of Movie Songs.pdf,Yes,21,_movie And Tv\Various Artists - Movie Melodies - The Very Best Of Movie Songs
_Movie and TV,Various Artists - Movie Songs Of The 90s Vol 2,Others\Books\Various Artists - Movie Songs Of The 90s Vol 2.pdf,Yes,34,_movie And Tv\Various Artists - Movie Songs Of The 90s Vol 2
_Movie and TV,Various Artists - Piano Solos Film Music - The Costume Drama Collection,Others\Books\Various Artists - Piano Solos Film Music - The Costume Drama Collection.pdf,Yes,28,_movie And Tv\Various Artists - Piano Solos Film Music - The Costume Drama Collection
_Movie and TV,Various Artists - Pirates Of The Caribbean At World's End,Others\Books\Various Artists - Pirates Of The Caribbean At World's End.pdf,Yes,1,_movie And Tv\Various Artists - Pirates Of The Caribbean At World's End
_Movie and TV,Various Artists - Shrek 1,Others\Books\Various Artists - Shrek 1.pdf,Yes,13,_movie And Tv\Various Artists - Shrek 1
_Movie and TV,Various Artists - Shrek 2,Others\Books\Various Artists - Shrek 2.pdf,Yes,13,_movie And Tv\Various Artists - Shrek 2
_Movie and TV,Various Artists - Shrek 3,Others\Books\Various Artists - Shrek 3.pdf,Yes,12,_movie And Tv\Various Artists - Shrek 3
_Movie and TV,Various Artists - Star Trek (Piano Solo),Others\Books\Various Artists - Star Trek (Piano Solo).pdf,Yes,8,_movie And Tv\Various Artists - Star Trek (piano Solo)
_Movie and TV,Various Artists - Star Trek - Complete Star Trek Theme Music,Others\Books\Various Artists - Star Trek - Complete Star Trek Theme Music.pdf,Yes,1,_movie And Tv\Various Artists - Star Trek - Complete Star Trek Theme Music
_Movie and TV,Various Artists - Star Trek - Complete Theme Music (Piano Solo),Others\Books\Various Artists - Star Trek - Complete Theme Music (Piano Solo).pdf,Yes,16,_movie And Tv\Various Artists - Star Trek - Complete Theme Music (piano Solo)
_Movie and TV,Various Artists - Star Trek - Deep Space Nine,Others\Books\Various Artists - Star Trek - Deep Space Nine.pdf,Yes,1,_movie And Tv\Various Artists - Star Trek - Deep Space Nine
